no,Madura,indonesia,hal,buku kelas
2858.0,Sih buruwanna dika neser ka binena.1,"Sih, buru-buru kamu kasihan ke istrinya.",120,Novel Kerrong Ka Omba
2859.0,Ja' sabban malem epangek-serngegan!1,Katanya setiap malam berhubungan intim!,120,Novel Kerrong Ka Omba
2860.0,Ba enggi malle ta' pate loddhus tang bine.1,Ya iya biar tidak terlalu lemas istri saya.,120,Novel Kerrong Ka Omba
2861.0,"Se la esoro akella, gi' repot nyassa ka jauna.1","Sudah disuruh memasak, masih repot tersesat ke tempat yang jauh.",120,Novel Kerrong Ka Omba
2862.0,Kan berra' dhukale.,Kan berat dua kali.,120,Novel Kerrong Ka Omba
2863.0,Rembit ban salaenna.1,Ribet dan lain-lain.,120,Novel Kerrong Ka Omba
2864.0,Banne kose ta' ebagiya.,Bukan harus tidak diberikan.,120,Novel Kerrong Ka Omba
2865.0,"Mon bisa nyassa e jeddhing,dhu kose esorowa nyassa ka songay se jau.1","Kalau bisa tersesat di kamar mandi, duh harus disuruh tersesat ke sungai yang jauh.",120,Novel Kerrong Ka Omba
2866.0,Ja'rengan songay se semma' tadha'.1,Katanya sungai yang dekat tidak ada.,120,Novel Kerrong Ka Omba
2867.0,Pojur songay ta'asat keya.,Untung sungai tidak kering juga.,120,Novel Kerrong Ka Omba
2868.0,Mon songay asat garowa tandhana pon para?,Kalau sungai kering itu tandanya sudah hampir?,120,Novel Kerrong Ka Omba
2869.0,"Mon songay asat, neser ka ban-keban ta' nemmo se enoma.","Kalau sungai kering, kasihan ke hewan-hewan tidak menemukan yang bisa diminum.",120,Novel Kerrong Ka Omba
2870.0,Sanonto pojur songayya agili pole ca'-oca'an sabac-ca'an!,Sekarang untung sungainya mengalir lagi kata-katanya bacaannya!,120,Novel Kerrong Ka Omba
2871.0,Juko'na pon ta' betta e songay.,Ikannya juga tidak betah di sungai.,120,Novel Kerrong Ka Omba
2872.0,Gi mon bannya' palas-tigga!,Meskipun banyak lumpurnya!,120,Novel Kerrong Ka Omba
2873.0,"Addha entar ka Du1 Latip, maske sanonto garowa ke'-sake'en sampe'abato'dhara.","Ayo pergi ke Dul Latip, meskipun sekarang itu batuk-batuk sampai berdarah.",120,Novel Kerrong Ka Omba
2874.0,Molae bilana sake?,Mulai kapan sakit?,120,Novel Kerrong Ka Omba
2875.0,Abit pon.,Sudah lama.,120,Novel Kerrong Ka Omba
2876.0,"Addha,malle olle nyapot!","Ayo, biar dapat rezeki!",120,Novel Kerrong Ka Omba
2877.0,Gi maddha mon esalameddana.,"Iya, kalau disajen.",121,Novel Kerrong Ka Omba
2878.0,Garowa' ajamma pega'se pandhara'.3,Itu ayamnya tangkap yang bodoh.,121,Novel Kerrong Ka Omba
2879.0,Enggi bula pon abit ta' pate ma'-semma' ka so-mor.,Iya saya sudah lama tidak terlalu dekat ke sumur.,121,Novel Kerrong Ka Omba
2880.0,Bula pon tapegga sanonto.1,Saya sudah terputus sekarang.,121,Novel Kerrong Ka Omba
2881.0,"Molae eberri' sanyo mnon ka-cong,bula laju ta' pate enga' ja' baja napeyan salameddanna.","Mulai diberi sanyo dulu, saya lalu tidak terlalu ingat kalau harus apa sesajennya.",121,Novel Kerrong Ka Omba
2882.0,"Biyasana malem napa'an,Man?","Biasanya malam apa, Mas?",121,Novel Kerrong Ka Omba
2883.0,Enggi coma malem Juma'at manes.,Iya cuma malam Jumat manis.,121,Novel Kerrong Ka Omba
2884.0,Sapa tao daddi somber kamanesan dha' odhi' aba' neko.3,Siapa tahu jadi sumber kemanisan untuk hidup saya.,121,Novel Kerrong Ka Omba
2885.0,"Ja' pan-barampan are neko, emolae aeng ta' ongga, bula laju apangrasa baram-ma pae'na odhi'.1","Karena beberapa hari ini, mulai air tidak naik, saya lalu merasa bagaimana pahitnya hidup.",121,Novel Kerrong Ka Omba
2886.0,Sape anye-monyeyan.,Sapi meraung-raung.,121,Novel Kerrong Ka Omba
2887.0,Lok-ologan malolo.,Meraung terus.,121,Novel Kerrong Ka Omba
2888.0,Katon pelka' parana keya.,Terlihat lelah juga.,121,Novel Kerrong Ka Omba
2889.0,Sape ban embi' longcallongan.,Sapi dan kambing mengamuk.,121,Novel Kerrong Ka Omba
2890.0,Enggi manossa pola sakeng todhus se wakkowagana.,Iya manusia mungkin saking malunya ke orang yang punya wewenang.,121,Novel Kerrong Ka Omba
2891.0,Sengka ka aba'na.,Merenggang dari dirinya.,121,Novel Kerrong Ka Omba
2892.0,"Ja' senga ta' sengka, empon.","Katanya tidak renggang, sudah.",121,Novel Kerrong Ka Omba
2893.0,Tantona atabuyan aeng matana.,Tentunya mengeluarkan air matanya.,121,Novel Kerrong Ka Omba
2894.0,"Olok sapa bai se bisa maca Yasin, pon olok.","Panggil siapa saja yang bisa membaca Yasin, sudah panggil.",121,Novel Kerrong Ka Omba
2895.0,Dha'ari badhana.,Terserah.,121,Novel Kerrong Ka Omba
2896.0,"Ja'ngantos malem Juma'at manes, manna sajan abit se mettowa aengnga.","Jangan menunggu malam Jumat manis, nanti semakin lama yang mengeluarkan airnya.",121,Novel Kerrong Ka Omba
2897.0,Pola dhaggi' marena esalameddi aeng pendha gampang.,Mungkin nanti setelah diberi sesajen air terlihat gampang.,121,Novel Kerrong Ka Omba
2898.0,Enggi mon ta' bisa nancel dhaggi' malem.,Iya kalau tidak bisa menancap nanti malam.,121,Novel Kerrong Ka Omba
2899.0,Antos ka lagguna.,Tunggu sampai besok.,121,Novel Kerrong Ka Omba
2900.0,Sanyona mare epateppa'pon gi?3,Sanyonya sudah pasang ya?,121,Novel Kerrong Ka Omba
2901.0,Ngantos tampar neka gi'an.,Menunggu tali ini dulu.,121,Novel Kerrong Ka Omba
2902.0,Enggi dina.,Iya nanti.,121,Novel Kerrong Ka Omba
2903.0,Emelleyagi tampar kose gi?,Membelikan tali juga?,121,Novel Kerrong Ka Omba
2904.0,"Ngenjam, Man.","Meminjam, Mas.",121,Novel Kerrong Ka Omba
2905.0,Sakeng gi'ekone'e!,Saking masih ditelepon!,121,Novel Kerrong Ka Omba
2906.0,Para' sorop are ganeka ceng-lanceng pon padha akompol.,Menjelang sore itu pemuda sudah pada berkumpul.,121,Novel Kerrong Ka Omba
2907.0,Seppet atompang mardha pon badha epaddu morlao'.,Sempit bertumpuk biasa sudah ada di pasangan selatan timur.,121,Novel Kerrong Ka Omba
2908.0,Angen nyaleyot ka bara' dhaja.,Angin berhembus ke barat utara.,121,Novel Kerrong Ka Omba
2909.0,Owa' asaloy.,itu berkumpul.,121,Novel Kerrong Ka Omba
2910.0,Ro'om mennyan nyareddhem.,Bau kemenyan menusuk.,121,Novel Kerrong Ka Omba
1.0,"Sambâ' bârá', sambâ'tèmor, sambâ' lao', sambá' dâjâ!","Samberan barat, samberan timur, samberan selatan, samberan utara!",7,Novel Èsarepo Bèncong
2.0,"Rèng-orèng padâ arat-taradhân neng ma-roma sambi negghu' arè',bhirâng, kol-pokol, bi' èn-laènna.","Orang-orang pada berhamburan ke rumah sambil memegang arit, parang, golok, dan lain-lain.",7,Novel Èsarepo Bèncong
3.0,Poko'la kabbhi bâdâ.,Pokoknya semua ada.,7,Novel Èsarepo Bèncong
4.0,"Sabâgiyân orèng ngèrrem neng dâlem romana, polana tako'ècoco dâri budi otabâ èpeddhâng langsong dâri adâ.","Sebagian orang mengurung diri di dalam rumahnya, karena takut ditusuk dari belakang atau ditebas langsung dari depan.",7,Novel Èsarepo Bèncong
5.0,Ninja polana ta' toman aling-jhelling orèng towa otabâsè ghi' na'-kana' mon soro matè'è.,"Ninja karena tidak pandang bulu, orang tua ataupun yang masih anak-anak jika disuruh membunuh.",7,Novel Èsarepo Bèncong
6.0,"Masala rèya èkèding orèng sabumè Indonesia, Pamarènta marè ngèrèm polisi otabâ tentara sè cè' bhâghussâ.","Masalah ini terdengar ke seluruh Indonesia, Pemerintah lalu mengirim polisi atau tentara yang sangat hebat.",7,Novel Èsarepo Bèncong
7.0,Tapè pagghun ta' mempan.,Tapi tetap tidak mempan.,7,Novel Èsarepo Bèncong
8.0,Bânnya'sè ècapo'neng bâkto osom Ninja rèya.,Banyak yang menjadi korban pada waktu musim Ninja ini.,7,Novel Èsarepo Bèncong
9.0,"Bâdâ sè karè bhâdhânna, bâdâ sèkarè cètakghâ, bâdâ sè karè tanangnga, bi' râng-bhârâng bhâdhân laènna.","Ada yang tersisa badannya, ada yang tersisa kepalanya, ada yang tersisa tangannya, dan bagian-bagian badan lainnya.",7,Novel Èsarepo Bèncong
10.0,Marèngès sè ajhellingaghi.,Mengerikan yang melihatnya.,7,Novel Èsarepo Bèncong
11.0,Masala rèya ta'padâbi'masala sampet sabbhân.,Masalah ini tidak sama dengan masalah biasa sehari-hari.,7,Novel Èsarepo Bèncong
12.0,"Makè masala rèya sara'an bi'masala sampet, tapè patèna ta' kala bânnya' bi' sampet.","Meskipun masalah ini tidak sama dengan masalah biasa, tapi korbannya tidak kalah banyak dari masalah biasa.",8,Novel Èsarepo Bèncong
13.0,"Mon sampet ta' rèng moso la dhâng-paddhâng bâdâ neng adâ'en mata, pèndhâ' kennèng labân.","Kalau masalah biasa musuh sudah jelas-jelas ada di depan mata, gampang dilawan.",8,Novel Èsarepo Bèncong
14.0,Mon satèya sè osom Ninja.,Kalau sekarang yang sedang musim adalah Ninja.,8,Novel Èsarepo Bèncong
15.0,Ninja ghula paddhâng bisa èlabânè bi cem-macem silat pas ètambâ cem-macem wâdhuwwâ.,Ninja yang jelas-jelas bisa dilawan dengan bermacam-macam silat dan ditambah bermacam-macam senjata.,8,Novel Èsarepo Bèncong
16.0,Mon ta'paddhâng sènga' jiyâ la korang silatdhâ.,Kalau tidak jelas sepertinya kurang silatnya.,8,Novel Èsarepo Bèncong
17.0,Palèng karo wâ-dhuwwâ sè bisa makala Ninja.,Paling hanya ilmu hitam yang bisa mengalahkan Ninja.,8,Novel Èsarepo Bèncong
18.0,"Makala bânnè pas mosona matè,ghun ta' bisa matè'è.","Mengalahkan bukan berarti musuhnya mati, hanya tidak bisa membunuh.",8,Novel Èsarepo Bèncong
19.0,Dhuk-pondhuk èberri' kothèkaan kabbhi bi' Ma'Kaèna.,Dapur-dapur diberi kotak semua oleh Ma'Kain.,8,Novel Èsarepo Bèncong
20.0,Ma'lè Ninja tadâ' maso'koca'en.,Supaya Ninja tidak bisa masuk katanya.,8,Novel Èsarepo Bèncong
21.0,Bâkto jiyâ Ninja rèya ngèller Kèyaè-kèyaè.,Waktu itu Ninja ini mengincar kiai-kiai.,8,Novel Èsarepo Bèncong
22.0,Sakabbhinna Kèyaè sè èyèller.,Semua kiai yang diincar.,8,Novel Èsarepo Bèncong
23.0,"Tareppa'en jiyâ engko' bâdâ neng pancong, pas temmo bâdâ ghârigghingan neng èmbong.","Kebetulan saya ada di depan, lalu melihat ada keributan di jalan.",8,Novel Èsarepo Bèncong
24.0,Bâdâ Ninja acarok padâ Ninjana koca'en.,Ada Ninja berkelahi sesama Ninja katanya.,8,Novel Èsarepo Bèncong
25.0,"Sèttong Ninja potè, sèttongnga Ninja celleng.","Satu Ninja putih, satu lagi Ninja hitam.",8,Novel Èsarepo Bèncong
26.0,"Sè Ninja potè rèya koca'en rèng-orèng, èparèntaè bi'Kèyaè Subayri sè dâri kampong Malatè,sabellun Kèyaè Subayri sèdhâ.","Ninja putih ini kata orang-orang, diperintah oleh Kiai Subairi yang dari Kampung Melati, sebelum Kiai Subairi meninggal.",8,Novel Èsarepo Bèncong
27.0,"Ninja potè rèya èparènta soro alabân Ninja sè la-nyala ka dhuk-pondhuk otabâ Ninja sè ngèller, matè'enna Kèyaè.","Ninja putih ini diperintah untuk melawan Ninja yang tidak jelas ke dapur-dapur atau Ninja yang mengincar, membunuh kiai.",8,Novel Èsarepo Bèncong
28.0,"Ninja celleng rèya tamaso' Ninja sè la-nyala, Ninja sè andi' nèyat matè'enna Kèyaè-kèyaè sè bâdâ neng Madhurâ.","Ninja hitam ini termasuk Ninja yang tidak jelas, Ninja yang punya niat membunuh kiai-kiai yang ada di Madura.",8,Novel Èsarepo Bèncong
29.0,Ninja celleng rèya sorowan dâri rèng-orèng partai laèn.,Ninja hitam ini suruhan dari orang-orang partai lain.,8,Novel Èsarepo Bèncong
30.0,Polana kala ka partai sè bâdâ neng Madhurâ.,Karena kalah dari partai yang ada di Madura.,8,Novel Èsarepo Bèncong
31.0,Èpakala partai sè ètegghu' KèyaèSubayri.,Dikalahkan oleh partai yang dipegang Kiai Subairi.,8,Novel Èsarepo Bèncong
32.0,Dhâddhi sabâdâna Kèyaè neng Madhurâ ngoca'èpatè'enna.,Jadi setelah ada kiai di Madura yang mengucapkan kematiannya.,8,Novel Èsarepo Bèncong
33.0,Engko' karo ajhellingaghi duwâ' Ninja jiyâ acarok.,Saya melihat kedua Ninja itu berkelahi.,9,Novel Èsarepo Bèncong
34.0,Bânnya' rèng-orèng sè yap-sèyap nokol karèna.,Banyak orang yang bersiap memukul.,9,Novel Èsarepo Bèncong
35.0,"Biyasana mon moso ta' bisa pa-apa polè, Ninja potè ngontalaghi Ninja celleng ka bâbâ.","Biasanya kalau musuh tidak bisa apa-apa lagi, Ninja putih melempar Ninja hitam ke bawah.",9,Novel Èsarepo Bèncong
36.0,Èbaghi ka rèng-orèng soro nokol kènna.,Diberikan kepada orang-orang untuk dipukul.,9,Novel Èsarepo Bèncong
37.0,"Rèng sènokol kodhu jhâ' neggu' pa-apa, Ma'lè nokolla rassa.","Orang yang memukul harus tidak memegang apa-apa, supaya memukulnya terasa.",9,Novel Èsarepo Bèncong
38.0,Ma'lè sèlaèn padâ mèlo kènna koca'en Ninja potè.,"Supaya yang lain sama-sama ikut, kata Ninja putih.",9,Novel Èsarepo Bèncong
39.0,Tareppa'en jiyâ lakar bâdâ Ninja celleng sè èpaghâgghâr.,Kebetulan saat itu memang ada Ninja hitam yang dijatuhkan.,9,Novel Èsarepo Bèncong
40.0,"Bânnya' rèng sènokol,tamaso' engko' kènna.","Banyak orang yang memukul, termasuk saya.",9,Novel Èsarepo Bèncong
41.0,Engko' mèlo nèddhâ' cètakghâ.,Saya ikut menendang kepalanya.,9,Novel Èsarepo Bèncong
42.0,Ta'ngoros bhengka apa enja' cètak jiyâ.,Tidak peduli bengkok atau tidak kepala itu.,9,Novel Èsarepo Bèncong
43.0,Ninja celleng rèya bâdâ neng taon 1998 è Madhurâ.,Ninja hitam ini ada pada tahun 1998 di Madura.,9,Novel Èsarepo Bèncong
44.0,Kenengngan dâdâ'en neng è Banyuwangi.,Kejadian aslinya di Banyuwangi.,9,Novel Èsarepo Bèncong
45.0,Neng kennengngen-na Ninja jiyâ atompo' bi' along-polong.,Di tempatnya Ninja ini berkumpul.,9,Novel Èsarepo Bèncong
46.0,"Polana bânnya' sèèkennèng pèghâ' bi' Tentara Militer neng taon 1995, pas ngallèka Madhurâ.","Karena banyak yang kena tangkap oleh Tentara Militer pada tahun 1995, lalu pindah ke Madura.",9,Novel Èsarepo Bèncong
47.0,Anyerrang Kèyaè polana kala masala partai.,Menyerang Kiai karena kalah masalah partai.,9,Novel Èsarepo Bèncong
48.0,Marè nèddhâ' engko' langsong ngallè.,Setelah menendang saya langsung pergi.,9,Novel Èsarepo Bèncong
49.0,Polana Ninja celleng rèya kenceng odi' polè.,Karena Ninja hitam ini kuat hidup lagi.,9,Novel Èsarepo Bèncong
50.0,"Sènga' ri'-bâri'en, tang Anom sè ècapo' peddhâng tengngana.","Masih teringat, adik saya yang kena pedang di tengahnya.",9,Novel Èsarepo Bèncong
51.0,Engko' tako'mon ajhelling dârâ makè engko' orèngnga ta' tako'an.,Saya takut kalau melihat darah meskipun saya orangnya tidak penakut.,9,Novel Èsarepo Bèncong
52.0,"Monla Ninja celleng maèlang ta' temmo dâmmana, rèng-orèng molè ka romana bâng-sèbâng.","Kalau sudah Ninja hitam menghilang tidak ketemu di mana, orang-orang pulang ke rumahnya masing-masing.",9,Novel Èsarepo Bèncong
53.0,Noghui ana' bi'binèna.,Menunggu anak dan istrinya.,9,Novel Èsarepo Bèncong
54.0,Sè nolongè nokol polana kabânnya'an bânnè Kèyaè.,Yang membantu memukul karena kebanyakan bukan Kiai.,9,Novel Èsarepo Bèncong
55.0,Ninja celleng satèya ta' nampèk sè matè'enna.,Ninja hitam sekarang tidak menolak yang membunuhnya.,9,Novel Èsarepo Bèncong
56.0,poko' la mon bâdâ rèng Madhurâ langsong epeddhâng.,Pokoknya kalau ada orang Madura langsung ditebas.,9,Novel Èsarepo Bèncong
57.0,Engko' ta' nyangka Kèyaè Subayri sèdbâ kènna.,Saya tidak menyangka Kiai Subairi meninggal.,9,Novel Èsarepo Bèncong
58.0,Neng tang pèkkèran.,Dalam pikiran saya.,9,Novel Èsarepo Bèncong
59.0,Dhuk-pondhuk laènna bânnya' ngèding jhâ' KèyaèSubayri sèdhâ.,Dapur-dapur lain banyak mendengar kalau Kiai Subairi meninggal.,9,Novel Èsarepo Bèncong
60.0,Sèdhâna Kèyaè Subayri rèya marèngès.,Meninggalnya Kiai Subairi ini mengerikan.,9,Novel Èsarepo Bèncong
61.0,Kèyaè Subayri tareppa'en jiyâ ta' ngèbâ kep-sèkep.,Kiai Subairi kebetulan tidak membawa senjata tajam.,9,Novel Èsarepo Bèncong
62.0,Biyasana KèyaèSubyri ngèbâ terros.,Biasanya Kiai Subairi membawa terus.,10,Novel Èsarepo Bèncong
63.0,"Polana tako' èmolaè pangaji'enna,dhâddhi Kèyaè Subayri ta' ngèbâ.","Karena takut dimulainya pengajian, jadi Kiai Subairi tidak membawa.",10,Novel Èsarepo Bèncong
64.0,Neng è jhâlân la marèèkènga'è bi' santrèna.,Di jalan sudah sempat diingatkan oleh santrinya.,10,Novel Èsarepo Bèncong
65.0,"Tapè Kèyaè Subayri kabhuru koca'en,dhâddhi santrèna neng-neng.","Tapi Kiai Subairi sudah terlanjur katanya, jadi santrinya diam.",10,Novel Èsarepo Bèncong
66.0,Kèyaè Subayri temmo mangkat kadhibi'.,Kiai Subairi ternyata berangkat sendiri.,10,Novel Èsarepo Bèncong
67.0,Santrena nèyat ngaterra ta' èbâghi.,Santrinya niat mengantar tidak diperbolehkan.,10,Novel Èsarepo Bèncong
68.0,Mèlè ajhâlan kadhibi'.,Memilih jalan sendiri.,10,Novel Èsarepo Bèncong
69.0,Neng è jhâlân Kèyaè Subayri rèya mapak rèng lakè' kadhibi'.,Di jalan Kiai Subairi ini bertemu seorang laki-laki sendirian.,10,Novel Èsarepo Bèncong
70.0,Bi' Kèyaè Subayri sangghu orèng sè noro' ka pangaji'enna.,Oleh Kiai Subairi dikira orang yang ikut ke pengajiannya.,10,Novel Èsarepo Bèncong
71.0,"Orèng jiyâ temmo matabâr ka Kèyaè Subayri,soro mangkat bhâreng ka pangajiyân.","Orang itu ternyata menyapa Kiai Subairi, menyuruh berangkat bareng ke pengajian.",10,Novel Èsarepo Bèncong
72.0,Ngoca' sè nontona jhârânna.,Mengatakan yang menuntun kudanya.,10,Novel Èsarepo Bèncong
73.0,Poko'la nèyat abhârengnga.,Pokoknya niatnya berbarengan.,10,Novel Èsarepo Bèncong
74.0,Orèng jiyâ temmo ngèbâKèyaè Subayri ka las-alas.,Orang itu ternyata membawa Kiai Subairi ke hutan-hutan.,10,Novel Èsarepo Bèncong
75.0,Abbo èkèbá da'emma engko'reyal.,Ya ampun dibawa ke mana saya ini.,10,Novel Èsarepo Bèncong
76.0,Kèyaè Subayri ta' tao jhâ' bâdâ neng dimma.,Kiai Subairi tidak tahu kalau ada di mana.,10,Novel Èsarepo Bèncong
77.0,Polana bâkto jiyâ tadâ' dhâmar tadâ' apa.,Karena waktu itu tidak ada lampu tidak ada apa-apa.,10,Novel Èsarepo Bèncong
78.0,Kèyaè Subayri toron dâri jhârân.,Kiai Subairi turun dari kuda.,10,Novel Èsarepo Bèncong
79.0,Amènta terro taowa jhâ' bâdâ dimma.,Meminta ingin tahu kalau ada di mana.,10,Novel Èsarepo Bèncong
80.0,Ta' taona Kèyaè Subayri temmo ecoco dâri budi.,Tidak tahunya Kiai Subairi ternyata ditusuk dari belakang.,10,Novel Èsarepo Bèncong
81.0,Ècoco bi' kerrès sè cè' lanjhângnga.,Ditusuk dengan keris yang sangat panjang.,10,Novel Èsarepo Bèncong
82.0,"Kerrès jiyâ temmo ètajhâ', pas makalowar perro' bi' cemmacem èssèna tabu'.","Keris itu ternyata dicabut, lalu mengeluarkan perut dan bermacam-macam isi perutnya.",10,Novel Èsarepo Bèncong
83.0,Dârâ èkapandi bâkto jiyâ.,Darah dipakai mandi waktu itu.,10,Novel Èsarepo Bèncong
84.0,Kèyaè Subayri sèdhâ ta' ètemmo orèng.,Kiai Subairi meninggal tidak ditemukan orang.,10,Novel Èsarepo Bèncong
85.0,Rèng-orèng sè bâdâ neng pangajiyân nantos KèyaèSubayri sè cè' abitdhâ.,Orang-orang yang ada di pengajian menunggu Kiai Subairi yang sangat lama.,10,Novel Èsarepo Bèncong
86.0,Sampè' bânnya' sè katondu polana arètalèbât malem.,Sampai banyak yang mengantuk karena hari sudah larut malam.,10,Novel Èsarepo Bèncong
87.0,"Dâmma Ma' Kaè riya, ma' ta' ghellem dateng.","""Ke mana Kiai itu, kok tidak mau datang.""",10,Novel Èsarepo Bèncong
88.0,Biyasana ta' toman dâteng tellat rèya.,"""Biasanya tidak pernah datang terlambat.",10,Novel Èsarepo Bèncong
89.0,Ngoca'Dul Muni sè andi'langghâr.,kata Dul Muni yang punya langgar.,10,Novel Èsarepo Bèncong
90.0,"Sampè' saejjhâm sè nântos, pas temmo bâdâ monyèan patè' ayung-gâriyyungan neng ada'en langghârra.","Sampai satu jam menunggu, lalu ada suara anjing menggonggong di depan langgar.",10,Novel Èsarepo Bèncong
91.0,Patè' jiyâ cè' bânnya'en sambi ètegghu' bi' Ninja celleng.,Anjing itu sangat banyak sambil dipegang oleh Ninja hitam.,11,Novel Èsarepo Bèncong
92.0,Langghâr jiyâ èkalèng-lèngè bi' Ninja celleng sè negghu' patè'.,Langgar itu dikelilingi oleh Ninja hitam yang memegang anjing.,11,Novel Èsarepo Bèncong
93.0,Lakar la èsengaja.,Memang sudah disengaja.,11,Novel Èsarepo Bèncong
94.0,Patè' jiyá temmo èyocol.,Anjing-anjing itu ternyata dilepas.,11,Novel Èsarepo Bèncong
95.0,Rèng-orèng ta'bisa pa-apa.,Orang-orang tidak bisa berbuat apa-apa.,11,Novel Èsarepo Bèncong
96.0,Coma bisa anangès sambi anyebbhut nyamana Alla.,Hanya bisa menangis sambil menyebut nama Allah.,11,Novel Èsarepo Bèncong
97.0,Patèna bâkto jiyâ cè' bânnya'en.,Korbannya waktu itu sangat banyak.,11,Novel Èsarepo Bèncong
98.0,Tadá' sè salameddhá.,Tidak ada yang selamat.,11,Novel Èsarepo Bèncong
99.0,Ghân jiyâ Ninja potè rèya ngamok neng lowar.,"Sementara itu, Ninja putih ini mengamuk di luar.",11,Novel Èsarepo Bèncong
100.0,Ajâgá rèng-orèng sè bâdâ neng kampong Malatè bi' laenna.,Menjaga orang-orang yang ada di Kampung Melati dan lainnya.,11,Novel Èsarepo Bèncong
101.0,Bânnya'pondhuk laènna sè agabong ka Ninja potè andi'en almarhum Kèyaè Subayri.,Banyak pondok pesantren lain yang bergabung ke Ninja putih milik almarhum Kiai Subairi.,11,Novel Èsarepo Bèncong
102.0,"Dbuli Ma'Kaè sè neng dbuk-pondbuk èrrep, satèya Ninja bádápolè.","""Dulu Kiai di dapur-dapur diserang, sekarang Ninja ada lagi.""",11,Novel Èsarepo Bèncong
103.0,Ninja potè koca'en reng-oreng temmo dbâddhi ta'bbágus.,"""Ninja putih, kata orang-orang, ternyata jadi tidak bagus.""",11,Novel Èsarepo Bèncong
104.0,Poko'la cambur sènga' Ninja potè andi'en almarbum KiyaèSubayri.,"""Pokoknya campur, karena Ninja putih milik almarhum Kiai Subairi.""",11,Novel Èsarepo Bèncong
105.0,"Dbuli olok kabbbi, soro pangètek nengdâlem pètak paraona.","""Ayo semuanya, suruh sembunyi di dalam kotak perahu.""",11,Novel Èsarepo Bèncong
106.0,Mayu pas kèbá buru ka tengnga tazsè'gbállu.,"""Ayo bawa kabur ke tengah laut saja. ",11,Novel Èsarepo Bèncong
107.0,"Ngoca' Mad Nawi, Ninja potè morèddhâ almarhum.","kata Mad Nawi, murid almarhum Ninja putih.",11,Novel Èsarepo Bèncong
108.0,"Polana rèng-orèng bânnya' ngatèla bârna potè neng èattas ka'-bhungkaan, pas rèng-orèng bânnya' ghimeng.","Karena orang-orang banyak melihat warna putih di atas bukit, lalu orang-orang banyak yang terkejut.",11,Novel Èsarepo Bèncong
109.0,Bârna potè sè li-ghuliyân dâri tas ka'-bhungkaan ghellâ' èdântos orèng sakampong.,Warna putih yang bergerak dari atas bukit itu ditunggu oleh orang sekampung.,11,Novel Èsarepo Bèncong
110.0,"Bâdâ sè neggh ư ' arè' cè' lanjhângnga, bâdâ kèyasènegghu'todi'samacem peddang lanjhâng.","Ada yang memegang arit yang sangat panjang, ada juga yang memegang pedang panjang.",11,Novel Èsarepo Bèncong
111.0,Engko'ghun nang-tennang bâdâ è roma.,Saya hanya diam saja ada di rumah.,11,Novel Èsarepo Bèncong
112.0,Polana sataona engko' samarèna kadhâddhiyân lambâ' neng taon 1998 ta' kèra bâdâ polè.,"Karena sepengetahuan saya, setelah kejadian yang lalu di tahun 1998 tidak akan ada lagi.",11,Novel Èsarepo Bèncong
113.0,Masa' pas tello bellâs taon samarèna kadbâddbiyân lambâ' pas tada' sè bisa ngobá jhâman.,Masa setelah tiga belas tahun kejadian yang lalu tidak ada yang bisa mengubah zaman.,11,Novel Èsarepo Bèncong
114.0,Masa' tada' sè bisa'a.,Masa tidak bisa.,12,Novel Èsarepo Bèncong
115.0,Neng tang pèkkéran.,Dalam pikiran saya.,12,Novel Èsarepo Bèncong
116.0,Jhá'polana neng taon 2000 sampè' satèya taon 2011 tada' paapa.,Karena di tahun 2000 sampai sekarang tahun 2011 tidak ada apa-apa.,12,Novel Èsarepo Bèncong
117.0,tadâ' kabhâr bâdâ Ninja bâdâ apa.,Tidak ada kabar ada Ninja atau ada apa.,12,Novel Èsarepo Bèncong
118.0,Sakabbhinna Kèyaè la marè èpaongghâ ka attas parao.,Semua Kiai sudah selesai dinaikkan ke atas perahu.,12,Novel Èsarepo Bèncong
119.0,Èpangètek neng dâlem pètak kabbhi.,Disembunyikan di dalam kotak semua.,12,Novel Èsarepo Bèncong
120.0,Sampè' mabi' tello pètak.,Sampai menggunakan tiga kotak.,12,Novel Èsarepo Bèncong
121.0,Pas paraona èpajhâlân ka tengnga tasè'.,Lalu perahunya dijalankan ke tengah laut.,12,Novel Èsarepo Bèncong
122.0,"Epajhâlân neng bâkto malem noro'è aros, bâdâ ngara kol duw bellâsân.","Dijalankan pada waktu malam mengikuti arus, kira-kira jam duabelasan.",12,Novel Èsarepo Bèncong
123.0,"Sè neng dhârâ'rèng-orèng pagghun ayunggâriyungan neng bâbâna ka'-bhungkaan, sè koca'en bâdâ orèng anganghuy kalambhi potèsè èsangka Ninja bi' rèngorèng.","Yang di darat orang-orang tetap berteriak-teriak di bawah bukit, katanya ada orang memakai baju putih yang disangka Ninja oleh orang-orang.",12,Novel Èsarepo Bèncong
124.0,Tadâ' sèbângal ongghâ ka tas ka'-bhungkaan.,Tidak ada yang berani naik ke atas bukit.,12,Novel Èsarepo Bèncong
125.0,Ta' bisa onggbá kabbhi mon ètalarè.,"""Tidak bisa naik semua kalau diteriaki.""",12,Novel Èsarepo Bèncong
126.0,Bisana gbun orèng sèttong.,"""Bisanya hanya satu orang.""",12,Novel Èsarepo Bèncong
