Madura,Indonesia
maso’ mèrèng kalowar mèrèng artèna,masuk miring keluar miring artinya
jȃwȃbhȃn bhȃk tebbhȃghȃn bȃnnya’ sè arapa,jawaban tebak-tebakan banyak yang bagaimana
nasè’ sakeppel èkarobung ghâlâta artèna,nasi sekepal dikerumuni kelabang artinya
sè aḍâ’na nyaronèn sè èyèrèng nabbhu ghenḍhâng sè è buḍi negghu’ peccot artèna,yang di depannya meniup saron yang diiringi menabuh gendang yang di belakang memegang cemeti artinya
pangkor nyangkornyangan artèna,pangkor berkilau-kilauan artinya
orèng ḍȃpor nyang-kennyangan,orang dapur kenyang-kenyangan
parabhut sè ḍȃri tembhȃgȃ,perabot yang dari tembaga
pakakassa rèng tanè,perkakasnya orang tani
arakora bhȃrȃng ḍȃri tembhȃgȃ,membersihkan barang dari tembaga
bilȃ biyȃsana èkalako amaèn bhȃk,kapan biasanya dilakukan bermain tebak-tebakan
è bȃkto amaèn,di waktu bermain
è bȃkto pangajhȃrȃn,di waktu pelajaran
è bȃkto arè ahad,di waktu hari ahad
è bȃkto tellasan,di waktu lebaran
è tengnga’ȃnna pasar bȃḍȃ apa,di tengah-tengahnya pasar ada apa
orèng ajhuwȃl jhuko’,orang menjual ikan
bȃḍȃ orèng lè-mellè,ada orang beli-membeli
bȃḍȃ orèng ajhuwȃl jhȃmo,ada orang menjual jamu
è yantarana langngè’ bȃn bhumè bȃḍȃ,di antaranya langit dan bumi ada
cèlat bârâ’ cèlat tèmor artèna,kilat barat kilat timur artinya
na’-kana’ sè segghut amaèn,anak-anak yang sering bermain
na’-kana’ sè sakejjhȃ’ bȃḍȃ sakejjhȃ’ maèlang,anak-anak yang sekejap ada sekejap menghilang
korbhina tako’ ka kèlap buḍu’na bângal ka kèlap artèna,merpatinya takut pada kilat telurnya berani pada kilat artinya
obi bȃḍȃ è ḍȃlem tana bȃn klèntèng bȃḍȃ neng attas tana,ubi ada di dalam tanah dan biji kelor ada di atas tanah
orèng bȃn ana’na mon bȃḍȃ kèlap,orang dan anaknya kalau ada kilat
orèng sè tako’an,orang yang penakut
na’-kana’ amaèn mercon,anak-anak bermain mercon
bhȃk-tebbhȃghȃn aropa sastra ra’yat sè bȃḍȃ neng,tebak-tebakan berupa sastra rakyat yang ada di
asèssè’ bȃnnè jhuko’ abhuncong bȃnnè,bersisik bukan ikan bermahkota bukan
tembhȃng pucung aèssè,tembang pucung berisi
èyantarana bhumè bȃn langngè’ bȃḍȃ,di antaranya bumi dan langit ada
ka bȃrȃ’ ghȃdhep ka tèmor ghȃdhep,ke barat daun pisang ke timur daun pisang
è tengnga’ȃnna pasar bȃḍȃ,di tengah-tengahnya pasar ada
mon ghi’ kènè’ akalambhi mon la towa abȃngkang,kalau masih kecil berbaju kalau sudah tua telanjang
korbhina tako’ ka kèlap’ ana’na bȃngal ka kelap,merpatinya takut pada kilat anaknya berani pada kilat
cèlat bȃrȃ’ cèlat tèmor,kilat barat kilat timur
ajȃm nongko’ è bubungan,ayam bertengger di bubungan
mon taḍȃ’ labȃng taḍȃ’ canḍìlȃ orèng bisa lèbȃt è ḍimma,kalau tidak ada pintu tidak ada jendela orang bisa lewat di mana
malem tèra’ bulȃn malem tangghȃl bȃrempa,malam terang bulan malam tanggal berapa
apa sè èkoca’ tè-patèna ajȃm,apa yang dikatakan mati-matinya ayam
sè è koca’ bȃkto pajjhȃr rèya bilȃ,yang dikatakan waktu fajar ini kapan
sè è maksod ngala’ èlmona kento’ rèya bȃremma,yang dimaksud mengambil ilmunya kentut ini bagaimana
tangghȃl bȃrempa sè ekoca’ panglong pèsan,tanggal berapa yang dikatakan paling gelap
beng-rabeng ajȃm rèya apa,jengger ayam ini apa
apa sè ènyamaè ghubbhȃ,apa yang dinamai gubuk
apa sè èmaksod tellasan rama,apa yang dimaksud lebaran haji
sapa sè ngangghit tembhȃng pucung sè mamolan,siapa yang mengarang tembang pucung yang pertama kali
jhȃjhȃl aghȃbȃy bhȃk-tebbhȃghȃn bȃnnya’na 10 tolès è bukuna pas bȃcȃ neng aḍȃ’na kellas,coba membuat tebak-tebakan banyaknya 10 tulis di bukunya lalu baca di depannya kelas
pakon rembhȃk sakancan,tugas diskusi sekelompok
jhȃjhȃl ghȃbȃy tembhȃng pucung sè aèssè bhȃk-tebbhȃghȃn banya’na 2 paddhȃ andhegghȃn,coba membuat tembang pucung yang berisi tebak-tebakan banyaknya 2 bait
jhȃjhȃl ghȃbȃy okara bhȃngsalan bȃn panebbhussȃ bȃnnya’na 5 mègghi’,coba membuat kalimat bangsalan dan tebusannya banyaknya 5 biji
jhȃjhȃl ghȃbȃy okara kakanthèn sè aghȃnḍghu’ ghuru laghu bȃnnya’na 5 mègghi’,coba membuat kalimat kakanthen yang mengandung guru lagu banyaknya 5 biji
jhȃjhȃl ghȃbȃy okara kakanthèn sè aghȃnḍhu’ ghuru sastra bȃnnya’na 5 mègghi’,coba membuat kalimat kakanthen yang mengandung guru sastra banyaknya 5 biji
jhȃjhȃl ghȃbȃy okara kakanthèn sè aghȃnḍhu’ ghuru lumaksito bȃnnya’na 5 mègghi’,coba membuat kalimat kakanthen yang mengandung guru lumaksito banyaknya 5 biji
apa oca’ lalabȃnna oca’ è bȃbȃ rèya,apa kata lawannya kata di bawah ini
apa sè ènyamaè pidato rèya,apa yang dinamai pidato ini
pidato iyâ arèya sèttong lalakon aberri’ ḍhâḍhâbuwân ka’angghuy orèng laèn sè rabu è sèttong papangghiyȃn,pidato yaitu satu perbuatan memberi ucapan untuk orang lain yang hadir di satu pertemuan
sanyatana pidato arèya èghuna’aghi neng acem-macem kaparlowan,senyatanya pidato ini digunakan di dalam macam-macam keperluan
kaparlowan bhuru aropa’aghi tojjhuwân sè mabâḍâ pidato,keperluan baru merupakan tujuan yang mengadakan pidato
ḍâri jârèya orâng lajhu mantha macemma pidato akantha pidatona kapala sakola neng upacara sennènan 17-san sè tojjhuwânna aberri’ samangat kangghuy ngajhâr ḍâ para ghuru bân samangat ḍâ’ para morèd kaangghuy ajâr,dari situ orang lalu memilah macamnya pidato seperti pidatonya kepala sekolah di upacara seninan 17-san yang tujuannya memberi semangat untuk mengajar kepada para guru dan semangat kepada para murid untuk belajar
pidato sè macem jârèya biyasa èsebbhut aberri’ pangarahan,pidato yang macam itu biasa disebut memberi pengarahan
bâḍâ polè pidato parasmèyan kellas anyar perpisahan iyâ arèya pidato mèt-amèt marghâ ngallè sakola’an,ada lagi pidato peresmian kelas baru perpisahan yaitu pidato pamit-pamit karena pindah sekolahan
pidato katowa kellas kaangghuy maḍâpa’ pessen,pidato ketua kelas untuk menyampaikan pesan
bâḍâ empa’ macem pidato sè èpahamè è maghȃrsarè iyâ arèya pidato informatif iyâ arèya pidato sè maḍâpa’ berta,ada empat macam pidato yang dipahami di masyarakat yaitu pidato informatif yaitu pidato yang menyampaikan berita
pidato persuasif iyâ arèya pidato sè ngajhâk orèng kangghuy alalakon,pidato persuasif yaitu pidato yang mengajak orang untuk berbuat
pidato rekreatif iyâ arèya pidato sè tojjhuwânna masenneng orèng sè ngèḍingngaghi,pidato rekreatif yaitu pidato yang tujuannya menyenangkan orang yang mendengarkan
pidato aksi iyâ arèya pidato sè matapèncot orèng sampè’ saroju’ ḍâ’ karebbhâ sè apidato,pidato aksi yaitu pidato yang memikat orang sampai setuju kepada kehendaknya yang berpidato
struktur pidato arèya rot-orotanna ngalakowaghi pidato,struktur pidato itu urutan-urutannya melakukan pidato
struktur pidato arèya parlo èkataowè bân èpahamè nyopprè pidato sè èpidatowaghiyâ’ jhârna’ tor na’na’ ḍâ’ sakabbhinna orèng neng papangghiyȃn bhuru,struktur pidato itu perlu diketahui dan dipahami supaya pidato yang dipidatokan jelas dan bermakna kepada semua orang di pertemuan baru
dhinèng struktur pidato rèya bâdâ lèma’ ongrodhân iyâ arèya,sedangkan struktur pidato ini ada lima urutan yaitu
salam pamokka’ aropa’aghi salam sè lumbra neng madhurâ,salam pembuka merupakan salam yang lumrah di madura
orèng madhurâ ella kaonang nganot aghâma islam mèlana salam pamokka’ neng pidato paḍâ bân mon aberri’ salam neng bhân-sabbhân tagheppok è lorong otabâ matamoy salaènna aghâlânon iyâ ngolok salam assalamu-alaikum,orang madura sudah dikenal menganut agama islam makanya salam pembuka di pidato sama dengan kalau memberi salam di setiap bertemu di jalan atau bertamu selainnya bertegur sapa iya mengucap salam assalamu-alaikum
mon neng sèmo jârèya bâḍâ sè nganot aghâma laèn salaèn,kalau di pertemuan itu ada yang menganut agama lain selain
islam samarèna ngolok salam assalamualaikum lajhu ètoro’è ngatorè salamet ḍâ’ sadhâjâ pamèyarsa,islam sesudahnya mengucap salam assalamualaikum lalu diikuti mengucapkan selamat kepada semua pemirsa
sè èmaksod okara pamokka’ iyâ arèya conto para rabu bapa’ sareng èbhu sè paḍâ moljâ,yang dimaksud kalimat pembuka yaitu contoh para hadirin bapak dan ibu yang sama-sama mulia
bânnè sè samè moljâ sabâb oca’ samè arèya bânnè tapè bhâsa jhâbâ,bukan yang sami mulia sebab kata sami itu bukan tapi bahasa jawa
oca’ paḍâ è taḍâ’ bhâsana,kata sama di tiada bahasanya
ėssèna pidato arèya ghumantong ḍâ’ tojjuwânna sè mabâḍâ papangghiyȃn,isinya pidato itu tergantung pada tujuannya yang mengadakan pertemuan
ompamana bhâb perpisahan kellas tantona sè èkaocap bhâb perpisahan sabâriyâ saterrossa,umpamanya tentang perpisahan kelas tentunya yang diucapkan tentang perpisahan begitu seterusnya
sè èmaksod okara panotop iyâ arèya conto para rabu bapa’ sareng èbhu sè paḍâ moljâ namong saka’ḍinto pamator kaulâ sè aropa jhâjhârbâ’ân bhâb pendidikan keluarga saèngghâ bâḍâ tor-ator sè korang sorop ta’ langkong kaulâ nyo’ona pangabbru sè taḍâ’ bâtessa,yang dimaksud kalimat penutup yaitu contoh para hadirin bapak dan ibu yang sama-sama mulia hanya sekian penyampaian saya yang berupa penjelasan tentang pendidikan keluarga sehingga ada tutur kata yang kurang cocok tidak lebih saya meminta maaf yang tiada batasnya
oca’ saèngghâ neng bânnya’ pidato è maghȃrsarè madhurâ segghut èghuna’aghi kalabân nyalèn dâri bahasa indonesia sè artèna sehingga kantos sè bâriyâ tantona sala polè bâḍâ sè nyebbhuttaghi jhâ’ oca’ saèngghâ anḍi’ ma’na amaḍu,kata saèngghâ di banyak pidato di masyarakat madura sering digunakan dengan menyalin dari bahasa indonesia yang artinya sehingga sampai yang begitu tentunya salah lagi pula ada yang menyebutkan bahwa kata saèngghâ punya makna berpoligami
salam panotop paḍâ bân salam pamokka’ iyâ arèya ngolok salam assalamu-alaikum,salam penutup sama dengan salam pembuka yaitu mengucap salam assalamu-alaikum
biyasana samarèna nyebbhut salam assalamualaikum ta’ ètoro’è polè ngatorè salamet akadhi salam pamokka’,biasanya sesudahnya menyebut salam assalamualaikum tidak diikuti lagi mengucapkan selamat seperti salam pembuka
sè èmaksot rancangan pidato iyâ arèya gher-ogher otabâ sosonan sè poko’ sè èpidatowaghiyâ,yang dimaksud rancangan pidato yaitu kerangka atau susunan yang pokok yang akan dipidatokan
gher-ogher bhuru sabellunna apidatowa kodhu èsoson,kerangka baru sebelum akan berpidato harus disusun
orèng sè apidatowa biyasana na-ngarèna apa’an sè kodhu èsebbhut ka’aḍâ’ bân apa sè mosthè èkoca’aghi saterrossa saellana jârèya,orang yang akan berpidato biasanya memikir-mikirkan apa yang harus disebut di depan dan apa yang mesti diucapkan seterusnya setelahnya itu
sakabbhinna karèna’an bhuru èsebbhut rancanganna ḍhâḍhâbuwân sè èpidatowaghiyâ,semua pemikiran baru disebut rancangannya ucapan yang akan dipidatokan
sabbhân orèng sè apidatowa ella ngappra’aghi aghâbây rancangan pidato jârèya conto,setiap orang yang akan berpidato sudah membiasakan membuat rancangan pidato itu contoh
sè èsebbut topik iyâ arèya gher-ogher sè bhâkal èpidatowaghiyâ,yang disebut topik yaitu kerangka yang akan dipidatokan
gher-ogher bhuru kodhu akor bân ngen-angen sè bâḍâ neng pèkkèranna,kerangka baru harus cocok dengan angan-angan yang ada di pikirannya
sè bâriyâ sabâb topik arèya sè bhâkal dhâddhi cer-ancer pidato sè bhâkal è koca’aghiyâ,yang begitu sebab topik ini yang akan jadi ancar-ancar pidato yang akan diucapkan
opama topik bhâb paratoran sakola’an,umpama topik tentang peraturan sekolahan
pidato sè èpidatowaghiyâ iyâ arèya malolo bhâb paratoran sakola’an,pidato yang dipidatokan yaitu melulu tentang peraturan sekolahan
sabelunna kodhu masèghek topik lajhu nantowaghi bhul-ombhul,sebelumnya harus memastikan topik lalu menentukan judulnya
sè èmaksot kalabân tojjhuwân iyâ arèya topik ghellâ’ ètojjhuwaghi ḍâ’ sapa opamana pidato bhuru ḍâri katowa kellas 6 ḍâ’ ca-kancana iyâ arèya morèd kellas,yang dimaksud dengan tujuan yaitu topik tadi ditujukan kepada siapa umpamanya pidato baru dari ketua kelas 6 kepada kawan-kawannya yaitu murid kelas
aghârâp èssè kodhu tao d͎ â’ tojjhuwân pidato saellana lajhu aghârâp bhâb èssè sè sosonanna aghuna’aghi bhâsa sè kèrana sè ngèḍingaghiyâ bisa paham ka ma’nana,menggarap isi harus tahu kepada tujuan pidato setelahnya lalu menggarap tentang isi yang susunannya menggunakan bahasa yang kiranya yang mendengarkannya bisa paham ke maknanya
apa sè ènyamaè pidato,apa yang dinamai pidato
ḍhȃ ḍhȃbuwȃn maḍȃpa’ pessen ḍhȃ ḍhȃbuwȃn ka orèng bȃnnya’,ucapan menyampaikan pesan ucapan ke orang banyak
aḍhȃ kanḍhȃ ka orèng bȃnnya’,berkata-kata ke orang banyak
acarèta ka orèng bȃnnya’,bercerita ke orang banyak
bȃremma cara maḍȃpa’ kabhȃr ka orèng bȃnnya’,bagaimana cara menyampaikan kabar ke orang banyak
abherri’ salam pamokka’,memberi salam pembuka
mènta orèng sèrep ta’ ènger,meminta orang diam tidak bergerak
sè èmaksod salam pamokka’ rèya apa,yang dimaksud salam pembuka ini apa
mon mare ngolok salam pas lajhu bȃremma,kalau selesai mengucap salam lalu bagaimana
kapala sakola segghut apidato abherri’ apa,kepala sekolah sering berpidato memberi apa
kapala sakola apidato sabbhȃn arè sennèn bȃkto apa,kepala sekolah berpidato setiap hari senin waktu apa
pidato abherri’ berta è nyamaè pidato apa,pidato memberi berita dinamai pidato apa
pidato rèya bȃḍȃ bȃrempa macem,pidato ini ada berapa macam
apa tojjhuwȃn pidato informatif,apa tujuan pidato informatif
matapèncot ka sè ngèḍingngaghi,memikat yang mendengarkan
abherri’ berta ka sè ngèḍingngaghi,memberi berita ke yang mendengarkan
ngajhȃk alalakon ka sè,mengajak berbuat ke yang
masenneng ka sè ngèḍingngaghi,menyenangkan yang mendengarkan
apa tojjhuwȃn pidato aksi,apa tujuan pidato aksi
ngajhȃk alalakon ka sè ngèḍingngaghi,mengajak berbuat ke yang mendengarkan
apa tojjhuwȃn pidato rekreatif,apa tujuan pidato rekreatif
apa tojjhuwȃn pidato persuasif,apa tujuan pidato persuasif
sè bhȃghus apidato kodhu bȃremma,yang bagus berpidato harus bagaimana
apa ghunana pidato informatif,apa gunanya pidato informatif
ollè sè èkakarep,dapat yang diinginkan
ollè berta sè èkaparlo,dapat berita yang diperlukan
apa sè kodhu è kataowè sabellunna apidato,apa yang harus diketahui sebelumnya berpidato
kodhu tao ḍȃ’ parlona,harus tahu kepada perlunya
kodhu mènta èdhi ka ghuru,harus minta izin ke guru
kodhu tao ka carana,harus tahu ke caranya
pokok tao acaca,pokoknya tahu berbicara
sabellunna apidato kodhu tao apa,sebelumnya berpidato harus tahu apa
sapa sè ngèḍingngaghi,siapa yang mendengarkan
sapa sè ngonjhȃng,siapa yang mengundang
sapa sè noro’,siapa yang ikut
sapa sè ngater,siapa yang mengantar
bȃremma bhȃsa pidato sè èghuna’aghi è perpisahan sakola’an,bagaimana bahasa pidato yang digunakan di perpisahan sekolahan
apa’an strukturrȃ pidato,apa saja strukturnya pidato
salam pamokka’ bȃn salam panotop,salam pembuka dan salam penutup
okara pamokka’ bȃn okara panotop,kalimat pembuka dan kalimat penutup
èssèna pidato bȃn salam panotop,isinya pidato dan salam penutup
salam pamokka’ okara pamokka’ èssèna pidato okara panotop bȃn salam panotop,salam pembuka kalimat pembuka isinya pidato kalimat penutup dan salam penutup
apa èssèna okara pamokka’ ḍȃlem pidato,apa isinya kalimat pembuka dalam pidato
pojhi sokkor ḍȃ’ allah swt,puji syukur kepada allah swt
pa nyapa ḍȃ’ ka sè bȃḍȃrabu,tegur sapa kepada yang adahadir
shalawȃt sè ètojjhuwȃghi ḍȃ’ nabi muhammad saw,shalawat yang ditujukan kepada nabi muhammad saw
bȃremma bhȃsa sè èguna’aghi mon apidato sè ngèḍingngaghi rèng tanè,bagaimana bahasa yang digunakan kalau berpidato yang mendengarkan orang tani
bhȃsa camporan soal kapèng 21-35 maghut ḍâ’ teksparagraf bâbâ panèka,bahasa campuran soal nomor 21-35 mengacu kepada teksparagraf di bawah ini
sareng ngatorè salamet ḍâ’ saḍhâjâ para rabu,serta mengucapkan selamat kepada semua para hadirin
bapa’ èbhu haḍirin sè paḍâ moljâh,bapak ibu hadirin yang sama-sama mulia
ta’ saponapa arè tapongkor kita ngalamè ghrâ’ân ma ta’-arè,tidak berapa hari ke belakang kita mengalami gerhana matahari
ghi’ jhâman kona sabellunna rèng maḍhurâ nganot ghâma islam èsebhuttaghi bâḍâna mata’arè otabâ bulân ghârâ’â marghâ mata’arè otabâ bulân ghâpanèka èsoltok olar naghâ otabâ bhuta,masih zaman kuno sebelumnya orang madura menganut agama islam disebutkan adanya matahari atau bulan gerhana karena matahari atau bulan itu ditelan ular naga atau raksasa
marghâ ghâpanèka rèng-orèng lajhu paḍâ kalowar pas mokol ronjhângan sè âsebbhut aghuttha,karena itu orang-orang lalu pada keluar lalu memukul ronjhângan yang disebut aghuttha
sè sapanèka nyopprè mata’arè sè è soltok olar naghâ otabâ bhuta ngejjhit lajhu mata’arè sè èsoltok èpalowa’a polè nyopprè mata’arè tèra’a asonar polè,yang begitu supaya matahari yang ditelan ular naga atau raksasa merasa geli lalu matahari yang ditelan dikeluarkan lagi supaya matahari terangnya bersinar lagi
ghustè allah jhughân aparèng èlmo ḍâ’ manossa bhâb ghrâ’ân ghâpanèka,gusti allah juga memberi ilmu kepada manusia tentang gerhana itu
orèng ahli ėlmo falak nyebbhuttaghi jhâ’nalèka mata’arè ghrâ’â ghâpanèka mata’arè bulân sareng bhumè bâḍâ neng sèttong ghâris loros,orang ahli ilmu falak menyebutkan bahwa ketika matahari gerhana itu matahari bulan dan bumi ada di satu garis lurus
kabâḍâ’ân bhumè bulân sareng mata’arè sè sapanèka bisa èyolatè neng gedung bosscha è bandung,keadaan bumi bulan dan matahari yang begitu bisa diamati di gedung bosscha di bandung
ē gedung bosscha ghâpanèka bâḍâ kèker rajâ ka’ang-ghuy naropong èssèna langngè’ akaḍhi bulân bintang mata’arè sareng salaènna,di gedung bosscha itu ada teropong besar untuk meneropong isinya langit seperti bulan bintang matahari dan selainnya
manabi bulân bâḍâ neng nga’-tengnga’an anta-rana mata’arè sareng bhumè bulân ngandengngè sonarrra mata’arè ka bhumè neng kennengngan sè ka’andengngan ghâpanèa lajhu ta’ narèma sonarra mata’arè è kennengan ghâpanèka petteng lajhu ènyamaè mata’arè ghrâ’â,"apabila bulan ada di tengah-tengah antara matahari dan_x000D_
bumi bulan menutupi sinarnya matahari ke bumi di tempat yang tertutupi itu lalu tidak menerima sinarnya matahari di tempat itu gelap lalu dinamai matahari gerhana"
bapa’ èbhu haḍirin sè paḍâ moljâ,bapak ibu hadirin yang sama-sama mulia
namong sapanèka tor-ator kaulâ bhâb ghrâ’âna mata’arè,hanya begitu tutur kata saya tentang gerhananya matahari
ta’ langkong manabi bâḍâ katoppalan kaulâ nyo’ona sapora,tidak lebih apabila ada kekhilafan saya meminta maaf
paragraf 1 bân 2 è attas tamaso’ ḍȃ’,paragraf 1 dan 2 di atas termasuk ke
okara rèya tamaso’ ḍȃ’ okara,kalimat ini termasuk ke kalimat
èssèna pidato bâdâh è,isinya pidato ada di
apa èssèna pidato neng è attas,apa isinya pidato di atas
mon ghrȃ’ȃn bulȃn otabȃ ghrȃ’ȃn arè ca’na rèng madhurȃ konana arapa,kalau gerhana bulan atau gerhana matahari katanya orang madura kuno kenapa
para’ malemma otabȃ para’,hampir malamnya atau hampir
bulȃn otabȃ arè èsoltok bhuta,bulan atau matahari ditelan raksasa
tanḍhȃ aghȃntèya bulȃn,tanda bergantinya bulan
oca’ èsoltok papaḍȃnna oca’,kata ditelan persamaannya kata
apa oca’ lalabȃnna ḍȃri oca’ sabellunna,apa kata lawannya dari kata sebelumnya
bhȃsa ènja’ iyȃna ghȃpanèka apa,bahasa ènja’ iyȃna itu apa
oca’ mokol ḍȃri oca’ asal,kata memukul dari kata asal
paragraf 7 è attas tamaso’ ḍȃ’ okara,paragraf 7 di atas termasuk ke kalimat
oca’ namong bhȃsa enjȃ’ iyȃna,kata 'namong' bahasa ènja’ iyȃna
oca’ manabi bhȃsa enjȃ’ iyȃna,kata 'manabi' bahasa ènja’ iyȃna
oca’ katoppalan bhȃsa enjȃ’ iyȃna,kata 'katoppalan' bahasa ènja’ iyȃna
paragraf 6 è attas tamaso’ ḍȃ’ okara,paragraf 6 di atas termasuk ke kalimat
wassalamualaikum okara rèya ènyamaè okara,wassalamualaikum kalimat ini dinamai kalimat
jȃwȃb titi’ titi’ è bȃbȃ rèya kalabȃn jhȃrna’,jawab titik-titik di bawah ini dengan jelas
sè ènyamaè pidato iyâ arèya,yang dinamai pidato yaitu
pidato hotib neng shalat jum’at biyȃsa èsebbhut,pidato khatib di shalat jum’at biasa disebut
mon rèng apidato è radio èsebbhut,kalau orang berpidato di radio disebut
macemma pidato bȃḍȃ,macamnya pidato ada
sabellunna apidato kodhu nyapa,sebelumnya berpidato harus menyapa
bhȃsa sè èghuna’aghi neng pidato è balai dhisa,bahasa yang digunakan di pidato di balai desa
sè apidato è balai dhisa iyȃ arèya,yang berpidato di balai desa yaitu
sabbhȃn arè sennèn kopala sakola apidato è ḍimma,setiap hari senin kepala sekolah berpidato di mana
pidato èbukka’ bȃn,pidato dibuka dengan
pidato ètotop bȃn,pidato ditutup dengan
apa sè èmaksod pidato,apa yang dimaksud pidato
jhȃrbȃ’ȃghi sosonanna pidato,jelaskan susunannya pidato
sebbhuttaghi macemma pidato,sebutkan macamnya pidato
apa sè èmaksod pidato persuasif,apa yang dimaksud pidato persuasif
apa sè èmaksod pidato aksi,apa yang dimaksud pidato aksi
apa sè èmaksod pidato informatif,apa yang dimaksud pidato informatif
apa sè èmaksod pidato rekreatif,apa yang dimaksud pidato rekreatif
jhȃjhȃl ghȃbȃy okara pamokka’ pidato,coba buat kalimat pembuka pidato
jhȃjhȃl ghȃbȃy okara panotop pidato,coba buat kalimat penutup pidato
jhȃjhȃl ghȃbȃy èssèna pidato,coba buat isinya pidato
aghȃbȃy ghalompo’ bȃnnya’na 2-4 na’-kana’ aghȃbȃy pidato,membuat kelompok banyaknya 2-4 anak-anak membuat pidato
tèmana pèlè sala sèttong è bȃbȃ rèya,temanya pilih salah satu di bawah ini
ghutong rojhung è kampong,gotong royong di kampung
alas jhȃ’ gher pogher,hutan jangan ditebang-tebang
topik bhâb ghârâ’â,topik tentang gerhana
bhul ombhul ghârâ’ân mata’arè bulân,judul gerhana matahari  bulan
assalamualaikum wârohmatullahi wâbârokatuh sarta ngatorè salamet ḍâ’ para kanca sè paḍâ rabu,assalamualaikum warahmatullahi wabarakatuh serta mengucapkan selamat kepada para kawan yang sama-sama hadir
okara pamokka’ bân nyebbhuttaghi tojjhuwân pidato,kalimat pembuka dan menyebutkan tujuan pidato
para kanca ḍâri kellas tello’ kantos kellas ennem sè paḍȃ parjhughȃ,para kawan dari kelas tiga sampai kelas enam yang sama-sama beruntung
alhamdulillah kita è bâkto samangkèn èparèngè kasempatan aghi pangghi insyaallah kaulâ sareng para kanca sadhâjâ è ḍâlem kabâḍâ’ân saè tor sèhat,alhamdulillah kita di waktu sekarang diberi kesempatan untuk bertemu insyaallah saya dan para kawan semua di dalam keadaan baik dan sehat
jhâjhârbâ’ân èssè bhâb ghrâ’ân,penjelasan isi tentang gerhana
ghrâ’ân è nalèka rèng madhurâ ghi’ ta’ nganot aghâma islam,gerhana di saat orang madura masih tidak menganut agama islam
ghrâ’ân saampon rèng madhurâ nganot aghâma islam,gerhana sesudah orang madura menganut agama islam
kita panèka para morèd sadhâjâ ghi’paḍȃ asarè èlmo pangataowan è sakola’an,kita ini para murid semua masih sama-sama mencari ilmu pengetahuan di sekolahan
para kanca saèstona èlmo pangataowan panèka mènorot ḍhâbuna bhuppa’-bhâbhu’ sareng ghuru talèbât parlo sabâb manossa kaangghuy ajhâlânnaghi kaoḍi’ânna panèka kodhu aghuna’aghi pèkkèran aropa akal,para kawan sesungguhnya ilmu pengetahuan ini menurut katanya bapak-ibu dan guru sangat perlu sebab manusia untuk menjalankan kehidupannya ini harus menggunakan pikiran berupa akal
akal jughân bisa èghuna’agghi kangghuy ibâdâ ḍâ’ ghustè allah,akal juga bisa digunakan untuk ibadah kepada gusti allah
sè sapanèka amarghâ neng maghȃrsarè ghi’ bâḍâ rè-karèna partèngkan bâkto sabelunna rèng madhurâ nganot ghâma islam,yang begitu karena di masyarakat masih ada sisa-sisanya pertingkahan waktu sebelumnya orang madura menganut agama islam
kita ghi’ bisa mangghi’ sabâgiyân orèng manabi bâḍâ bulân otabâ arè ghrâ’ân,kita masih bisa menemukan sebagian orang apabila ada bulan atau matahari gerhana
orèng bhuru ghi’ parcajâ bilâ bâḍâ ghrâ’ân arè otabâ bulân,orang baru masih percaya bila ada gerhana matahari atau bulan
mongghu rèng-orèng ghâpanèka bâḍâna ghrâ’ân marghâ bâḍâ ma’ bhuta otabâ raksasa nyoltok bulân otabâ mata’arè,bagi orang-orang itu adanya gerhana karena ada raksasa atau raksasa menyantap bulan atau matahari
mèlana bilâ bâḍâ ghrâ’ân rèng-orèng lajhu dhuli mokol ju-kajuwân ngangghuy panebbhâ,makanya bila ada gerhana orang-orang lalu segera memukul kayu-kayuan memakai sapu lidi
bâḍâ polè nabbhu ronjhângan sè èsebbhut aghuttha,ada lagi menabuh ronjhângan yang disebut aghuttha
sè sapanèka maksotta nyopprè raksasa otabâ ma’ bhuta sè nyoltoghâ bulân otabâ mata’arè ma’ lajhu burung,yang begitu maksudnya supaya raksasa yang menyantap bulan atau matahari agar lalu tidak jadi
para kanca sadhâjâ ḍâri kellas tello’ kantos kellas ennem sè kaulâ hormadhi,para kawan semua dari kelas tiga sampai kelas enam yang saya hormati
saèstona bhâḍhân kaulâ namong terro maḍâpa’a jhâjhârbâ’ân bhâb gharâ’â mata’arè sè ampon kalampan bâ’âri’,sesungguhnya badan saya hanya ingin menyampaikan penjelasan tentang gerhana matahari yang sudah terjadi kemarin
jhâjhârbâ’ân panèka kaulâ narèma ḍâri sè moljâ bâpa’ rahmad ghuru ipa neng kellas ennem,penjelasan ini saya terima dari yang mulia bapak rahmad guru ipa di kelas enam
mènorot pamangghi kaulâ bhâb ghârâ’ân panèka cè’ parlona èpaḍâpa’ ḍâ’ ca-kanca sadhâjâ sabâb kantos samangkèn orèng madhurâ ghi’ bâḍâ sè apamangghi akadhi pamangghina orèng lowar madhurâ,menurut pendapat saya tentang gerhana ini sangat perlu disampaikan kepada kawan-kawan semua sebab sampai sekarang orang madura masih ada yang berpendapat seperti pendapatnya orang luar madura
