No,I
07/ 12/ 2023,"37,150"
08/ 12/ 2023,"38,000"
11/ 12/ 2023,"40,000"
12/ 12/ 2023,"40,000"
13/ 12/ 2023,"40,000"
14/ 12/ 2023,"40,000"
15/ 12/ 2023,"40,000"
18/ 12/ 2023,"40,500"
19/ 12/ 2023,"41,350"
20/ 12/ 2023,"41,350"
21/ 12/ 2023,"42,150"
22/ 12/ 2023,"42,150"
25/ 12/ 2023,-
26/ 12/ 2023,-
27/ 12/ 2023,"44,150"
28/ 12/ 2023,"44,150"
29/ 12/ 2023,"44,150"
01/ 01/ 2024,-
02/ 01/ 2024,"44,150"
03/ 01/ 2024,"44,150"
04/ 01/ 2024,"44,150"
05/ 01/ 2024,"44,150"
08/ 01/ 2024,"42,500"
09/ 01/ 2024,"42,500"
10/ 01/ 2024,"42,500"
11/ 01/ 2024,"42,500"
12/ 01/ 2024,"41,650"
15/ 01/ 2024,"40,000"
16/ 01/ 2024,"40,000"
17/ 01/ 2024,"38,350"
18/ 01/ 2024,"38,350"
19/ 01/ 2024,"38,350"
22/ 01/ 2024,"38,350"
23/ 01/ 2024,"38,350"
24/ 01/ 2024,"38,350"
25/ 01/ 2024,"38,350"
26/ 01/ 2024,"38,350"
29/ 01/ 2024,"36,650"
30/ 01/ 2024,"36,650"
31/ 01/ 2024,"36,650"
01/ 02/ 2024,"36,650"
02/ 02/ 2024,"36,650"
05/ 02/ 2024,"38,350"
06/ 02/ 2024,"38,350"
07/ 02/ 2024,"38,350"
08/ 02/ 2024,"38,350"
09/ 02/ 2024,-
12/ 02/ 2024,"38,350"
13/ 02/ 2024,"38,350"
14/ 02/ 2024,"38,350"
15/ 02/ 2024,"39,150"
16/ 02/ 2024,"39,150"
19/ 02/ 2024,"41,650"
20/ 02/ 2024,"41,650"
21/ 02/ 2024,"41,650"
22/ 02/ 2024,"41,650"
23/ 02/ 2024,"41,650"
26/ 02/ 2024,"40,000"
27/ 02/ 2024,"40,000"
28/ 02/ 2024,"40,850"
29/ 02/ 2024,"40,850"
01/ 03/ 2024,"40,000"
04/ 03/ 2024,"40,000"
05/ 03/ 2024,"40,000"
06/ 03/ 2024,"40,000"
07/ 03/ 2024,"40,000"
08/ 03/ 2024,"40,000"
11/ 03/ 2024,"40,000"
12/ 03/ 2024,"40,000"
13/ 03/ 2024,"37,500"
14/ 03/ 2024,"37,500"
15/ 03/ 2024,"38,350"
18/ 03/ 2024,"38,350"
19/ 03/ 2024,"38,350"
20/ 03/ 2024,"38,350"
21/ 03/ 2024,"39,150"
22/ 03/ 2024,"39,150"
25/ 03/ 2024,"38,350"
26/ 03/ 2024,"38,350"
27/ 03/ 2024,"38,350"
28/ 03/ 2024,"38,350"
29/ 03/ 2024,"38,350"
01/ 04/ 2024,"46,650"
02/ 04/ 2024,"47,500"
03/ 04/ 2024,"47,500"
04/ 04/ 2024,"47,500"
05/ 04/ 2024,"47,500"
08/ 04/ 2024,"47,500"
09/ 04/ 2024,"47,500"
10/ 04/ 2024,"47,500"
11/ 04/ 2024,"47,500"
12/ 04/ 2024,"47,500"
15/ 04/ 2024,"47,500"
16/ 04/ 2024,"65,850"
17/ 04/ 2024,"65,850"
18/ 04/ 2024,"65,850"
19/ 04/ 2024,"67,500"
22/ 04/ 2024,"70,850"
23/ 04/ 2024,"70,850"
24/ 04/ 2024,"70,850"
25/ 04/ 2024,"71,650"
26/ 04/ 2024,"71,650"
29/ 04/ 2024,"71,650"
30/ 04/ 2024,"71,650"
01/ 05/ 2024,"71,650"
02/ 05/ 2024,"70,850"
03/ 05/ 2024,"69,150"
06/ 05/ 2024,"63,750"
07/ 05/ 2024,"66,650"
08/ 05/ 2024,"59,150"
09/ 05/ 2024,"59,150"
10/ 05/ 2024,"59,150"
13/ 05/ 2024,"56,650"
14/ 05/ 2024,"57,500"
15/ 05/ 2024,"56,650"
16/ 05/ 2024,"56,650"
17/ 05/ 2024,"56,650"
20/ 05/ 2024,"53,350"
21/ 05/ 2024,"53,350"
22/ 05/ 2024,"53,350"
23/ 05/ 2024,"53,350"
24/ 05/ 2024,"53,350"
27/ 05/ 2024,"50,850"
28/ 05/ 2024,"50,850"
29/ 05/ 2024,"55,000"
30/ 05/ 2024,"55,850"
31/ 05/ 2024,"55,850"
03/ 06/ 2024,"52,500"
04/ 06/ 2024,"52,500"
05/ 06/ 2024,"51,650"
06/ 06/ 2024,"51,650"
07/ 06/ 2024,"51,650"
10/ 06/ 2024,"51,650"
11/ 06/ 2024,"51,650"
12/ 06/ 2024,"51,650"
13/ 06/ 2024,"51,650"
14/ 06/ 2024,"51,650"
17/ 06/ 2024,"51,650"
18/ 06/ 2024,"51,650"
19/ 06/ 2024,"44,150"
20/ 06/ 2024,"44,150"
21/ 06/ 2024,"44,150"
24/ 06/ 2024,"41,650"
25/ 06/ 2024,"41,650"
26/ 06/ 2024,"41,650"
27/ 06/ 2024,"42,500"
28/ 06/ 2024,"42,500"
01/ 07/ 2024,"41,650"
02/ 07/ 2024,"40,850"
03/ 07/ 2024,"40,000"
04/ 07/ 2024,-
05/ 07/ 2024,"40,000"
08/ 07/ 2024,"38,350"
09/ 07/ 2024,"38,350"
10/ 07/ 2024,"38,350"
11/ 07/ 2024,"38,350"
12/ 07/ 2024,"38,350"
15/ 07/ 2024,"36,650"
16/ 07/ 2024,"36,650"
17/ 07/ 2024,"36,650"
18/ 07/ 2024,"36,650"
19/ 07/ 2024,"36,650"
22/ 07/ 2024,"36,650"
23/ 07/ 2024,"36,650"
24/ 07/ 2024,"36,650"
25/ 07/ 2024,"36,650"
26/ 07/ 2024,"36,650"
29/ 07/ 2024,"32,500"
30/ 07/ 2024,"32,500"
31/ 07/ 2024,"32,500"
01/ 08/ 2024,"32,500"
02/ 08/ 2024,"32,500"
05/ 08/ 2024,"32,150"
06/ 08/ 2024,"32,150"
07/ 08/ 2024,"32,150"
08/ 08/ 2024,"33,000"
09/ 08/ 2024,"31,650"
12/ 08/ 2024,"30,850"
13/ 08/ 2024,"30,850"
14/ 08/ 2024,"30,850"
15/ 08/ 2024,"30,850"
16/ 08/ 2024,"31,650"
19/ 08/ 2024,"31,650"
20/ 08/ 2024,"31,650"
21/ 08/ 2024,"32,500"
22/ 08/ 2024,"32,500"
23/ 08/ 2024,"32,500"
26/ 08/ 2024,"31,650"
27/ 08/ 2024,"31,650"
28/ 08/ 2024,"31,650"
29/ 08/ 2024,"31,650"
30/ 08/ 2024,"31,650"
02/ 09/ 2024,"32,500"
03/ 09/ 2024,"32,500"
04/ 09/ 2024,"32,500"
05/ 09/ 2024,"32,500"
06/ 09/ 2024,"32,500"
09/ 09/ 2024,"31,650"
10/ 09/ 2024,"31,650"
11/ 09/ 2024,"31,650"
12/ 09/ 2024,"31,650"
13/ 09/ 2024,"31,650"
16/ 09/ 2024,"31,650"
17/ 09/ 2024,"31,650"
18/ 09/ 2024,"31,650"
19/ 09/ 2024,"31,650"
20/ 09/ 2024,"31,650"
23/ 09/ 2024,"31,650"
24/ 09/ 2024,"31,650"
25/ 09/ 2024,"31,650"
26/ 09/ 2024,-
27/ 09/ 2024,"31,650"
30/ 09/ 2024,"31,650"
01/ 10/ 2024,"31,650"
02/ 10/ 2024,"31,650"
03/ 10/ 2024,"31,650"
04/ 10/ 2024,"31,650"
07/ 10/ 2024,"32,500"
