Madura,Indonesia
Mosèm nambhârâ’ iyâ arèya è bȃkto ?,Musim hujan yaitu di waktu?
Engko' mapak orèng agosip neng jhâlân.,Aku memergoki orang bergosip di jalan.
Bâkto sadhâjâ pottrana ghi’ kènè’ ,Ketika semua putranya masih kecil
Mènta orèng sèrep ta’ ènger,Meminta orang diam tidak bergerak
Gi' buru ya,Baru saja nih.
tè paè',teh pahit
Ejjin jiya ejjin.,Jin itu jin.
Bilâ ḍâpa’ ka pongkasanna laghu èn maènan Ghâi’ Bintang panèka pas jhung ghâlluwân ,"Ketika sampai di akhir lagu permainan  ""Ghâi' Bintang"", mereka serentak"
Juko' malolo elajjai.,Ikan melulu yang dilayani.
ḍâri sakè'na dhâghâ nangès arat-tarat,karena sangat sakit sampai menangis menjerit-jerit
patang hâles,saling halas
Addreng sè majâng.,Rajin melaut.
"Ka' Sudahnan, sapena e kandhang tadha","Kak Sudahnun, sapinya yang di kandang tidak ada."
Dhukon jiyâ langsong ètajhâ' kalambhina.,Dukun itu langsung ditarik bajunya.
 Pangantan tao abhȃjȃng,pangantan tahu sembahyang
"Mèla bârâmma kalamon dhibi’en arèya èbèrri’ alas kalabân sèngko’, Brontosèno?","Maka bagaimana kalau dirinya itu diberi hutan olehku, Brontoseno?"
mitbhit buluna ajâm,mencabuti bulu ayam
Sampeyan.,Kamu.
Enggi samangken pon pendhanan.,Ya sekarang sudah lumayan.
trunojoyo ampon kaalok pahlawan madhurâ,trunojoyo sudah tersohor sebagai pahlawan madura
"Berta sè larès/ jhujhuk, èngghi panèka macemma berta sè biyasana èserrat kalabân rèngkes tor tèngkes ponapa bâḍâna.","Berita yang laris/langsung, yaitu macamnya berita yang biasanya ditulis dengan ringkas dan padat apa adanya."
Ana’na co loncowȃn,Anaknya lucu-lucu
so'è abit so'è soghi,semakin lama semakin kaya
Angghuy bhâi saparlona.,Gunakan saja seperlunya.
Mayyit se mare esocce'na pas duli ebundu' samper,Jenazah yang selesai disucikannya lalu segera dibungkus kain samping.
Oca’ sè kèngèng ter-ater a ḍâlem tokèlan bâca’an è attas èngghi panèka,Kata yang mendapat awalan a dalam cuplikan bacaan di atas yaitu...
Posang dhalem kabadha'an kaojanan.,Pusing dalam keadaan kehujanan.
bungkol lanjhâng,bulat panjang
malem ganeko aba'na paggun adekker.,Malam itu dia tetap berzikir.
Masang canggana listrik.,Memasang tiang listrik.
"Kacamadhȃn Bato pate, bȃḍȃ èḍimma?","Kecamatan Batoputih, ada di mana?"
La adân la.,Sudah azan sudah.
ngothes ca'na.#,Mandi katanya.
Bȃnnya’ orèng mate,Banyak orang meninggal.
èsto ta' kèra jappa,sungguh tidak akan lupa
"Saampona ètaburi nyèyor, pècongnga èsèramè mèra.","Setelah ditaburi kelapa, pincuknya disirami merah."
Polana sabinè'en Buari rèya sakè' molaè roma rèya èlakonè.,Karena istrinya Bu Ari ini sakit mulai rumah ini dikerjakan.
Bula ban dika mandar gi' epakellara ngerem,Aku dan kamu semoga masih dimampukan mengirim.
Èsebbhut apa pole aksara ghȃjȃng jȃrèya?,Disebut apa lagi aksara hancarakan tersebut?
gbâjhâ jhâ' jhitngejjhidhi,ayo jangan membuat terkejut
Pon daddi bu-obuwanna.,Sudah menjadi peliharaannya.
Jhâman lakar la aobâ.,Zaman memang sudah berubah.
Bȃḍȃ bȃrempa pangangghuy aksara ghȃjȃng sè aropa ghȃntongan?,ada berapa pangangghuy aksara hanacaraka yang berupa gantungan?
kajuna molpol,kayunya lapuk
Nyoro sajjhek Suroso ngatèla' orèng lakè' maso' neng romana Maya.,Menyuruh sejak Suroso melihat lelaki masuk di rumahnya Maya.
Pekkeranna epanyettong ka Se Kobasa.,Pikirannya disatukan ke Yang Kuasa.
"Namong manabi ghâlimpo’na ca’ oca’, panèka langkong jhârna’ ponapa maksoddhâ.","Namun jika kumpulan kata-kata, itu lebih jelas apa maksudnya."
emmas sokkla,emas mumi
Tèrowè tolès pabhâghus papaḍâ bân contona!,Tiru tulisan perbagus samakan dengan contohnya!
Aldi makalowar sapèḍa ḍâri romana,Aldi mengeluarkan sepeda dari rumahnya.
"Tèks pidato sè èyangghuy ḍâlem papangghiyân kaangghuy mertè orèng laèn, èsebbhut pidato ","Teks pidato yang dipakai dalam pertemuan untuk mengarahkan orang lain, disebut pidato"
palang ongghu,sungguh celaka
Nyare dhalem alas ganeko.,Mencari di dalam hutan itu.
Rèngorèng sakabbhinna èpaambu.,Orang-orang semua disuruh berhenti.
cè' oso'na sè abhâjâng,sangat khusuk yang bersembahyang
Maryam nolongè èbhuna è ḍâpor,Maryam menolong ibunya di dapur
"E tase', omba' ondur-dhateng ta' etemmo tandhana.","Di laut, ombak datang-pergi tidak ada tandanya."
Mon alassanna Semar polana Simar rèya ta'pantes dhâddhi Malaèkat sè nabu'an nyabâ.,Kalau alasannya Semar karena Simar ini tidak pantas menjadi Malaikat yang mencabut nyawa.
Tarutama ka nè'-binè' sè parabân.,Terutama pada gadis-gadis yang perawan.
Salakè'en ta' bisa merri'ana' polana omorra la ta' bisa ghâbây toronanna.,Suaminya tidak bisa memberi anak karena umurnya sudah tidak bisa untuk keturunan.
Temmo anyerrang langsong ka pabbrè' mènnya'.,Tiba-tiba menyerang langsung ke pabrik minyak.
Molaè dâri ta' taona abâ' sampè'ghu-ongghu tao ka kalako'enna sè èpadâ'râmma'a kabudina.,Mulai dari tidak tahunya badan sampai sungguh-sungguh tahu pada pekerjaannya yang mau diapakan ke belakangnya.
Badha settong juko' se nyander.,Ada satu ikan yang bertengger.
"Emma' jâwâb dâteng dâri lèstoran, èntar ngakan.","Ibu menjawab datang dari restoran, pergi makan."
bâca patètè,baca yang teliti
Tanangnga Salma e tabu'na,Tangannya Salma di perutnya.
bulu plikker,bulu keriting
"Kakè makè la nyarèa dâmma, la ta' kèra nemmo masakè' sèngala' dârâna Ba-emba, makè la èdonor dârâna pagghun tadâ'rèng endâ'.","Kamu meskipun sudah mencarinya ke mana, sudah tidak akan menemukan penyakit yang mengambil darahnya mbah-mbah, meskipun didonorkan darahnya tetap tidak ada orang mau."
dhujân ngèco'an,suka mencuri
Alos onggu.,Halus sekali.
bâḍâ ghunana,ada kegunaannya
Apa tojjhuwȃn pidato aksi?,Apa tujuan pidato aksi?
Èyatorè talèktèghi ra-okara è bâbâ ka’ḍinto!,Silakan teliti kalimat-kalimat di bawah itu!
Arena se matao roba dhari bun temor sajan tenggi,Matahari yang menunjjukan rupa dari bagian timur semakin tinggi.
Konco' bungkel padha ekabuto.,Ujung singkong sama-sama dibutuhkan.
"Parlambhȃng parnyata’an sè èpaḍȃpa’ ka sèttong orèng, aropa ponapa?","Perlambang pernyataan yang disampaikan ke satu orang, berupa apa?"
juju' binè',buyut perempuan
kalambhi sè è jhemmor è kèco' malèng,baju yang dijemur dicuri maling
Tantona bi' Pa' Tenggi keya,Tentunya dengan Pak Kepala Desa juga.
jhâmo paè',jamu pahit
Ngèrèng karembhâk sareng ghâlipo’na ka’angghuy ajâwâb pètanya è bâbâ panèka kalabân jâwâbhân sè sorop!,ayo Diskusikan dan temukan jawabannya untuk menjawab pertanyaan di bawah ini dengan jawaban yang tepat!
lajânganna èolor lanjhâng sampè' mettèk,layangannya diulur panjang sampai kelihatan kecil
Tana neng Madhurâ lamba'en rèya sè-bersè.,Tanah di Madura dulunya ini bersih-bersih.
Aneko'gallu panjerra.,Ini dulu bayarnya.
Tantona sajan raket se ataresna,Tentunya semakin erat yang bercinta.
lo' pa-apa,tidak  apa-apa
bhenḍer ongghu,sungguh benar
Tape ta' sampe' badha se tabarangka,Tapi tidak sampai ada yang tersandung.
Parao sè èyangghuy Kèyaè ta'ètemmo jhâ' bâdâ dimma.,Perahu yang dipakai Kiai tidak ditemukan di mana.
Ajâgá rèng-orèng sè bâdâ neng kampong Malatè bi' laenna.,Menjaga orang-orang yang ada di Kampung Melati dan lainnya.
Kalakowanna la kare sakone,Pekerjaannya sudah tinggal sedikit.
"Buh empon mon ollena teker ta' olle sasirudan se cap tampar balekkadan, napepole ekabelliya secap gudang.","Duh sudah kalau dapatnya teker tidak dapat satu sedotan pun cap tali sama sekali, apalagi dibelikan yang cap gudang."
bhurun sè nalar,binatang atau margasatwa yang merangkak atau melata
Muna sè nyatana nèser mon bâdâ nè'-binè' sèèkennèng paser bi' Rasat.,Muna yang nyatanya kasihan kalau ada gadis-gadis yang kena pelet oleh Rasat.
angèn laot,angin selatan
"Bhândhârân, bâkto ta'ngèddhâ tèdung","Bandara, waktu tidak pulas tidur."
jhung ghâlluwân,yang paling lebih duluan
"Sahi apal ja' sowara jareya sowarana Salma, binena","Sahi hafal bahwa suara itu suaranya Salma, istrinya."
Gemmet kare baddhana,ludes tinggal wadahnya.
Katon arekkep polo sè bânnya' kokos bher-ngabbher.,Terlihat memeluk pulau yang banyak asap beterbangan.
cè' rocona,sangat akrab
Areya pendhanan empolana.,Ini sepertinya saja aslinya.
Sambi esergu' dhangsakadhang. ,Sambil dihisap terkadang.
Kaodhi'an bila gampang neko agiba kaloppa'an.,Kehidupan kalau gampang itu membawa kelupaan.
"Èkèding bâdâ rèng aghellân,neng arè Kemmès otamana.","Terdengar ada orang tertawa, di hari Kamis utamanya."
Tandhâ jhấ bâdâ rèng sèmatè polè neng arè rèya.,Tanda bahwa ada orang yang mati lagi di hari ini.
Ѐkaghâbâyâ ko pako.,mau dijadikan ko pako
"Paddhâ, èngghi panèka bâḍâna bhiri otabâ bhâris/paddhâ neng tembhâng macapat.","Paddhâ, yaitu adanya baris di dalam tembang macapat."
colpak ghighina,tanggal giginya
Pajâng èyocol ka bâbâ.,Pukat diturunkan ke bawah.
Sarini kare kadibi'an se gi' mella,Sarini tinggal sendirian yang masih terjaga.
Sapa’an sè bisa èntar ka perpustakaan jȃrèya?,Siapa saja yang bisa pergi ke perpustakaan itu?
Teppa'e penggirra binena,Tepat di pinggir istrinya.
"Napepole massa'na, enggi sajan perak,","Apalagi masaknya, iya makin beruntung,"
Mon molè mowana ta' robâ apa.,Kalau pulang mukanya tidak berubah apa-apa.
"Na’-kana’ amaèn bȃng-tabȃngan, amaèn salodor, amaèn sambai ngèjhung lar-kolarjhȃng bias kalowar pello kèya.","Anak-anak bermain kejar-kejaran, bermain salodor, bermain sambil ngidung ular-ularan juga bisa mengeluarkan keringat."
"Kadhiponapa carana nolès tor maca horop latèn panèka, Bu? Pètanyana Fieda ka ghuruna","Bagaimana cara menulis dan membaca huruf latin itu, Bu? Tanya Fieda kepada gurunya"
Imam ngolok salam,Imam mengucap salam.
obi bȃḍȃ è ḍȃlem tana bȃn klèntèng bȃḍȃ neng attas tana,ubi ada di dalam tanah dan biji kelor ada di atas tanah
Ngajhâk ngocol lajângan,Mengajak menerbangkan layangan
Wassalamualaikum Okara rèya ènyamaè okara ,Wassalamualaikum Kalimat ini dinamai kalimat
Mad Ja'i nyaba' tonju'na e attasanna elongnga.,Mad Ja'i menaruh telunjuknya di atas hidungnya.
mara apa,seperti apa
Neng teks narasi bâḍâ bherta otabâ kadhâddhiyân sè,Di dalam teks narasi ada berita atau kejadian yang
"Koca'en kabhâr,kettang sè bâdâ neng Nèpa rowa prajurit sènyaksè'è èlangnga Radèn Segara bi'Embu'en.","Katanya kabar, ketan yang ada di Nepa itu prajurit yang menyaksikan hilangnya Raden Segara dan Neneknya."
Alasan jareya keya se ekabala baktona ngerem sabellunna Man Sunahwi tadha' omor,Alasan itu juga yang diberitahukan waktunya mengirim sebelumnya Paman Sunahwi meninggal dunia.
saropèya num,satu rupiah
amarghâ ta' lin-jhellingan sokona tapaggul ka bâta,karena tidak awas kakinya terantuk ke baru
Sombu attas ebaliga ka baba.,Sumbu atas dibalik ke bawah.
Pas romana èlakonè.,Lalu rumahnya dikerjakan.
"Teks sè ajhârbâ’aghi sèttong kadhâddhiyân kalabân ḍuwâ’ pamangghi sè bhidhâ kalabân aghuna’aghi akkal, èngghi panèka sè èsambhât teks ","Teks yang menjabarkan satu kejadian dengan dua pendapat yang berbeda dengan menggunakan akal, yaitu yang disebut teks"
Mon bâḍâ jhuko’ neng ghilina rut-jurut lajhu èsarghep.,Kalau ada ikan di aliran selokan lalu ditangkap.
"DHARI morlao'na saba ganeko, ella' songay, kaalang alas perreng ban bungkana jate, ekaedhing na'-kana' dhalem kabadha'an upaca-ra Pandhira Mera Pote, kalaban sambi anyanyi lagu Indonesia Raya, ekaedhing nyi-nyanyianna","DARI tenggaranya sawah itu, melewati sungai, terhalang hutan bambu dan pangkalnya jati, terdengar anak-anak dalam keadaan upacara Bendera Merah Putih, dengan sambil menyanyikan lagu Indonesia Raya, terdengar nyanyian"
Sombher bân songay kerrèng,Sumber air dan sungai mengering.
taḍâ' orosân,tidak ada urusan
èberri' manḍat,diberi mandat
paro èḍâng,masing-masing mendapat separuh
"Tape karana e are ganeko, aba'na ajalan kadibi'an, ta' abareng kancana.","Tapi karena di hari itu, dia berjalan sendirian, tidak bersama temannya."
Sajân ka nyaman bi' rèng lakè' sèsengka'an alako.,Semakin nyaman bagi lelaki yang malas bekerja.
"Nye'-konye' gunong, Man!","Kunyit gunung, Paman!"
ḍâunna ghâgghâr akalèrkèran,daunnya jatuh berserakan kemana-mana
Ja' ler-meller ban abakte ka reng towa,Jangan loyo dan berbakti kepada orang tua.
"Rèng Madhurâna bhâi satèya bânnya' sè noro' buntèk jhâlenna orèng sè mellak nyarèpèssè, sè ahèrra marosak tana sè dâ-da'en gânteng.","Orang Maduranya saja sekarang banyak yang mengikuti dari belakang jalannya orang yang serakah mencari uang, yang akhirnya merusak tanah yang dadakannya indah."
lakè' otabâ binè',laki ataua perempuan
"Mirah neggu' sapiker kènè' sambi' ngoca' ka sèlaèn soro bhâris pateppa', polana bâdâ caca sè pentèng koca'en.","Mirah memegang pengeras suara kecil sambil berkata pada yang lain suruh baris yang tepat, karena ada pembicaraan yang penting katanya."
nyèbâ' buwâna nangka,membelah buah nangka
manès oladdhâ,menyenangkan pandangannya
lettè'na apoy,bunga api
ro' ngoro',menggali-gali
Tanges sajan raja bakto mayyit eosong dhari romana,Tangis semakin besar waktu jenazah digotong dari rumahnya.
Setelab itu aku akan bangun pengeboran minyak.,Setelab itu aku akan bangun pengeboran minyak.
ḍu bellâs,dua belas
tokang sepatu,tukang yang ahlinya memperbaiki sepatu
asar mabâ è pasèsèr camplong,waktu matahari akan terbenam di pantai camplong
Dhâddhi mon aghâbâyâ tembhâng kodhu tao ḍâ’ sè wâjib bâḍâna kaanggghuy tembhâng.,Jadi kalau akan membuat tembang harus tahu pada yang wajib adanya untuk tembang.
"Iyâ salamet, bhuru bâḍâ manossa sè ngala’a, tapè èkaromo’ bân tang pan­jurit, pas burung jâwâbbhâ ratona kalèng ka korbhina mano’.","Iya selamat, baru ada manusia yang akan mengambil, tapi dikerumuni oleh prajuritku, lalu tidak jadi jawabnya rajanya semut ke burung merpati."
Kabbhi ngolok Biibi.,Semua memanggil Bi-ibi.
Jembar molae nyonar dhari mowana.,Lega mulai bersinar dari wajahnya.
Dhing la ètaburi ta' ghellem kennèng.,Ternyata sudah ditebar tidak mau kena.
sakè' kancèngan,sakit kerongkongan
Sè laèn aonggu' ngartè.,Yang lain mengangguk mengerti.
Saè sè bhâkal bâḍâ tor kèngèng jhughân carètana kadhâddhiyân sè ampon kalampan.,Isinya dapat berupa kejadian nyata maupun hasil rekaan.
Tase' amorba jagat se paleng ngombar janji paste se bakal nekkane hajadda,Laut membuka jagat yang paling mengumbar janji pasti yang akan memenuhi hajatnya.
"Otamana mon kaju gali, kaju sembalan otaba kaju bungkol","Utamanya kalau kayu keras, kayu belahan atau kayu gelondongan."
Pucung bâḍâ 4 paddhâ,Pucung ada 4 paddhâ
bulâ ta' parḍuli,saya tidak peduli
"Kancana kacong ganeko pajat pon abit ngarep paraban ganeko, sakeng gunna gi'rat-soradan.","Temannya anak itu memang sudah lama mengharapkan perawan itu, tapi hanya masih surat-suratan"
bânnya' rèng manca naghârâ akalènjâr ka polo bhâli,banyak orang dari manca negara berwisata ke pulau bali
Coma rèng-orèng sè tao ka èlmo Sorat Yusufbisa nebbhâk pangabhârân sè èyangghuy Rasat.,Cuma orang-orang yang tahu pada ilmu Surat Yusuf bisa menebak rayuan yang dipakai Rasat.
èlettè'èn apoy,terkena percikan api
Orèng sorowanna Radèn Wijaya langsong mangkat.,Orang suruhannya Raden Wijaya langsung berangkat.
Poko' la mon ngabâsaghi cè' bhungana.,Pokoknya kalau melihatnya sangat senang.
jerruk bhâli,jeruk bali
Ahèrra Cebbi matè.,Akhirnya Cebbi mati.
E bagiyan bara'na edina ta' esa-ba'i kaju polana sara bila la ngala'a ban ambu,Di bagian baratnya dibiarkan tidak ditaruhi kayu karena susah bila sudah mau ambil dan berhenti
Tadâ' dinna' Pa' Bu'!,Tidak ada di sini Pak Bu!
nâkḍhâk labâng,menggedor pintu dengan keras
Akaton ta' apangara sakale se atemmowa.,Kelihatan tidak bernafsu sama sekali yang ingin bertemu.
Oca’ kèyas ajâm pangorongan artèna èngghi panèka ,Kata kiasan ayam dalam kurungan artinya yaitu
Nyaot karana'a.,Menjawab karena.
tang kopi ghi' akarè satengnga gellas,minuman kopiku masih tersisa setengah gelas
Èyatorè jâwâb pètanya-pètanya è bâbâ ka’ḍinto kalabân pèlèyan sè palèng lerres! ,Silakan jawab pertanyaan-pertanyaan di bawah ini dengan pilihan yang paling benar!
"Yâ, sèngko’ ghi’ atanya’a ghâllu ka tang kanca pola tao carana aghâbây.","Ya, saya akan tanyakan dulu ke teman yang tahu cara membuatnya."
sèngko' malemma ter-ketterran amarghâ sakè',tadi malam saya menggigil lcarena sakit
Bungkana kataresna'an ganeka se pas nyanggerra' tadha' talena dha' bula agubeng neng settong poserra ate,Pohon percintaan itulah yang kemudian mengikat tanpa tali kepada diriku berputar di satu pusat hati.
Pa' Tenggi nanto Cong Nangka se jasadda egiba ngabang sokmana jau dhari anaban ragana,Pak Kepala Desa menyadarkan Cong Nangka yang jasadnya dibawa melayang sukmanya jauh dari dengan raganya
"Monla Ninja celleng maèlang ta' temmo dâmmana, rèng-orèng molè ka romana bâng-sèbâng.","Kalau sudah Ninja hitam menghilang tidak ketemu di mana, orang-orang pulang ke rumahnya masing-masing."
sè palèng sombong,yang paling sombong
Èn-maènan panèka pajhât bâḍâ laghuna.,permainan biasanya ada lagunya
Marèna monla dâpa' ka romana langsong maso'è ghân tong sèttong ka kamarra.,Nanti kalau sudah tiba di rumahnya langsung masuki hanya satu-satu ke kamarnya.
jhita ḍam-eḍḍaman,kain cita yang bercorak kotak-kotak seperti catur
labângnga jhâ' ḍarḍar,pintunya jangan dibuka terlalu lebar
kompoy lakè',cucu laki-laki
oca' ghâjâdhân,kata-kata gurauan
Jȃrèya sè èkoca’ amaèn samba olahraga.,Itu yang disebut bermain sambil berolahraga.
SDN Tlonto Rajâ,SDN Tlonto Raja
Samalem bhenteng ojhân dhèrres,Semalam suntuk hujan deras
"Èserrat kalabân aksara pèghu, èngghi panèka aksara Arab-Malaju.","Ditulis dengan aksara pegon, yaitu aksara Arab-Melayu."
Ampon kasadhiya kobi tor roko'na.,Sudah tersedia kopi dan rokoknya.
abârna ennyat,berwarna merah muda
Engko' angangghuy jakèt celleng sè dâlemma aèssè amplok.,Aku memakai jaket hitam yang dalamnya berisi amplop.
macan toltol,macan tutul
jhâ' râ-magherrâ oca',j angan sombong dalam berbicara
"Sarè ca’-oca’ sè malarat è ḍȃlem ghȃncaran è attas, sarè artèna!","Cari kata-kata yang sulit di dalam bacaan di atas, cari artinya!"
Apa oca’na Brudin saellana èmellèyaghi ajâm ban Ebhuna?,Apa ucapan Brudin setelah dibelikan ayam oleh Ibunya?
 lè' tanèyan neng adâ'ân dhing ano èghâbâyâ kennengenna sabung ajâm.,"Dik, halaman di depan itu anu dibuat tempat sabung ayam."
èghârâssa ampon cokop,terasa sudah cukup
Artatè bâḍâ 10 paddhâ ,Artatè ada 10 paddhâ
Kadhang badanna cellep.,Kadang badannya dingin.
Tekka' satonè'engko' pagghun ta' anyorodhâ.,Sampai sedikit pun aku tetap tidak akan surut.
paberka'na lo' ghâncang,larinya tidak cepat
Buwâna dhâddhi bârnana palappa,Buahnya menjadi warnanya bumbu
"Emolae dhari paddu mordhaja, epet dha' bara'.","Dimulai dari bagian timur, sampai ke barat."
Semar Simar angemmès.,Semar Simar memohon.
"Oca’ kèyasan èngghi panèka oca’ sè aghânḍhu’ artè kèyas, èngghi panèka artè sè ta’ samasthèna, kèngèng jhughân èsambhât parsemon.","Kata kiasan yaitu kata yang mengandung arti kias, yaitu arti yang tidak semestinya, boleh juga disebut kiasan."
Sabbhân arè Dulla cè’ bhâjhengnga sè makanè.,Setiap hari Dulla sangat rajinnya yang memberi makan.
bapa' kabâllun,bapak tiri
"Jhȃjhȃl aghȃbȃy bhȃk-tebbhȃghȃn bȃnnya’na 10, tolès è bukuna, pas bȃcȃ neng aḍȃ’na kellas!","Coba membuat tebak-tebakan banyaknya 10, tulis di bukunya, lalu baca di depannya kelas!"
Se pa'bellas ajajar dhubaris pepetto'-pepetto'.,Yang empat belas berjajar dua baris tujuh-tujuh.
Sat Sat Sat sapa pateppa,Sat Sat Sat siapa beneran.
Accem bucco' ghâgghâr libâliyân tadârèng tao.,Asam busuk jatuh berulang kali tidak ada yang tahu.
saparo èḍâng,mendapatkan masing-masing separuh bagian
anḍhâp asor atèna jbumenneng jhâlma bâbinè',sopan santun ia sebagai seorang wanita
amaèn sotklosodhân,bermain gelincir-gelinciran
"Ѐ ḍâlem tokèlan kanḍhâ è attas, sè èpatongana Yanto èngghi panèka","Dalam cuplikan percakapan di atas, yang mau dibeli Yanto adalah"
"Dhapa' baktona beddhuk, giliran se abajanga","Tiba waktunya zuhur, giliran untuk salat."
sèngko' ta' pema abit neng-enneng èmèn-rammèn,saya tidak betah lama berdiam di tempat yang ramai-ramai
Pokol 06.30 bhuru mangkat ḍȃri sakola’an.,Pukul 06.30 baru berangkat dari sekolah.
"Bhâruwâng anḍi’ indra penciuman bân pendengaran sè tajhem, dhâddhi bhâruwâng bisa ngonges bâu bân ngèḍing monyè apa’a bhâi ḍâri kennengngan sè jhâu.","Beruang punya indra penciuman dan pendengaran yang tajam, jadi beruang bisa mencium bau dan mendengar bunyi apa pun dari tempat yang jauh."
dhâlubâng kaju,kertas kayu
talèbât rajâ,terlalu besar
Lajâr panèka kennengnganna èsabâ’ è,Lajar letaknya diletakkan di
èbhu cè' kaghiddhâ salastarèna mèreng jhâ' pottrana sèḍhâ amarghâ panyakèt sè èkasanḍhâng,ibu sangat teikejut setelah mendengar anaknya sudah meninggal karena penyakit yang dideritanya
ta' ènga' polè,tidak ingat lagi
"Sajjegga e lon-alon molae ramme kalaban oreng ngaji, la'-ola' se nyongke' kole'na Cong Nangka molae ngocel ngalotor gan settong, pas elang","Sejak di alun-alun mulai ramai dengan orang mengaji, ulat-ulat yang menempel kulitnya Cong Nangka mulai lepas mengelupas satu per satu, lalu hilang."
Are se ngalosot la molae ondhung ka pataranganna adina lampat jang-bajangan ka temor,Matahari yang berseluncur sudah condong ke petarangannya menyisakan bekas bayangan ke timur
Jangka'na sakale paggun bato,kursinya pun tetap batu.
panakan binè',kemenakan perempuan
"Bâḍâ malèng bânnya’na lèma’, ka empa maso’ roma, sèttong cèccèr toghu labhâng, malèng kalowar orèngnga ota’an ḍârâ.","Ada maling banyaknya lima, keempat masuk rumah, satu tertinggal di tiang pintu, maling keluar orangnya muntahan darah."
"Salastarèna nètènè carana kancana maos teks narasi, èyatorè ollè’è kadhiponapa hasèlla!","Selesai mengamati caranya teman membaca teks narasi, silakan nilai bagaimana hasilnya!"
Suroso ta' nemmo alasan polè sè kalowara.,Suroso tidak menemukan alasan lagi untuk keluar.
"Cem-macemma tembhâng macapat ghâpanèka èngghi panèka, akadhi","Macam-macamnya tembang macapat itu yaitu, seperti"
kocca laken,sejenis tapi mirip koboi yang kainnya dari kain lakan
tampar jhemmoran,tali yang digunakan untuk jemuran
Mon embi’ ghi’ embi’ kèya,"Saloka rèya mènangka ḍhâbuna orèng pènter, otabâ ḍhâbuna ulama’, sè kalamon ètalèktèghi aghânḍhu’ bâburughân sè ongghu ongghu è èstowaghi, conto"
Satèya ghi' kol satengnga tello' korang satonè'.,Sekarang masih pukul setengah tiga kurang sedikit.
rama biḍhik,rumah berbilik gedek
Rasat tacabbhur dalem aèng.,Rasat tercebur dalam air.
"Sokona Hikam para' dhapa'a ka poncana tangga', tandha sakejja' aggi' bakal nedda'galadhagga kapal","Kakinya Hikam hampir sampai di ujung tangga, tanda sebentar lagi akan menginjak jembatannya kapal."
plotan manès mata,jenis beras ketan yang kulitnya berbulu
"Sè kèngèng ter-ater alako, èkakan, talèbât, patadâ’, matamoy, sareng laènna","Yang mendapat awalan  bekerja , dimakan , terlewat , sama-sama tidak ada , bertamu , dan lainnya."
Lalake' ganeko nengngale tolangnga mano'akalarkaran.,Laki-laki itu melihat tulang burung menghitam.
Gunna nyekka'e sakone'.,Hanya menggigit sedikit.
Dhukon sè ta'genna sèèkatoè.,Dukun yang tidak genap yang dikutuk.
"Kadhang maske amaen, gunna daddi ca'-koca'an, ekoca'e dujan ngakan nase' pote, polana e romana ta' ngakan nase' pote sakale.","terkadang meskipun bermain, hanya jadi bahan omongan, dikatain doyan makan nasi putih, karena di rumahnya tidak makan nasi putih sama sekali."
Ana'na se badha e pondhuk ja' pasampe' rang-korang,Anak yang ada di pondok jangan sampai kekurangan.
gâunna ghâgghâr akalèrkèran,daunnya jatuh berserakan kemana-mana
"Aponapa'a se kalowara mon e Madura pon odhi' bisa ma'mor, asabab tanana ampon bisa majenno tatombuwan","Untuk apa ke luar kalau di Madura sudah hidup bisa makmur, sebab tanahnya sudah bisa menghidupkan tumbuhan."
Engko'ngatèla' orèng akalambiyân potè.,Aku melihat orang berpakaian putih.
"Dhinèng macemma pangangghuy jhughȃn bȃḍȃ 4, èngghi panèka pangangghuy panambȃ, pangangghuy panyèghek, pangangghuy sowara bȃn papatèn.","Sedangkan jenis sandang ada 4 yaitu sandang penambah, penekan, suara, dan patinggal."
orèng sè tako’an,orang yang penakut
Bhâsa’aghi kalabân aghuna’aghi bhâsa èngghi bhunten!,Ubah ke dalam engghi bhunten!
"sambi nyorong, kadhuwana sambi adha-kandha","sambil mendorong, keduanya sambil berbincang-bincang."
jhâbâ tengnga,jawa tengah
Pandhighâna yap-sèyap mellè ngo-sango kabbhi.,Nelayannya siap-siap membeli bekal semua.
bintang patè',bintang anjing
"Dhâddhi noro' lanjhângkèya bhâdhânna, sènga' kan jhâtè jiyâ kèya.","Jadi ikut panjang juga badannya, seperti pohon jati itu juga."
"Embi’ lakè’na bâḍâ pètto bellâs, dhinèng embi’ binè’na bâḍâ lalèma’","Kambing jantannya ada tujuh belas, sedangkan kambing betinanya ada lima."
Eppa'en Mai ngajhâk rèng-orèng mabâng ceppetdhâ lakona.,Bapaknya Mai mengajak orang-orang agar cepat pekerjaannya.
cè' raddhinna,amat cantik
"Saellana jareya, sampe' sateya ta' tao melle beddha' ban minnya'na binena pole","Setelahnya itu, sampai sekarang tidak pernah beli bedak dan minyak istrinya lagi."
ngebhiri kocèng,mengebiri kucing
Sombher karè sakonè’ aèngnga,"Sumber air, airnya tinggal sedikit."
ta' gampang etaja' otaba ecabut.,Tidak gampang roboh atau dicabut.
Ѐyatorè nyarè ca’-oca’ camporan sè kèngèng ter-ater bânnya’na tello mègghi’ bisaos,Silakan cari kata-kata majemuk yang mendapat awalan sebanyak tiga buah saja.
"Mosèm nabhârâ’, bânnya’ sombher aèng sè ?","Musim hujan, banyak sumber air yang?"
Apa bȃrnana bhȃruwȃng kutub?,Apa warnanya beruang kutub?
