Madura,Indonesia
macemma pidato bȃḍȃ,macamnya pidato ada
lebbi kènè',lebih kecil
ban-keban se ta' tao ngarte berra'na akongko' se ta' tao ngarte ka galiya'na calomprengan e mowa,hewan-hewan yang tidak tahu mengerti beratnya berkokok yang tidak tahu mengerti terhadap gelinya lunturan di muka
gunana kaangguy nandheng kaju ma' olle tasandhet bila esothok ka dhalem panomangan,gunanya untuk menahan kayu agar bisa tersangkut bila ditusuk ke dalam tungku
dhika nèko' aèng,kamu ambil air
sarini ta' endha' se ngandhunga pole polana se kalajanan ban lakena pera' odhi' kar-karkar colpe,sarini tidak mau mengandung lagi karena yang dijalani dengan suaminya hanya hidup pas-pasan
ngemmèt mantan,menjaga mempelai
tadha' oreng sakale salaen salma kadibi'an,tidak ada orang sama sekali selain salma sendirian
rèng lakè' nèko' sèsa,laki-laki ambil sisa
bâḍâ empa’ macem pidato sè èpahamè è maghȃrsarè iyâ arèya pidato informatif iyâ arèya pidato sè maḍâpa’ berta,ada empat macam pidato yang dipahami di masyarakat yaitu pidato informatif yaitu pidato yang menyampaikan berita
colo'en arassa èjhâi' kabbhi,mulutnya terasa dijahit semua
sowarghâ bân dhunnya,surga dan dunia
sè ta’ tamaso’ bâkto opamana ,yang tidak termasuk waktu misalnya
kar-nyongkar bhârâng sè bâḍâ è lomarè,membongkar-bongkar barang yang ada di lemari
molae dhari berras,mulai dari beras
karè pabbri' mènya' satèya,tinggal pabrik minyak sekarang
parao soro dhuli mangkat ka mor lao',perahu disuruh cepat berangkat ke arah selatan
bisa ban kellar le-melle sarta nyempen barang maske jau dhari rammena kottha,bisa dan mampu membeli serta menyimpan barang meskipun jauh dari ramainya kota
se andhi' pon nolong ban ngemban ajamma,yang punya sudah menolong dan menggendong ayamnya
laèr bhâtèn,lahir batin
engko' biyasana ambu neng jiyâ,aku biasanya berhenti di situ
kaangghuy lè-ollè bȃlȃ tatangghȃna,sebagai oleh-oleh untuk kerabat atau tetanggnya
cè' komeddhâ mon èro-soro,sangat sulit jika disuruh-suruh
salakè'en langsong arekkep sabinè'en polè,suaminya langsung memeluk istrinya lagi
bunten banne keng barinto,bukan bukan karena itu
bulȃn ghrȃ’ȃn 5 saampon maso’ aghama islam mon bȃḍȃ bulȃn ghrȃ’ȃn pas arapa,bulan gerhana 5 sesudah masuk agama islam kalau ada bulan gerhana lalu bagaimana
dhlubâng ghâmbhâr,kertas gambar
arapah kèya,kenapa juga
bâca patètè bhâsa èngghi bhunten è bâbâ arèya,baca dengan teliti èngghi bhunten di bawah ini
egadhiya keya nyaba' renjing ban pekolanna,di sana juga menaruh keranjang dan pikulannya
arè' bulu ajâm,jenis celurit berbentuk mirip bulu ayam
makanè bân abhersèyan kanḍhângnga embi’,memberi makan dan membersihkan kandang kambing
panyerratanna tembhâng panèka ampon pakem masoddhâ ,penulisannya tembang itu sudah paten maksudnya
bhidhâ sareng laghu èn-maènan ghâi’ bintang,berbeda dengan lagu permainan ghâi’ bintang
bâḍâna tèks pidato dhâddhi pandhuman mongghu ḍâ’ sè ajhârbâ’âghi ,adanya teks pidato menjadi panduan bagi yang menyampaikannya
daddi bila badha omba' raja jarowa ondhemma raja keya ya,jadi kalau ada ombak besar itu awannya besar juga ya
sè nè’-kènè’ sè tao nyaronèn,yang kecil-kecil yang tahu berterompet
pangèran lor panèka asmana rato sè ngobâsanè ,pangeran lor adalah nama raja yang menguasai
bilâna lakar kalèbun neng dhisa dinna' rèya mare dhâddhi bajing,padahal memang kepala desa di desa ini dulunya pernah jadi preman
mon bâḍâ kanca tatanggha famili sè sake’ kodhu noro’ nyanḍhâng sossa,kalau ada teman tetangga famili yang sakit harus ikut merasakan susah
ella jhâ' kala',jangan diambil
lalake' ganeko jaga,laki-laki itu terbangun
olle pon pak,dapat pak
gunna bensin,cuma bensin
ca'na sala settong oreng towa e seddi'na,katanya salah satu orang tua di sampingnya
tada' rèng tao,tidak ada orang tahu
pas ekekke' caceng ganeko ontang pon taselep lalake' ganeko kaso naja' perreng solorra sennar,lalu menggigit cacing itu pelampung pun tenggelam laki-laki itu capek untuk menarik bambu senar
suroso amandheng mowana dhibi' engkeo' celleng keya tayya kèn abak manès ko',suroso memandang mukanya sendiri aku hitam juga ini tapi agak manis
seddheng juko'ta' tacangke' settong balakkadan,sedangkan ikan tidak tertangkap satu pun
jhuwâl rapa ma'lè anḍi' pèssè,jual saja supaya punya uang
pèlak ngoy-langngoyan è songay,pintar berenang disungai
pola ken terro ca-bácca'enna pola,mungkin tapi ingin bacaan-bacaannya mungkin
buh maske dhi-budhina mon laju epasanta'  nambai ka tapegga neko ,meskipun di belakangnya kalau sudah dipelankan menambah pada putusnya itu
ta' kowat,tidak kuat
bisa maèn bi'-dbibi' neng dâlem roma,bisa main sendiri-sendiri di dalam rumah
bakto sorop are naleka are ngaleng ka bandhung sudahnan mare se ngossay bato,waktu redup matahari ketika matahari bersembunyi ke ufuk sudahnun selesai yang memasukkan batu
mèkkèr ka tanana bi' mèkkèr ka kasoghiyânna tanana,berpikir pada tanahnya dan berpikir pada kekayaan tanahnya
tatakkrama è ḍâlem aḍhâ kanḍhâ opamana kodhu abhâsa èngghi bhunten manabi abu ḍhâbu sareng orèng sè ,sopan santun dalam berbicara misalnya harus menggunakan bahasa engghi bhunten kalau berbicara dengan orang yang
kompoy lakè',cucu laki-laki
ahèrra rombongan tentara blândhâsambi ajhâlân ka tèmor,akhirnya rombongan tentara belanda sambil berjalan ke timur
dhinèng mon mosèm nèmor orèng tanè namen apa,sedangkan saat musim kemarau petani menanam apa
se badha e teggalla etastas,yang ada di tegalannya dipangkas
ta' ekeddep,tidak berkedip
jhâ' lèbâdhân è kanna',jangan suka lewat disini
romana la jugruk,rumahnya telah roboh
bilâ ḍâpa’ ka pongkasanna laghu èn maènan ghâi’ bintang panèka pas jhung ghâlluwân ,ketika sampai di akhir lagu permainan  ghâi' bintang mereka serentak
aèng tasè bhuk-ngolbughân,air laut bergolak-golak
akalattong kalaban dhuwa' tanangnga se akalembang ,bergelantungan dengan dua tangannya yang bergelantungan
karana e gadiya e attas parao se tantona angen bakal agiba caca-basa parembagan tor sa-basa saengga basa-basa bakal talambas abareng angen,karena di gubuk di atas perahu yang tentu angin akan membawa omongan-omongan percakapan dan kata-kata sehingga kata-kata akan terlewat bersama angin
abâ’ èpon dhuli,badannya tinggi
lebbi èkapelka’è ḍâri aèng nalèka pelka’,lebih kehausan daripada tidak minum
se terro melleya juko' tamban ennus odhang otaba dagingnga sape,yang ingin membeli ikan bandeng cumi-cumi udang atau daging sapi
brontosèno jhânjhina sèngko’ iyâ ella jhânjhi,brontoseno janjiku ya sudah janji
ta' bisa èlabânè teh,tidak bisa dilawan teh
sambi ngala' nya'eggas ghâbây ram-sèram ka karèna ka'-bhungka'enna jiyâ,sambil mengambil racun rumput untuk menyiram sisa bunga-bunganya itu
apa papaḍȃnna oca’ bȃkto,apa persamaan kalimat waktu 
maksoddhâ ta’ onèng abhâḍhi masaghi lèma’ pas èbhânto abhâḍhi masaghi lèma’,maksudnya tidak bisa membuat segi lima lalu dibantu membuat segi lima
bhurus sè ghirâs rowa nyalbhâk bettèssâ orèng sè lèbât,anjing yang galak itu menerkam betis orang yang lewat
bhuru èmolaè,baru dimulai
saragamma ta' asalen balakka,seragamnya tidak ganti pun
rèngorèng sèlaèn la ta'mèkkèrè,orang-orang yang lain sudah tidak memikirkan
ba ella manna ta' eyalle,sudah nanti tidak dimaafkan
mata kètèran,jenis atau model eraman rotan pada kursi
korang pertajâ,kurang percaya
sabab kaju areya ta' duli eabi' apoy,sebab kayu ini tidak cepat habis oleh api
ropana tangghâl pa’ bhellâs,rupanya tanggal empat belas
konco’ bhungka  kabâdâân sè nyossaè bân sè nyennengngaghi,konco’ bhungka keadaan yang menyusahkan dan yang menyenangkan
ka ḍiyâ,ke sini
malle ta' agili ka taneyanna dibi',biar tidak mengalir ke halamannya sendiri
labângnga èḍârḍâr,pintunya dibuka dengan lebar-lebar
bâdângara pokol bâllu'an,ada kira-kira pukul delapanan
soro ngantè,suruh antri
 pangantan tao abhȃjȃng,pangantan tahu sembahyang
salanjangnga parjalanan mole atena atun ce' bungana,sepanjang perjalanan pulang hatinya atun sangat senang
tape kodu sabbar pola badha rajekkena,tapi harus sabar karena ada rezeki
sè kangao,yang kanan
pola badha settong katennangan dhalem baringsangnga kaodhi'an,mungkin ada satu ketenangan dalam kegelisahan kehidupan
terra morobbhâ,ingin untuk menukar
iyâ ta'rapa la,ya tidak apa-apa sudah
bâkto sadhâjâ pottrana ghi’ kènè’ ,ketika semua putranya masih kecil
rasat temmo bâdâ neng jeddèng,rasat tiba-tiba ada di kamar mandi
ponapa sè lèbur,apakah yang suka
saare benteng olle barampa bila ngonor,sehari semalam dapat berapa bila menyalakan air
sanajjan paggun egigira para' sabban are kalaban oreng towana polana geddha' kalambi sakola'anna kacong ganeko pagguna lebur dha' tanongker se bila abit atapa daddi kakapper se lebur eyabas,meskipun tetap dimarahi hampir setiap hari oleh orang tuanya karena kotor baju sekolahnya anak itu tetap sayang pada kepompong yang bila lama bertapa jadi kupu-kupu yang indah dipandang
se paleng baba ekoca' bingker,yang paling bawah disebut bingker
ola' patè',ulat yang tidak berbulu
polo jhâbâ,pulau jawa
ḍumè alla,demi allah
èlmo sèhèr,ilmu sihir
kopèngnga rassana la tasompet,telinganya rasanya sudah tersumbat
sambungnga sahwi sambi mateppa' selana,sambung sahwi sambil memperbaiki silanya
e gadhiya ka dhaja gallu,di sana ke utara dulu
ca’èpon orèng pèntèr manabi èlmo ta’ asanḍhing aghâma panèka buta dhinèng aghâma ta’ asanḍhing èlmo panèka teppang,katanya orang pintar apabila ilmu tidak bersanding agama itu buta sedangkan agama tidak bersanding ilmu itu timpang
bhidhâna laghu èn-maènan pa’-opa’ ѐling sareng laghu èn-maènan ghâi’ bintang èngghi panèka,perbedaan lagu permainan pa’-opa’ èling dan lagu permainan ghâi’ bintang adalah
sènyama muna la ta' temmo ron-sakaronna jhâ'dâ'râmma ghârâssana èghi-naghi bâkto mantan para èmola'enna,yang namanya muna sudah tidak karu-karuan bagaimana rasanya ditinggal-tinggal waktu pernikahan hampir dimulainya
sossa tabȃligghȃ,suka kebalikannya
dhâddhi è ḍâlem paparèghân panèka jhughân aghânḍhu’ bhibhiḍhân sareng èssè,jadi di dalam paparèghân ini juga mengandung sampiran dan isi
ponakan lakè',kemenakan laki-laki
lajângan kopè’an bhâi ma’ lekkas dhâddhi bân dhuli kennèng ocol,layangan ikan saja biar cepat jadi dan segera bisa diterbangkan
ngoca' rendi na'-kana' sè ghi' asakola,ucap rendi anak-anak yang masih bersekolah
tenggarra laju epatarek ka lembangnga mano'ganeko,tenggarannya langsung ditarik ke pahanya burung itu
ana'na pa' markowi rowa cè' bhâlengngerra,anak pak markowi itu sangat nakal sekali
pèssèna è catet è buku kas,uangnya dicatat di buku kas
nyambhelli sapè,menyembelih sapi
abâ' èpon rèya bhuru èpanèka'a nèpè'an,badan ini baru saja dibilang kecil sekali
ca’èpon emmak ghellâ’ anom nyarè’è kaulâ bâḍâ ponapa nom,katanya ibu tadi paman mencari saya ada apa paman
laèn ḍâri ghâpanèka jhughân bâḍâ teks persuasi èngghi panèka teks sè ngajhâk ḍâ’ ka orèng sè maos nyopprè noro’ buntè’ ḍâ’ pamangghina orèng sè ngangghit,lain dari itu juga ada teks persuasi yaitu teks yang mengajak kepada orang yang membaca supaya ikut-ikutan pada pendapatnya orang yang mengarang
ahli obhât,ahli obat
akantha nyassa asapowan bengko asapowan tanèyan namen bhȃng kembhȃngngan,seperti mencuci menyapu rumah menyapu halaman dan menanam bunga
morèd kellas ḍuwâ’ paḍâ pènter maca horop latèn,murid kelas dua pada pintar membaca huruf latin
mandhâr lekkasâ bârâs yâ,semoga lekas sembuh ya
pola me' pangeran gi' ta' apareng,mungkin tuhan masih tidak memberi
cebbi terro andi' ana'dhibi',cebbi ingin punya anak sendiri
santen kentel,santan kental
tanḍhȃ sè ta’ tanto bȃḍȃna,tanda yang tidak tentu adanya
jhâ' rèng la dhâddhi lakè binè yâ patot amaèna bilâ'âbhâi,kan orang sudah menjadi suami istri ya patut bermainnya kapan saja
kadhang kata' ganeko gumigil kadibi'an tadha'tao,kadang kodok itu menggigil sendirian tanpa tahu
aèng sè ghi' bhuru èkala' ḍâri somor èsabâ' èpennay,air yang baru saja diambil dari sumur ditaruh di tempayan
jhujjhu kemmè,kebelet kencing
abhâjâng sobbhu ḍuwâ' rakaat,sembahyang subuh dua rakaat
la dbina bágbi ka amal masjid bbai,sudah biarkan bagi ke amal masjid saja
jhâ' kala',jangan ambil
mon se ekataowe engko' man satrawi reya entar ka gir sereng pera' ngongngang ban ngoras sampanna,kalau yang diketahui aku paman satrawi ini pergi ke pesisir hanya melihat dan menguras sampannya
dina lagguna mon paju kakabbi dika etamba'ana ,nanti kalau laku semua kamu akan ditambahi
pandek cè',pendek sekali
sajan malem,semakin malam
kancana reza sè bâgiyân negghu’ lung ghulungnga bola èngghi panèka ,temannya reza yang bagian memegang gulungan benang yaitu
abbuka reng-bbåreng maju,buka bersama-sama ayo
jiyâ ngoca' rang-terrangan ka pa' ustat jhâ' dhibi'en bânnèmalaèkat,dia berkata terang-terangan pada pak ustad bahwa dirinya bukan malaikat
ro'om mennyan nyareddhem,bau kemenyan menusuk
carana abhâḍhi bujur sangkar,cara membuat bujur sangkar
sutomo badha e pondhuk,sutomo ada di pondok
ate ganeko gunna pangaterro ate pon jau elang kalaban palappana elang ta' kalaban argana,hati itu hanya keinginan hati sudah jauh hilang dengan terbangnya hilang tidak dengan harganya
arowa sè abârna mèra bâḍâ è attassa bhungkana pao è ḍissa èyogher ropana lè’ sanusi noghuwi,itu yang berwarna merah ada di atas pangkal pohon mangga di sana diulur sepertinya paman sanusi yang menungguinya
mon ma'na sugina sem-mesem laju mon badha lanceng nenggara,lalu paman sugi tersenyum bila ada laki-laki menembak
nomerra bâ'na,nomermu
lalake' ganeko nengngale somor se ramme,laki-laki itu melihat sumur yang ramai
mateya ta' enneng dhidha',meninggalnya tidak enak
oreng towana arembang e tengnga saba e attas tana se ngala' paron ban aeng se kodu ebelli,orang tuanya berkeliling di tengah sawah di atas tanah yang mendapat paroan dan air yang harus dibeli
ja' nger-engerl arowa' wa,jangan lihat-lihat itu yang di sana
acju nèserra,oh kasihan
akalambhiyȃ apa’a bhȃi pantes,berbajunya apa pun pantas
megghâ’ keccap è tengnga’anna oca’ kantos andhâddhiyaghi obâna artè èsambhât ,memenggal suku kata di tengahnya kata sampai menyebabkan berubahnya arti disebut
mon èpènta'a lèbur,kalau ditanya suka
ponapa sè kodhu kacarèta bingkèngan lumbrâna èkacarèta ,apa yang harus diceritakan belakangan lumrahnya diceritakan
akantha se pon badha kobina kalaban gula paleng arassa,seolah-olah yang sudah ada kopinya dengan gula yang paling berasa
dhapa' ka tengnga jalan bingong nojjuwa dha' emma kerana,sampai di tengah jalan bingung mau kemana
nyambung lampu kodu majar mon ta' majar ya epegga,menyambung lampu harus bayar kalau tidak bayar ya diputus
ѐatorè abâḍhi contona narasi sè namong bâḍâ è ḍâlem ngen angenna sè ngangghit bânnya’na tello’ paragraf bisaos,silakan buatkan contoh narasi yang hanya ada di dalam imajinasi pengarangnya sebanyak tiga paragraf saja contoh narasi yang hanya berisi imajinasi penulis sebanyak tiga paragraf saja
manjhâ pottra,anak laki-laki berumur 9-13 tahun
megghâ’ kalèma èngghi panèka megghâ’ keccap è tengnga’anna oca’ kantos andhâddhiyaghi obâna artè ḍâri okara tembhâng sè èlaghuwaghi,memenggal kalimat yaitu memenggal suku kata di tengahnya kata sampai menyebabkan berubahnya arti dari kalimat tembang yang dilagukan
bhâḍhi ka kamma,akan kemana
ѐ ḍâlem tokèlan kanḍhâ è attas sè èpatongana yanto èngghi panèka,dalam cuplikan percakapan di atas yang mau dibeli yanto adalah
langngè'na ngarenḍeng amarghâ para' ojhânna,langitnya mendung karena akan turun hujan
èyatorè jâwâb pètanya-pètanya è bâbâ ka’ḍinto kalabân pèlèyan sè palèng lerres,silakan jawab pertanyaan-pertanyaan di bawah itu dengan pilihan yang paling benar
sakè' kapèlengngan,sakit pusing kepala
tape kalaban sajjana se kerrong dha' pan-barampan barnana kembang bungka'an se adhaun biru ngamennyor ganeko maksa aba'na kaangguy terros ngabber alaban kangellagan se pon galgal dhalem dhadhana,tapi dengan sungguh-sungguh yang rindu ke beberapa warnanya bunga pohon-pohonan yang berdaun biru yang merayap itu memaksa dia untuk terus terbang melawan kesulitan yang sudah berantakan dalam dadanya
berta sè larès jhujhuk èngghi panèka macemma berta sè biyasana èserrat kalabân rèngkes tor tèngkes ponapa bâḍâna,berita yang larislangsung yaitu macamnya berita yang biasanya ditulis dengan ringkas dan padat apa adanya
radèn segara ta' kowat ngara sè ngèdingaghi,raden segara tidak kuat lagi mendengarkan
pètto bellâs,tujuh belas
okara majjhâ panèka okara sè kadhâddhiyân ḍâri ḍuwâ’ oca’ otabâ lebbi,kalimat majemuk itu kalimat yang terjadi dari dua kata atau lebih
kadhi ponapa mètorot pangghâliân èpon panjhennengngan,bagaimana menurut pendapat anda
melana eparappa'na mano' ganeko dhateng pas maso' dha' korongnga dibi' edhimma geddhangnga pon elop lalake' ganeko ta' notoplabang korong ganeko,makanya ketika burung itu datang lalu masuk ke dalam sangkarnya sendiri di mana pisangnya sudah layu laki-laki itu tidak menutup pintu sangkar itu
kacangnga ras-merras,kacangnya sangat bernas
ta' alapès,tidak berlapis
pon bannya' abareyagan ,sudah banyak yang berkumpul
lo' èkala',tidak diambil
ongghâr gherring,segar bugar kembali baru sembuh dari sakit
ѐngghi bhu èsangghu ghi’,iya bu kirain masih
epatedhung olo dhaja e attas tello' bantal gadebbung,ditidurkan menghadap utara di atas tiga bantal batang pisang
tape tadha',tapi tidak ada
enggi pon,iya sudah
è ḍimma biyasana orèng namen paḍi,di mana biasanya orang menanam padi
eppa'na ngeddha gi'an,bapaknya mendengarkan saja
markoya sè atowadhâ polana tako'rèng-orèng dâtengngan polè,markoya yang terkejut karena takut orang-orang datang lagi
obhât bâto',obat batuk
radhin pratanu ajhejhuluk ki lemah duwur,raden pratanu bergelar ki lemah duwur
congorra co’cong ghighina ne’-kènè’ tapè jhâng-lanjhâng èghuna’aghi negghu’ kakananna tor èghuna’aghi kèya ka’angghuy negghu’i sè èsarghep,moncongnya runcing giginya kecil-kecil tapi panjang-panjang digunakan memegang makanannya dan digunakan juga untuk memegang yang ditangkap
ngeppa' bângkong,menepuk pinggul
sèngko' ta' nyanḍhang,saya tidak jatuh
èpèkang pokangnga,dicubit pahanya
sè kapèng lèma',yang ke lima
ta' -kata' ban sataretanna ganeko sabban laggu aseldungthok-kothok dha' se agung karana badha sonarra are se ekarassa pon maragep bumena ,kodok-kodok dan saudaranya itu setiap hari berlindung bersuara ke yang agung karena ada sinarnya matahari yang terasa sudah menyengat bumi
ghâmbhâr è attas èsebbhut ,gambar di atas disebut
makè arè' la èkasandângaghi,meskipun celurit sudah disandangkan
ka'dinto abâ' èpon rèya,itu badannya ini
sar-asar la marè kabbhi sè abhersèyan,sore hari sudah selesai semua yang bersih-bersih
ѐyatorè karembhâk sareng ghâlimpo’na sampèyan ka’angghuy ajâwâb pètanya è bâbâ panèka kalabân jâwâbhân sè lerres,silakan diskusikan dengan kelompok anda untuk menjawab pertanyaan di bawah ini dengan jawaban yang benar
tadha' taretan tadha' reng towa ban tadha' mattowa,tidak ada saudara tidak ada orang tua dan tidak ada mertua
ajȃm lakè’ sè èyobu èkaparlo monyèna apa nyamana,ayam jantan yang diperkukan suaranya disebut apa
nomer 11 kantos nomer 15,nomor 11 sampai nomor 15
ongrodhânna carèta panèka bâḍâ è ,urutan cerita ada di
bi-lebbi romana berse tandha satrawi la mare asapowan,terlebih lagi rumahnya bersih tanda satrawi sudah selesai menyapu
nyarè jhâlân kalowarra,mencari jalan keluarnya
tako'kèya rèng majângan,nelayan jaring takut juga
sèngko' bân sakabbhina bhâreng,kita
engko' terro mapaghârèng laèn senneng,aku ingin membuat orang lain senang
apa tegghȃssa bhȃngsalan cobbhu’ rajȃ,apa artinya bangsalan subang besar
bibirrâ bingngol kabbhi,bibirnya bengkak semua terkena hantaman
colo'na amonyè cak-kreccaghân,mulutnya berbunyi kecap-kecapan
kennèng ḍhinḍâ polana ta' kowat majâr,kena den da karena tidak kuat membayar
eppa'na aemongan nyare lako sopaja nemmo se ekaka-na,bapaknya melamun mencari pekerjaan supaya bisa mendapatkan yang bisa dimakan
rè-sarè ènga' daddhi kasènnengngan,hal-hal kecil ingat menjadi kebahagiaan
ngebbor somor,mengebor sumur
èyatorè jâwâb pètanya pètanya è bâbâ panèka kalabân lerres,silakan jawab pertanyaan-pertanyaan di bawah ini dengan benar
mangsa buḍuwâ,musim dimana banyak sekali terjadi fitnah
cebbing ganeko akaca dhalem ngarecagga cekcek ban rengnge',si bungsu itu berbicara dalam bunyi cicak dan nyamuk
èssè’è ti’ titi’ è bâbâ arèya kalabân teppa’,isilah titik-titik di bawah ini dengan tepat
coma bisa anangès sambi anyebbhut nyamana alla,hanya bisa menangis sambil menyebut nama allah
laghuwâghi areng bhâreng lajhu karembhâk sakanca’an,nyanyikan bersama-sama lalu diskusikan bersama teman
èhno alam,ilmu alam
arapa ma' ta'ghellem ambu koca'en sè aka-nyangka,kenapa kok tidak mau berhenti perkataan yang berprasangka
soro ngoca'dalem atèna,suruh berkata dalam hatinya
kopengnga nojju ka dhapor,telinganya menuju ke dapur
marè ka' berka'an bhâdhân mello kabbhi,sehabis berlari-lari semua badan berkeringat
orèngnga kènè' akolè' potè sajân ètambâ gânteng,orangnya kecil berkulit putih semakin ditambah tampan
settong reng lake' dhateng ngeba pappana geddhang,satu orang lelaki datang membawa pelepah pisang
malekko’ mara tangghiling,melingkar seperti trenggiling
asak-basek kabadha'an,berselisih keadaan
ana'na ametse mangkada ngaji,anaknya berpamitan pergi mengaji
jhuko'na atè' lettè' ghi' oḍi'è ḍâlem kranjhâng,ikannya meleting-leting masih hidup di dalam keranjang
ghuru binè’ sè ngajhâr è sakola’an èsebbhut,guru perempuan yang mengajar di sekolahan disebut
mon ta' laten andhi'na sampeyan eketthok apamajar otang,kalau tidak kuat punyanya kamu dipoyong disuruh membayar hutang
suroso langsong adâlngak ngèdingngaghi tabârânna maya,suroso langsung mendongak mendengarkan tawarannya maya
ponapa artèna ca’-oca’ kèyasan è bâbâ panèka,apa artinya kata-kata kiasan di bawah ini
ngejjhit polana romana pagghun,terkejut karena rumahnya tetap
nantowaghi tèma bȃn bhul-ombhul,menentukan tema dan judul
ejuluwagi ka reng katello e dhalem jurang,diulurkan ke tiga orang di dalam liang
ajhelling lakona jarot la bânnè polè,melihat kelakuan jarot sudah bukan main lagi
èkala' bi'engko' pèssèna,diambil olehku uangnya
se pon biyasa maanga' badan dhalem kacellebban,yang sudah biasa menghangatkan badan dalam kedinginan
sè mangkat neng è arè satèya rèya la bânnè asapo angèn abbantal omba'polè tapè asapo' ojbân abbântal ombá',yang berangkat di hari sekarang ini sudah bukan berselimut angin berbantal ombak lagi tapi berselimut hujan berbantal ombak
mosem rao ta' maperna emma'na salma e bengko ngala' dherrep raowan,musim tani tidak membiarkan ibunya salma di rumah mengambil upah tani
are ganeko aba'na matennang parana bakal mennang ban ta' kera epega' polisi,hari itu dia merasa akan menang dan tidak akan tertangkap polisi
nampè kaèn,melipat kain
dâ' sadbâjâna sè bâdâ neng kampong mor bange,kepada semua yang ada di kampung mor bange
polana ninja celleng rèya kenceng odi' polè,karena ninja hitam ini kuat hidup lagi
sebbhuttaghi ḍuwâ macem vokal,sebutkan dua macam vokal
korèk cocco,korek api
ekarebbhu'i kalèng ta' ègârâssa,dikerubungi tawon tidak dirasa
colo'na amo'-kèmo',mulutnya komat kamit
okoman ghântong,hukuman gantung
bandhana gi' sambi nyare e jalan,modalnya masih sambil mencari di jalan
bhâbâng potè blândhâ,bawang pre
bâḍâ kèya sè aghânḍhu’ bhâk-tebbhâgghân,ada juga yang mengandung tebak-tebakan
rèng-orèng sè neng budi ghâlâghârimèsan sè ngèdingaghi oca'en naden,orang-orang yang di belakang bergumam yang mendengar perkataan naden
atokar nèpè'an abâ',pertengkaran kecil badan
bȃḍȃ saponapa bhȃris tembhȃng kasmaran,ada berapa baris tembang kasmaran
mare epangokor pappana geddhang jareya pas eseba' dhuwa,selesai diukur pelepahnya pisang itu lalu dibelah dua
andra karim bân ca-kancana paḍâ akor,andra karim dan teman-temannya saling akur
karangan sè èyangghit abujud mornè sokkla tor asslè èsambhât,karangan yang dibuat berwujud murni suci dan asli disebut
ghrâ’ân saampon rèng madhurâ nganot aghâma islam,gerhana sesudah orang madura menganut agama islam
tolès papaḍâ bân contona,tulis samakan dengan contohnya
parèbhȃsanna mara apa,peribahasanya seperti apa
polana pon dhi-budhina,karena akhir-akhir
pèngghir songay,pinggir sungai
juko' lèma',ikan lima
sabellun èpènt dhuli pabâli,sebelum diminta segera kembalikan
tello kalè,tiga kali
marè dâ' iyâ èpenneng sakejjhâ',selesai itu didiamkan sebentar
engko' la jberrá sèalakèa polè,aku sudah jera bersuami lagi
maèlangnga èsaksè'è bi' prajurit neng karaton giling wesi 5 sè dâri medangkamulan kennenganna embana radèn segara,menghilangnya disaksikan oleh prajurit di keraton giling wesi 5 yang dari medangkamulan tempatnya neneknya raden segara
manabi talèng panèka bâḍâ sè nyambhât lèngè,jika talèng atau ada yang menyebut lèngè
how artèna kadhiponapa kadhâddhiyânna,how artinya bagaimana kejadiannya
jhâjhâl nyarè 2 contona oca’ sè ollè sessellan,coba cari 2 contoh kata yang mendapat sisipan
embu’na pas ngalem sambi ajhânjhi èmellèyaghiyâ ḍuwâ’ân sè merdhi,ibunya lalu membujuk sambil berjanji akan dibelikan dua ekor yang jago
lalake' ganeko mole kalaban mekol renjingnga,laki-laki itu pulang dengan memikul keranjangnya
neng balay rammè,di balai desa ramai
tengnga saghârâ,tengah lautan
areya gunna mekkere se barampala kose tako' parana#,ini cuma memikirkan yang berapa sudah bosan takut juga
ḍhukon parao,dukun yang ahli menolong nelayan untuk memberi kekuatan pada perahu yang digunakan untuk menangkap ikan agar selamat di tengah lautan atau untuk mendapatkan hasil tangkapan ikan yang banyak
me'-ame' badha' kaju se gi' ta' ekello,siapa tahu ada kayu yang masih tidak termakan api
suroso ta' bisa nahan,suroso tidak bisa menahan
semmot celleng,semut hitam
pon ta' bu'-rembu'an aeng ebbun se bakal nyapcap gaggar ka tana,sudah tidak berjatuhan air embun yang akan menetes jatuh ke tanah
pèpèna ajtuâbâ'ân,pipinya berjerawat
paleng ebali'i dhukale mon dika,paling kembali dua kali kalau kamu
dha' emma buruna juko' ban dha' emma buruna caceng,ke mana perginya ikan dan ke mana perginya cacing
pè-sèpè' mèra' lèbur kaulâ,sepeda motor merah suka saya
sè laèn nètènè,yang lain mengamati
nyanḍhingè orèng sè para' matèa,mendampingi orang yang hampir mati
okara sè aghȃnḍhu’ sèttong maksod,kalimat yang mengandung satu maksud
ajâm potè molos,ayam berwarna putih mulus
sambi tongbitongansambi en-maenan ta' kalaban sangaja apekker ,sambil berhitung sambil bermain tidak dengan sengaja berpikir
angen nape se asababagi aba' neko ta' samporna,angin apa yang menyebabkan dia ini tidak sempurna
dina bula moleya gallu,sudah saya pulang dulu
eggoddhâ ta' karabât,got yang tidak terawat
koca' aghi,katakan
kaatora ḍâ' sè moljâ,kepada yang mulia
rèkèn daddhi kowat,hitungan menjadi kekuatan
tadha' tanges apapole gella' ban meler,tidak ada tangis apalagi tawa dan canda
prappa'na ghighir,sedang marah
mama’mor naghârâna bân bhângsana,memakmurkan negaranya dan bangsanya
