Madura,Indonesia
akebbi' royan sambi ma ka attas alès ka markoya,bentak royan sambil menaikkan alis pada markoya
mellè ka goldenkoca'en,beli ke golden katanya
mangmang ban kabater gi' paggun badha keng araja'an rassa bunga,ragu dan khawatir masih tetap ada tapi lebih besar rasa bahagia
tojjuwan se emaksod abak-rembaga masala se la marengsa magarsare sakam-pong,tujuan yang dimaksud merembukkan masalah yang sudah menyusahkan masyarakat sekampung
karo dhukon rèya sè ta'tèdung,cuma dukun ini yang tidak tidur
sè kapèng lèma',yang ke lima
pagellângan soko,pergelangan kaki
dhuwa' ajam ganeko pon padha lehla,kedua ayam itu sudah sama-sama lelah
dhâddhi mon ta'èkèdingè der-bhender yâ ta' kèra ngertè,jadi kalau tidak didengarkan benar-benar ya tidak akan mengerti
jhȃjhȃl aghȃbȃy oca’ bhȃngsalan bȃnnya’na 5 mègghi’,coba membuat kata bangsalan banyaknya 5 biji
sateya sudahnan bakal ngobbar onggu,sekarang sudahnun akan membakar sungguhan
ghi' ta' anḍi' kompoy,belum memiliki cucu
sabatara ojan se'-rese' e pepena binena,sementara hujan gerimis di pipi istrinya
bȃca laghu è bȃbȃ rèya   ,bacalah lagu di bawah ini
uwis rapa kah,sudahlah
tana jiyâ tana sangkol sèèberri' tang rèng towa bâkto engko' ghi' neng kellas tello' èsarepo bencong149,tanah itu tanah warisan yang diberi orang tuaku waktu aku masih di kelas tiga dicari oleh banci149
teppong ganḍum,tepung gandum
ngenom aeng,minum air
rajhekkè rajâ,rezeki besar
meddhâk dârâ sè la kerrèng ècapo' arè,menginjak darah yang sudah kering dihinggapi matahari
lapa'a ghi' ta' molè mostè mèlo jhâjhân,andaikan belum pulang pasti kebagian kue
tokang siir,penya1r
akalattong kalaban dhuwa' tanangnga se akalembang ,bergelantungan dengan dua tangannya yang bergelantungan
mon ta' ngastete bakal eolap mowana elang ales ban obu'na,kalau tidak hati-hati akan disambar mukanya hilang alis dan rambutnya
bâng-sèbângnga angghuta ghâlimpo’ paḍâ maos tor paḍâ nètènè,masing-masing anggota kelompok sama-sama membaca dan sama-sama mengamati
atun mekker dhalem tangessa,atun berpikir dalam tangisnya
jhârbâ’aghi hasèlla neng aḍâ’na kellas,jelaskan hasilnya di depan kelas
ma' pas kalèro,kok jadi salah
bhâk-tebbhâghân èngghi panèka sèttong okara otabâ pan-saponapan okara sè èkoca’aghi otabâ sè ètebbhâkaghi sareng orèng ka orèng laèn sè marlowaghi jâwâbhân,tebak-tebakan yaitu satu kalimat atau beberapa kalimat yang diucapkan atau yang ditebakkan oleh seseorang kepada orang lain yang memerlukan jawaban
kajaba seppe,kecuali sepi
mutbhut bulu klèncabhân,mencabut bulu ketiak
berras se argana rp 250 sagantangnga,beras yang harganya rp 250 per gantang
eppa'na cebbing nyare kaos epasang,ayahnya si bungsu mencari kaos dipasang
e somor ganekoaba'na ngenom aeng,di sumur itu dia minum air
tebbhu bhântèng,jenis tebu yang batangnya berwarna kuning terang
aè’ nyandher ka seddhi’na anomma pas ngoca’ laonan,aè’ bersandar ke samping pamannya lalu berkata pelan
coma neng-enneng padhana badha se epandeng,hanya terdiam seakan-akan ada yang dipandang
senga' lecek ba'na,awas kalau kamu bohong
neng adâ'en bâdâ ka'-bhungkaan duw bigghi',di depannya ada dua bukit
malar mandhâr èparèngè kani'madhân sareng allah sè maa mora tor asè,semoga mendapatkan karunia dari allah yang maha pengasih lagi maha penyayang
fieda kaka’na sitti,fieda kakaknya sitti
maca talken eterrosagi tahlil areng-bareng,membaca talkin diteruskan tahlil bersama-sama
polo bhâli,pulau bali
arè' larkang,jenis celurit yang bentuknya gagangnya panjang
sela bariya gun sakejja,sudah begitu hanya sebentar
man ano tadha' la,kalau anu tidak adasudah
sudahnan molae ngajak akandha sarini saellana mare malae dulla ngaji,sudahnun mulai mengajak berbincang sarini setelah selesai menyimak dulla mengaji
carang ban ona'na erancap gan satengkes#,ranting dan durinya dirapikan sampai bersih
alè’ ghetton nangalè bujhella jabbar mondhul paḍâna ,adik kaget melihat pusarnya jabbar menonjol sepertinya 
jarna' ka kopengnga sahi,jelas ke telinganya sahi
calana pènḍâ',celana pendek
sellang kaangguy majalan aeng pon epasang,saluran untuk menjalankan air sudah dipasang
nyergu' roko'na,menghisap rokoknya
ta' endha' ekabin otangnga lakena paggun etagi,tidak mau dikawin utang suaminya tetap ditagih
aksamen lèsan,ujian lisan
enggi rangrang badha keya se mowa' buja,iya jarang-jarang ada juga yang memuat garam
aneka eka'iyya lelere gallu ,ini di sini pelan-pelan
arè’ sè lamarè èghângsè,celurit yang sudah di asah
seppe ban kacep,sepi dan sunyi
patang jenggeng,salang jenggeng
sè ḍimma sè tamaso’ laghu èn maènan,yang mana yang termasuk dalam lagu permainan
kata' gunna atanyadha' emma jalan se pendha bisa nyamporna'agi aba'na,kodok hanya bertanya ke mana jalan yang terlihat bisa menyempurnakan dirinya
lo' akaṭo',tidak mengenakan celana pendek
mon sèngko' molè kodhuna la marè kabbhi,jika saya pulang seharusnya sudah selesai semua
ojhân toron molaè gu-lagghu aldi sè ghi’ ta’ manḍi ngabâs aèng ojhân ḍâri ḍâlem cenḍèlana romana,hujan turun mulai tadi pagi aldi yang masih belum mandi melihat air hujan dari dalam jendela rumahnya
labu tesorkep,jatuh dengan wajah lebih dulu menyentuh tanah
kajuwan sanonto bannya' se lempo mereng-mereng kassanagi saleng nyandhar,kayu-kayu sekarang banyak yang lelah miring-miring dengan cepat saling bersandar
sudahnan se la mare mandhi maso' ka romana,sudahnun yang sudah selesai mandi masuk ke rumahnya
arojhâghâ pao bhu,mau buat rujak mangga bu
dhigghâl penneng bisaos,biar jangan diapa-apakan
orèng sè loka bân potong sokona amarghâ kecelakaan dhuli èangko' ḍâ' mobil ambulan ma'lè èghibâ ka roma sakè',orang yang luka dan patah kakinya karena kecelakaan cepat diangkut ke mobil ambulan su paya dibawa ke rumah sakit
jhâ' allè,jangan dipindah
canḍhiapa’an sè bȃḍȃ è jhȃbȃ tèmor,candi apa yang ada di jawa timur
orèng sè nyembhâ nyongkem ka bhuḍḍhâ,orang yang menyembah sungkem kepada budha
bâḍâ polè nabbhu ronjhângan sè èsebbhut aghuttha ,ada lagi menabuh ronjhângan yang disebut aghuttha
alasan se padha ekabala ka ana'na,alasan yang sama diberitahukan pada anaknya
bhâsa engghi entenna okara sèngko’ tolongè nyèksèk kellana tenggâng rèya è ḍâlem tokèlan kanḍhâ è attas èngghi panèka,bahasa engghi entenna kalimat saya membantu memotong singkong rebus ini di dalam kutipan obrolan di atas adalah
ajâm abulu potè molos,ayam berbulu putih polos
jȃrèya nyamana angèn ka lang busbus otabȃ angèn bhȃrȃt,ini disebut angin puting beliung atau angin barat
pola-na pole para' compet are,karena sudah hampir gelap
maryam bân fieda atatolong,maryam dan fieda saling menolong
èyatorè maos patètè,silakan membaca dengan teliti
bâ'na ta' kèra nyapo' ḍâ' gânṭengnga kana' rowa,kamu tidak akan bisa menyamai ketampanan anak itu
nammang ongghu,sungguh ringan
pidato abherri’ berta è nyamaè pidato apa,pidato memberi berita dinamai pidato apa
mon ghi' nangès terros ḍâgghi' bâ'na èkopessâ kopèngnga,bila masih terus menangis nanti kau akan dijewer telinganya
kèyaè slawi ta' nemmo oca'polè sè amarènta'enna rèng-orèng ghimeng,kiai slawi tidak menemukan perkataan lagi yang memerintahkan orang-orang terkejut
banne kose ta' ebagiya,bukan harus tidak diberikan
oman satrawi rakana buk atun,o paman satrawi suaminya bu atun
sabbhȃn taon èḍȃlemmè,setiap tahun diperdalam
engko'pas lowang duw kalè dágghi' mon èpaèsak,saya akan rugi dua kali nanti kalau dipasang
mon engko' pagghun ta' kèra nyorot,kalau aku tetap tidak akan surut
manjhâ pottrè,anak perempuan berumur 11 tahun
mon ojhânna la terrang bâ'na dhuli molè,bila hujan telah reda kamu cepat pulang
bângal ongghu,sungguh berani
bila amaen leker kadhang badha guruganse ekala' sakarebba' dibi',kalau bermain gundu kadang ada keributan yang diambil sesukanya
ngoca'katowana sambhi ngala' dâun nanggher,ucap ketuanya sambil mengambil daun nanggher
orèng sè lako mènta’an tapè ta’ enḍȃ’ èpèntaè parèbhȃsanna ,orang yang suka meminta-minta tapi tidak mau dimintai peribahasanya
armos ban renjem,remuk dan ngilu
èkabâlâ bi' nya-nyana suroso ka embu'en,diberitahukan oleh tantenya suroso pada neneknya
engko'ngosar lengngenna sambi ngoca' sabbhâr libaliyân,aku mengusap lengannya sambil berkata sabar berulang kali
embu’ bȃn embhuk abhersèyan è,ibu dan kakak bersih-bersih di
tèks pidato sè èjhârbâ’âghi sareng orèng sèngaghungè kakobâsa’an kaangghuy arasmiyaghi settong lalampa’an èsebbhut pidato ,teks pidato yang disampaikan oleh orang yang memiliki kekuasaan untuk meresmikan sebuah kegiatan disebut pidato
sakejjhâ'agghi'ondem petteng rèya bâdâ è mor lao',sebentar lagi mendung gelap ini ada di arah selatan
ajâm sè nyocco' paḍi è tanèyan èsampat bi' posapo,ayam yang makan padi di halaman dilempar dengan sapu
bungkana monyet se pon mara' motosa pellogga bannya' keya etalare rabet,pohon monyet yang sudah hampir memutus  banyak juga dihubungkan rumput
sè èkakanḍhâ ḍâlem tokèlan kanḍhâ è attas èngghi panèka bhâb ,yang dibicirakan dalam cuplikan percakapan di atas termasuk jenis
ghuru sowara ḍâlem paparèghân jhughân paḍâ sareng pantun,rima suara dalam paparèghân juga sama dengan pantun
se mabali aba'na ka dhalem kobung ganeko,yang mengembalikan dia ke dalam gubuk itu
dhâghâ adhâ' raddhâ'sè terro ollèa bàgiân,sampai besemangat untuk memperoleh bagian
sakè' panas cellep,sakit panas dingin
arapa sarkawi ma’ èntar ka bengkona samsul sabâb ,kenapa sarkawi pergi ke rumahnya samsul sebab
ta' abit sè èdântos dâteng,tidak lama yang ditunggu datang
buari ghi' nantos seppèna orèng sè mogherrâ,bu ari masih menunggu sepinya orang yang menebas
arèya panda mak notot bânnè bhâruwâng,ini panda kak lihat bukan beruang
mai langsong ngèbâ molè ana'en,mai langsung membawa pulang anaknya
atolè ka buḍi,menoleh ke belakang
naden langsong atowat dâri lowar,naden langsung berteriak dari luar
segghut ghâllu,terlalu sering
mutbhudhi buluna ajâm,mencabuti bulunya ayam
bâdâ polè bâjing sè tokang carok,ada lagi preman yang tukang carok
na'-kana' paḍâ senneng ngakan abbhreng,anak-anak semuanya senang makan brem
sè èkakanḍhâ ḍâlem tokèlan kanḍhâ è attas èngghi panèka bhâb ,yang dibicarakan dalam cuplikan percakapan di atas termasuk jenis
rèng-orèng ta' partajhâ jhâ' radèn segara rèya pegghel ka rèng kaduwwâ rèya,orang-orang tidak percaya bahwa raden segara ini jengkel pada kedua orang ini
apa sè ènyamaè pidato,apa yang dinamai pidato
pako nayyèn jârèya naccek ka sokona,paku berkarat itu menancap ke kakinya
kaangghuy dhȃddhi apa,digunakan untuk menjadi apa
sajan santa' abi'na ka roko' santa' keya nganyo' pesse,makin cepat habis ke rokok cepat juga mencari uang
ada recebannya,ada kembaliannya
ngèrèt parao,menyeret perahu
buari ajhelling ka attas,bu ari melihat ke atas
begghân ro'-merro',kelapa muda yang masih sangat muda
mon bula enggi bai,kalau saya ya mau saja
toju' asèla,duduk bersila
apa sè èkalako bȃ’na è ḍissa’,apa yang kamu lakukan di sana
pasangê tanḍhâ lang kalèng x neng huruf a b otaba c mongghu,pasangilah tanda silang x pada huruf a b atau c untuk
kadhari bungkana tarebung nong-gilang kakabbi,hanya dari pangkalnya tegal yang tidak ada semua
nabhung ola' sè pegghâ',menyambung benang yang putus
enten ta' mekkar su,tunggu tidak mekar su
emba binè' sè la towa rowa kalowar ḍâri alas sambi on-nyo'on ju-kaju kerrèng,nenek yang sudah tua itu keluar dari hutan sambil menjunjung kayu-kayu kering
sèngko' kennèng tabra' sapèga motor èseddhi'na kantor eppos,saya kena tabrak sepeda motor di dekat kantor pos
saripa ban cong nangka pas epakabin sacara adat se essa menorot agama dan menorot hokom nagara,saripa dan cong nangka lalu dinikahkan secara adat yang sah menurut agama dan menurut hukum negara
rèng kaduwwâ noro' ambu kèya,kedua orang itu ikut berhenti juga
rasat bâdâ è adâ'en labâng romana yu sarmi sambi nottok labângnga,rasat ada di depan pintu rumahnya yu sarmi sambil mengetuk pintunya
are sanonto nenggara mano' kaangguy epa-lappaepas ejulida kalaban buja cabbina,hari itu menenggar burung untuk diterbangkan lalu dibubuhi dengan garam cabainya
oḍi' atatangghâ mostèna patang ngarghâ,hidup bertetangga semestinya saling menghargai
dika asare ,kamu mencari
gatel gallu' ekabbiyagi mon gi' ngodha,gatal-gatal dipakai kalau masih muda
sèssè'na jhuko',sisik ikan
binena se sateya perro'na ngolpa,istrinya yang sekarang isi perutnya keluar
ngombi' tenggâng,mengupas ketela pohon
bila pon para' sabulan baktona lalake' ganeko abali ka se towa,bila sudah hampir sebulan waktunya laki-laki itu kembali ke yang tua
asèkep bingkèng,bertolak pinggang
se palang sela eotange kadhang pas oreng se aotang pa-maloppa,yang sial yang diutang kadang lalu orang yang berutang pura-pura lupa
pasangè tanḍhâ x neng horop a b c mongghu jâwâbhân sè palèng bhenḍer,beri tanda x pada huruf a b c untuk jawaban yang paling benar
jhârân dhâbuk,kuda dauk
pokol bârâmpa ali amaèn bân kancana,pukul berapa ali bermain dengan temannya
mon orèng namen sèrè èkaparlo apana,kalau orang menanam sirih diperlukan apanya
sennèn selasa rebbhu arèya nyamana ,senin selasa rabu itu namanya
sakè' anto',sakit bengkak pada kelenjar
aksara ghâjâng manabi èparèngè soko pas amonyè u ,aksara dasar jika diberi soko akan berbunyi u
ḍu ratos,dua ratus
nyarghep rengngè',menangkap nyamuk
tang caca la ta' èkèdingaghi,ucapanku sudah tidak didengarkan
bhâsa sè èyangghuy è ḍâlem tembhâng lumbra bhâsa kabi otabâ bhâsa jhâbâ kona,bahasa yang dipakai di dalam tembang lumrahnya bahasa kawi atau bahasa jawa kuno
sajȃn semma’ sajȃn raddhin,makin dekat makin cantik
tèks pidato èserrat kaangghuy apa,teks pidato ditulis untuk apa
tanya radèn segara,tanya raden segara
sambina bâdâ alè'en,sambil ada adiknya
jhujjhu taè,kebelet berak
tore eganteya panjennengan se adha'ara dhimin pa,mari diganti anda yang makan juga pak
ta' tamto,tidak tentu
giba ngakan bain,bawa makan saja
sale'bung pekkeranna reng ngandhung se settong,berantahkan pikirannya orang hamil yang satu
pojhur embu'en la tao jhâ' jusop rèmbi' bhungkos,untung neneknya sudah tahu bahwa jusop bayinya terbungkus
karo nantos nyoson bhâta pas dhâddhi amodel,tinggal menunggu menyusun bata jadi model
coba' congngo' dhibi' apa sè bâdâneng lowar,coba tunggu sendiri apa yang ada di luar
aèngnga ḍhumpa,airnya tumpah
ngalècèr terro ngrassana,berliur ingin merasai
sanonto ngesse'e bensin,sembari mengisi bensin
ollèna ta' kala bânnya' ka ollèna bintang lècèn,dapatnya tidak kalah banyak dari dapatnya bintang licin
rèng-orèng sibo'meccè' romana buari sè èbangon neng ghir jhâlân,orang-orang sibuk menamai rumahnya bu ari yang dibangun di pinggir jalan
rèng-orèng ta' ngaop sakalè ka bâbâna ghentèng sènaong,orang-orang tidak berteduh sekali pun ke bawah genteng yang menaungi
labu ka' tebhârângka',jatuh tersandung-sandung
lalake' ganeko mole kalaban mekol renjingnga,laki-laki itu pulang dengan memikul keranjangnya
anaè' ka'-bhungkaan,memanjat pepohonan
aèssè tape bȃnnè jhuko’,berisi tapi bukan ikan
ru-ghuru èbhu bapa’,guru perempuan dan laki-laki
hikam gi' paggun e dara' ta' kowat rassana se adina'agiya isa,hikam masih tetap di darat tidak kuat rasanya yang mau meninggalkan isa
abak semma' ra-kera coma dhuratos meterran dhari dalemma pa' tenggi,agak dekat kira-kira hanya dua ratus meteran dari rumah pak kepala desa
nyo'on labheddhân,minta tanda tangan
la dhing aperrèyan ka jhuko' èyojughâ,sudah susah payah mencari ikan juga
kandhana se kadhuwa sabatara pas kacep,perbincangan keduanya sebentar lalu senyap
taḍâ’ orèng mandi,tidak ada orang mandi
rassae jareya pae'na kalemongan,rasakan itu pahitnya ketiak
bannya' reggu,banyak sarang
somorra èkoro’ èḍȃlemmè,sumurnya digali agar lebih dalam
sapa’an sèng abhȃrengngè na’-kana’ jȃrèya,siapa yang menemani anak-anak dalam perjalanan tersebut
nasè’ sakeppel èkarobung ghâlâta artèna,nasi sekepal dikerumuni kelabang artinya
ta' nyana,tidak menyangka
pajhekjhek atèna,mantapkan hatinya
ka’ ḍissa’ ampon akompol,di sana sudah berkumpul
colo'na amo'-kèmo',mulutnya komat kamit
ninja potè rèya èparènta soro alabân ninja sè la-nyala ka dhuk-pondhuk otabâ ninja sè ngèller matè'enna kèyaè,ninja putih ini diperintah untuk melawan ninja yang tidak jelas ke dapur-dapur atau ninja yang mengincar membunuh kiai
tamenanna èrak-terrak cèlèng,tanamannya diinjak-injak babi hutan
mowana ma'ar amarghâ cè' pegghellâ,wajahnya memerah karena sangat marah
topèng ghetthak anḍi’na rèng sorbhȃjȃ,topeng ghetthak berasal dari surabaya
panakan binè',kemenakan perempuan
sènga'jha' sampè' ghi-naghi ana' jiya,ingat jangan sampai ditinggal anak itu
eppa'en ngoca' ka suroso jhâ' mantanna korang saminggu agghi',bapaknya berkata pada suroso bahwa pernikahannya kurang seminggu lagi
pasèra sè ngangghit tembhȃng è attas,siapa yang mengarang tembang di atas
apa kakanna bhâruwâng kutub,apa makanannya beruang kutub
komar labu tabhentor ka samsul,komar jatuh terbentur ke samsul
sala pangartèn,salah pengertian
ngèrèm bhârâng dhâghângan dâ' koṭṭa sorbhâjâ,mengirim barang dagangan ke kota surabaya
orèng namen paḍi biyasana è ḍimma,orang menanam padi biasanya di mana
tèra'an korang saminggu,lebaran kurang seminggu
talèktèghi ghȃmbhȃr pas kaghȃbȃy puisi 4 bhȃris ghuna’aghi bhȃsa è ghȃmpang rembhȃk bȃn kanca sabangkuna,amati gambar lalu buat puisi 4 baris menggunakan bahasa yang mudah dipahami dan diskusikan bersama teman sebangkumu
mon jitho apanomangan dhi temor maka kajuna esaba' dhi dhaja dhi lao' ban dhi temor,kalau jitho bertungku di timur maka kayunya ditaruh di utara di selatan dan di timur
molae dhari jareya pas ta' ekasehat,mulai dari sana lalu tidak sehat
opamana aksara ghâjângnga amonyè sa pas dhâddhi s ra aksara ghâjângnga amonyè ca pas dhâddhi cra aksara ghâjângnga amonyè ma pas dhâddhi mra sapanèka saterrossa,contohnya aksara sa menjadi sra aksara ca menjadi cra aksara ma menjadi mra dan begitu seterusnya
kalakowan apa è ko-bengko sè ta’ tamaso’ ḍȃ’ olahraga,kegiatan apa di rumah yang tidak termasuk olahraga
dhuli buru,cepat lari
kemmès malem jumat dâteng,kamis malam jumat datang
engko' terro marosaghâ èssèna pabrè',aku ingin merusakkan isinya pabrik
jhâlma bâbinè',manusia perempuan
asapora sabban laggu,minta maaf setiap hari
kalèbunna gu'-onggu'ân sambi malesser songotdhâ,kepala desa mengangguk-angguk sambil mengelus kumisnya
jhâjhârbâ’ân èssè bhâb ghrâ’ân,penjelasan isi tentang gerhana
suroso ollè èdhi dâri rèng towana,suroso dapat izin dari orang tuanya
hasèl ḍâri ngollè’è ghâpanèka atorraghi ḍâ’ ghuruna,hasil dari menilai itu serahkan kepada gurunya
bâḍâ bâḍḍhâna beḍḍhâ' bheḍḍhâ,ada wadahnya bedak sobek
èmellèyaghi bârâmpa ajâm so embu’na,dibelikan berapa ayam oleh ibunya
orèng sè ta’ saè tatakkramana èsambhât ,orang yang tidak baik sopan santunnya disebut
tè-mangartè tapè sanyatana ta' ngârtè,pura-pura mengerti tapi sebenarnya tidak mengerti
sènga' jhâ' sampè' tellat,awas jangan sampai terlambat
cè' tanèna,sangat berhemat
apa bhȃbhȃjȃna bȃnjir ka manossa,apa dampaknya banjir bagi manusia
sela badha e adha'anna gi' paggun,kemudian ada di depannya masih saja
nâkḍhâk mèjâ,memukul-mukul meja dengan keras
ajâm rowa ko'-nongko' èattassâ paghâr,ayam itu bertengger diatas pagar
kadiya se kagubek dhalem kecengngengan,seperti yang teraduk dalam lamunan
ninja potè koca'en reng-oreng temmo dbâddhi ta'bbágus,ninja putih kata orang-orang ternyata jadi tidak bagus
jhâ' rèng akalla bhidâ,kan orang akalnya beda
dragula jiyâtemmo èlang ta' èghârassa dâri bhâdhânna jusop sambi amerr'tandhâ neng tana bi' dârâ sè èkèbâ,dragula itu tiba-tiba hilang tidak terasa dari badannya jusop sambil memberi tanda di tanah dengan darah yang dibawa
aola apa,bermasak apa
polana ombâ' jârajâ ètambâaros ojhân bi' kèlappa,karena ombak besar sekali ditambah arus hujan dan kilatnya
maju nyarè pètèng è tambhâ',ayo mencari kepiting di tambak
negghu' sokona,memegangi kakinya
ta' todhus napa sampeyan ekoca' oreng towa se bakal etero na'potona,tidak malu ya kamu disebut orang tua yang akan ditiru anak cucunya
saporana nom kaulâ nyambhudhâ rajhâng,maaf om saya mau pinjam parang
romo èkennal orèng saktè bi' orèng sè noro'kolomanna,romo dikenal orang sakti oleh orang yang ikut ajarannya
sowara ganeko pendha meltas-meitas ngette'a,suara itu seperti bergetar saat berbisik
celana ḍâlem,celana dalam
napepole massa'na enggi sajan perak,apalagi masaknya iya makin beruntung
buari langsong ngala' bhirâng neng dâporra sè ghella'sempet èlang,buari langsung mengambil parang di dapurnya yang tadi sempat hilang
bulâ ta' nyangghâ nangalè olat jhâmo,aku tidak tahan melihat wajahmu yang cemberut
obu'na tombu rang-rangang,rambutnya tumbuh jarang-jarang
trapas robâna,wajah yang kelihatan lebih tua dari ada umurnya
marena jareya etoro' tan-taretanna balana ban tatanggana,setelah itu diikuti saudara-saudaranya kerabatnya dan tetangganya
kalambhi sè kotor kodhu è ,baju yang kotor harus di
tang bhâdhân maranga' kakabbhi,badanku meriang semuanya
mon ngakan gheḍḍhâng sè ghi' ta' massa' arassa paka',jika makan pisang yang belum masak berasa sepet
kapala sakola segghut apidato abherri’ apa,kepala sekolah sering berpidato memberi apa
asar maba ganeko empa' polisi dhateng kalaban dhuwa'sapedha motor,sore menjelang maghrib itu empat polisi datang dengan dua sepeda motor
embi'na paste kerrong,kambingnya pasti rindu
suroso langsong angajâk maya buru,suroso langsung mengajak maya lari
sè sake’ jârèya ,yang sakit itu
rajangnga epabali ka padduna dhapor malle ta' egiba ebbu'polana ro'om nyeyor,potonparangnyagannya dikembalikan ke bagian depan dapur biar tidak dibawa ibu karena harumnya kelapa
badanna se lempo aoba koros ngarempeng kare kole' ban tolang ngarantang,badannya yang berisi berubah menjadi kurus kering kerempeng tinggal kulit dan tulang terlihat
talè calanta',tali kusut
polana dârâna ba-emba rèya la ta' kèra èkabhuto bi' masakè' dimma'a bhâi,karena darahnya mbah-mbah ini sudah tidak akan dibutuhkan oleh penyakit mana pun
gânteng ongghu korsèna,sungguh bagus kursinya
ѐngghi bhu,iya bhu
ta’ tako’ ngaḍhebbhi pèlorra bâlândhâ,tidak takut menghadapi peluru belanda
tape lalake' ganeko se pojur,tapi laki-laki itu yang beruntung
nyamana tomang raja otaba jitho,namanya tungku besar atau jitho
tokang bhettek,tukang masak
nyamana ramana ali ,namanya ayahnya ali
bhâjjhrâ ongghu,sungguh beruntung
bhȃsa ènja’ iyȃna ghȃpanèka apa,bahasa ènja’ iyȃna itu apa
bȃnnya’na bhȃngon aksara ghȃjȃng bȃḍȃ 20 mègghi’,banyaknya bentuk huruf hanacaraka ada 20 biji
senga' pon nemmo se laen e polo gi,awas sudah menemukan yang lain di pulau ya
sakè' bu-rabuân,sakit pada perut bagian bawah
sompa mèmbhâr,sumpah mimbar
tape banne gun cokop abuwa buwana kodu la badha se kenneng gabay pathe,tapi bukan hanya cukup berbuah buahnya harus sudah ada yang bisa dibuat rujak
sènyama dâdâènga' ebbal folli,yang namanya dada seperti bola voli
ate ganeko gunna pangaterro ate pon jau elang kalaban palappana elang ta' kalaban argana,hati itu hanya keinginan hati sudah jauh hilang dengan terbangnya hilang tidak dengan harganya
aksara ghâjâng manabi èparèngè cèthak amonyè i ,aksara dasar jika diberi cèthak berbunyi i
roḍâna sapèḍa,roda sepeda
tape korang lebur abasanna,tapi kurang indah dilihat
aèng pacarrèn,air comberan
terrrossaghi bȃca è aḍȃ’na kellas,lanjutkan membaca di depan kelas
oca’ ta’ teppa’ paenga’ kodhu dhuli sowarana pada,kata ta’ teppa’ paenga’ kodhu dhuli suaranya sama
ombâ'neng tasè'ghur-jhâggurân alabân karang sè ce' cekka'en,ombak di laut berdeburan melawan karang yang sangat kokoh
ajhellingaghi cètak sè ta' ghellem ambu sè akebbi'rèng-orèng pas makèrso' dâina bângsèbâng,melihat kepala yang tidak mau berhenti yang berkedip orang-orang lalu mengerutkan dahinya masing-masing
okara kakantèn iya arèya okara sè èangghit ḍâri ca’-oca’ sèè antara sètong ka sèttongnga akanthè’ artèna abhung-sambhung aghânḍhu’ ghuru swara ghuru sastra bân ghuru lumaksito,okara kakantèn yaitu kalimat yang dirangkai dari kata-kata yang antara satu dengan yang lainnya berkaitan artinya nyambung mengandung rima suara  rima huruf  dan perulangan kata
jhâ' mè-rammè bânnya' orèng tèḍung,jangan ramai-ramai banyak orang sedang tidur
palèng odi'en senneng dhunnya ahèrat,paling hidupnya senang dunia akhirat
paghellângan tanang,pergelangan tangan
tang kèrèman ella ḍâpa',kirimanku sudah sampai
ghulâ cabâk,gula jawa
salaen ngabber per-kakapper ganeko bannya' se emet-romet mon koceng,selain terbang kupu-kupu itu banyak yang dimakan-makan oleh kucing
tape buktena sanonto bula kan ampon ekaandhi' dika,tapi buktinya sekarang aku kan sudah dimiliki kamu
mon mosèm ojhân sè pèra’ orèng,kalau musim hujan yang senang orang
nemmo orèng sèalako nyaman terro ètèndhâ'â kalakoanna,menemukan orang yang bekerja nyaman ingin ditiru kelakuannya
 nyèttong angen dhâddhi kowat,menyatu angan jadi kuat
ja' bannya' ca-kancala-bala badha e dhiya kakabbi,kan banyak teman kerabat ada di sini semua
bhing ana’ lè-ollèna cè’ bânnya’na,duhai anak oleh-olehnya sangat banyaknya
ojhân angèn ra' bherreng,hujan disertai angin yang tidak terhenti-henti
samangkèn kèngèng ḍâlem bitongan ejjhâm pon tandhuk ka tojjhuwânna kalabân nompa’ kapal ngabâng,sekarang boleh dalam hitungan jam sudah sampai ke tujuannya dengan menaiki kapal terbang
pamentana dika aropa sello' babakalan se samastena dika tarema bakto bula alamar dika,permintaan kamu berupa cincin pertunangan yang semestinya kamu terima waktu aku melamar kamu
jusop ta' bisa lako pa-apa polè,jusop tidak bisa berbuat apa-apa lagi
pakowat jamona,kuatin jamunya
eppa’na sadik abhȃntèng tolang nyarè kasab maksoddhȃ ,bapaknya sadik banting tulang mencari rezeki maksudnya
men-tamennan sè biyasa ètamen è sakola’an rèya apa,tanaman yang biasa ditanam di sekolah itu apa
sampè' sènga' bânnè sakola'an,sampai seperti bukan sekolahan
ba kan enggi se nomer settong lanceng ganeko gi' ta' ekataowe nyamana ana' ban balana sapa ban bengkona e dhimma, ba kan iya yang pertama anak itu masih tidak diketahui namanya anak dan kerabatnya siapa dan rumahnya di mana 
madhurȃ jhughȃn bȃnnya’ polo-polo kènè’na sè maso’ ḍȃ’ kabhupatèn songenep,madura juga memiliki banyak pulau-pulau kecil yang masuk ke kabupaten sumenep
sakè' gherru',sakit benjol-benjol
èkèr-pèkkèr nyaman kèya koca'en,dipikir-pikir enak juga katanya
bhâkal burungnga,bakal tidak jadi
bhâsa èngghi bhunten,bahasa èngghi bhunten
ngantos lema ratos,menunggu lima ratus
kakan pon kare nyolpe' enom pon kare ngenom,makan sudah tinggal mencicipi minum sudah tinggal minum
enggi le' maddha ngobange,iya nak mari beli
pasabbar eongkos sakone',yang sabar diupah sedikit
