Madura,Indonesia
rajhekkè rajâ,rezeki besar
bula ban dika pon padha tao senneng ban sossana oreng alake-bine,aku dan kamu sudah sama-sama tahu senang dan susahnya orang bersuami-istri
sampè' da-jânda sè bâdâ neng dhisana ta'kennèng pellang sè mènta rasat ngajhâk polè,sampai janda-janda yang ada di desanya tidak bisa dilerai meminta rasat mengajak lagi
bintang tèp-ngarettèp langngè'na bhersè mapema alam,bintang berkilau-kilauan langit cerah memperindah alam
ajâm pejhânten,ayam pejantan
tang lakè kodbu jha' sampè'tao rèya,suamiku harus jangan sampai tahu ini
labângnga èḍârḍâr,pintunya dibuka dengan lebar-lebar
islam samarèna ngolok salam assalamualaikum lajhu ètoro’è ngatorè salamet ḍâ’ sadhâjâ pamèyarsa,islam sesudahnya mengucap salam assalamualaikum lalu diikuti mengucapkan selamat kepada semua pemirsa
kor la tao robba aslina kakè cong,baru tahu rupa aslinya kamu cu
ajȃm akongko’ ajȃm apa,ayam berjengger ayam apa
sè kodhu ajâgâ bhersèna kellas sabbân arèna iyâ arèya,yang harus menjaga bersihnya kelas setiap harinya yaitu
aneko banne ler-meleran,ini bukan gurauan
mon dâpa' ka tang sakola'an,kalau tiba di sekolahanku
santen kentel,santan kental
aba'na tha-kantha ta' neng-ngale ka oreng se nyassa e songay,dia seakan-akan tidak melihat terhadap orang yang nyuci di sungai
maske ta' padhana na'-kana' salma gut-sergudn sajan ranyeng,meskipun tidak seperti anak-anak salma sesenggukan semakin keras
bȃnnya’ bu-tombuwȃn bȃn ka’-bhungka’an,ada banyak tanaman dan pepohonan
callon kalèbun binè' bâdâ duwa,calon kepala desa perempuan ada dua
maghâgghâr aèng matana,menjatuhkan air matanya
mènta ojhȃn ka sè araksa,meminta hujan kepada sang penjaga
pèssèna pagghun tadâ' ghâbây èkarabât dhibi',uangnya tetap tidak ada guna dirawat sendiri
ponapa èssèna carèta è attas,apa isinya cerita di atas
aèngnga ḍhumpa,airnya tumpah
monyèna rèng binè' aweng-gâruwweng,suara para istri ribut
bâto bintang,batu bintang
aeng atamba jenneng,air bertambah tenang
ta’ tako’ ngaḍhebbhi pèlorra bâlândhâ,tidak takut menghadapi peluru belanda
ès ettè,es teh
babang dhaun,bawang daun 
enggi rangrang badha keya se mowa' buja,iya jarang-jarang ada juga yang memuat garam
bâḍâ asèlla,ada hasilnya
dhâddhi tana polè,menjadi tanah lagi
bhârâng sè ella rosak buwâng bhâ,barang yang sudah rusak dibuang
ta' aron,tidak seorang diri
lalake' ganeko tacengnga' arassa'agi kaelangan mano',laki-laki itu tercengang merasakan kehilangan burungnya
ѐ bâbâ panèka contona bâca’an aḍhâ kanḍâ otabâ bâca’an aḍon janḍon,di bawah ini adalah contoh bacaan obrolan atau bacaan dialog
sè nyama cong-bèncong bi' salakè'en angos ta'temmo robâna,yang namanya banci-banci dan suaminya hangus tidak ditemukan rupanya
gi' kol 16,masih pukul 16
tore na ka' ja' agaja' pon padha towa,ayolah kak jangan bercanda sudah sama-sama tua
dulla nyander ka cebbung se aesse nase' ban juko'na,dulla bersandar pada baskom yang berisi nasi dan ikannya
pasangan neng carakan madhurâ èbâgi tello’ pantha akadhi ḍhâmpèngan ghântongan tompang tènḍi,pasangan di dalam carakan madura dibagi tiga kelompok seperti ḍhâmpèngan ghântongan tompang tènḍi
ta’ mètong rajâ kènè’ pandheng apa sè èbâghi bhâ’ paḍâ’â moso sè ella ètarèma,tak peduli besar kecil tampak yang diberi apakah sama dengan yang diterima
addreng sè majâng,rajin melaut
lèbunna nyarowan,sarang lebah
ngènom aèng ès,minum air es
bȃca puisi è bȃbȃ rèya borobudur,bacalah puisi di bawah ini
sanajjan bila daddi kakapper gunna eyocol bariya,meskipun bila jadi kupu-kupu hanya dilepas begitu saja
mon mosèm nambhȃrȃ’ kabȃḍȃ’ȃn biyasana,jika musim penghujan keadaan biasanya
apelkot to'ot,berlipat kaki dengan merapatkan lutut
ngebbher mano' dhârâ,mengepak-ngepakkan burung merpati
ghita' marè,belum selesai
rèng towana sampè' èntar anya-tanya ka ca-kancana suroso,orang tuanya sampai pergi bertanya-tanya pada teman-temannya suroso
aè’ marongo’ bân seddhi,aè’ cemberut dan sedih
markoya ghun kellar mellè beddhâ' mowa ta' kellar mellè beddhâ' sèèyangghuy neng bhâdânna,markoya hanya mampu membeli bedak muka tidak mampu membeli bedak yang dipakai di badannya
ajâm rowa ko'-nongko' èattassâ paghâr,ayam itu bertengger diatas pagar
posang dhalem kabadha'an panas,pusing dalam keadaan panas
seddhi'en bâdâ somorra,sampingnya ada sumurnya
ta' kèra aobâ,tidak akan berubah
tokang bessè,tukang besi
bâlghem kabbhi,bengkak semua
kare tapeg-ga ban lalak ganeko,tinggal putus dan orang itu
jhâman ahèr,jaman akhir
ghi' bhâri'en salakè'en èmellèyaghi jhâmo kowat,masih kemarinnya suaminya dibelikan jamu kuat
polana sulima bân lè’-alè’na cakang abhânto,karena sulima dan adik-adiknya pintar membantu
sè katello lajhu terros kalowar ḍâri kebhun binatang nojjhu ka terminal angkot,yang bertiga lalu terus keluar dari kebun binatang menuju ke terminal angkot
kan perrèng jiya pogber sambi bâcaè,pohon bambu itu tebang sambil bacai
katon ekamaen,kelihatan dipermainkan
akaḍeng apa,seperti apa
bhântal bân kasorra èèssèè kalabân kapo,bantal dan kasurnya diisi dengan kapuk
sè èmaksod laghu èn-maènan èngghi panèka mènangka laghu sè èlaghuwâghi nalèka amaèn,yang dimaksud lagu permainan adalah lagu yang dinyanyikan ketika bermain
karangan sè èyangghit abujud mornè sokkla tor asslè èsambhât,karangan yang dibuat berwujud murni suci dan asli disebut
sè apidato è balai dhisa iyȃ arèya,yang berpidato di balai desa yaitu
catet sabbhȃn arè tombuna kembhȃng jȃrèya kantos tombu jhenno,catat setiap hari proses pertumbuhan bunga dari awal sampai berbunga
rang-terrangan jhârbâaghi jhâ' la bâu,ma'lè bâḍâ kapastèan
malejjhâr panjhâjhâ,meluluh lantakkan penjajah
sakabbhinna angangghuy mènya' mabâng ta' èkèkkè'a kalèng,semuanya memakai minyak wangi tidak digigit tawon
akalèlèng koṭṭa,berkeliling kota
dhâddhi manossa samangkèn ampon tè-saktè sadhâjâ sabâb dhunnya ampon bisa ètekkem tor èpamaso’ ka kapèngnga bângsèbâng,jadi manusia sekarang sudah sakti-sakti semua sebab dunia sudah bisa digenggam dan dimasukkan ke kantongnya masing-masing
oca’ èpamasaghilèma’aghi asalla ḍâri oca’,kata èpamasaghilèma’aghi asalnya dari kata
ahèrra dhunnya,hari kiamat
eangka' so sahi,diangkat oleh sahi
tengnga malem,tengah malam
perna dâyyâ tang emma'ajhelling rèng carok,pernah begitu ibuku melihat orang carok
bintang lècèn molè dâri mor lao',bintang licin pulang dari arah selatan
tang emma' pagghun sibo' maèn hapèna,ibuku tetap sibuk memainkan hapenya
maske gun coma sakaleyan sutomo ta' tao nyongop ka bengkona dibi,meski hanya sekali sutomo tidak pernah menengok ke rumahnya sendiri
tennar para' bhâsaa,retak hampir akan pecah
dina saba' gallu soso'na,gapapa simpan dulu kembaliannya
bula pon tapegga sanonto,saya sudah terputus sekarang
ngalèya ponapa ma,mau gali apa ma
pojur mano'na gi' badha,untung burungnya masih ada
sè kèngèng ter-ater alako èkakan talèbât patadâ’ matamoy sareng laènna,yang mendapat awalan  bekerja  dimakan  terlewat  sama-sama tidak ada  bertamu  dan lainnya
gheḍḍhâng paka',pisang kesat
bȃremma pessenna aji saka ḍȃ’ kabulȃna sè bȃḍȃ è karaton,apa pesan aji saka kepada abdinya yang di kerajaan
tang emma' atolè ka budi on-laonan,ibuku menoleh ke belakang pelan-pelan
mèlè angètek neng jeddèngnga,memilih mengurung diri di kamar mandinya
tal-ontal onḍhi,melempar-lempar undi
ma' buruwanna dika ngajak apalako are sanonto,kenapa tumben kamu mengajak bekerja di hari ini
engko' bisa mabhunga ka kakè ka',aku bisa membahagiakanmu kak
ghunana kerret otabâ perper panèka ka’angghuy nambâi rangkep re è bhingkèngnga mionyèna aksara ghâjâng,gunanya kerret adalah untuk menambahkan konsonan rangkap re di belakang bunyi aksara dasar
saare benteng,sehari suntuk 
mènnya' ghuring,minyak goreng
melagukan tembang dolananlaghu ѐn-maѐnan,melagukan tembang dolanan lagu permainan
babine' ganeko gunna aonggu'ban mesem,perempuan itu hanya mengangguk sambil tersenyum
kakè ma' paggbun parabán lè' makè la èkala'li-báli bi' engko',kamu kok tetap perawan dik meskipun sudah diambil berulang-ulang olehku
posyandu lalampa’an kasèhadhân sè bâḍâ è,posyandu kegiatan kesehatan yang ada di
molae sabban aba' ta' arebba sakale,sejak dulu dia tidak berzakat sama sekali
manossa mogher ka’-bhungka’an kaangghuy ponapa,manusia menebang pepohonan untuk apa
kalakowan apa è ko-bengko sè ta’ tamaso’ ḍȃ’ olahraga,kegiatan apa di rumah yang tidak termasuk olahraga
dina neng e dhinto laju,sudah menetap di sana saja
tana bâcca,tanah basah
teks cerita aghȃnḍhu’ 3 unsur bȃḍȃ tokoh latar bȃkto bȃn kadhȃddhiyȃn,teks cerita mengandung 3 unsur ada tokoh latar waktu dan kejadian
ḍâri ka'ḍimma,dari mana
tello kalè,tiga kali
ja' engko' ta' ngennenga ngerem bisa mato-ro' ka eppa'na bulla,kalau aku tidak sempat mengirim bisa nitip pada bapaknya bulla
pon mekkar,sudah mekar
tape oreng se dhateng ka bengkona ngoca' terro arassa'ana juko'na,tetapi orang yang datang ke rumahnya bilang ingin merasakan ikannya
macan toltol,macan tutul 
enggi ganeka badhana,iya itu adanya
dhalem pekkerra atun bisa nyokobi odhina,dalam pikirannya atun bisa mencukupi hidupnya
jas ojan,jas hujan 
èyatorè abhâḍhi okara ḍâri oca’ èbhârât è bâbâ paneka,silakan buat kalimat dari kata ibarat di bawah ini
bhâsa engghi entenna okara sè pramuka rowa è ḍâlem tokèlan kanḍhâ è attas èngghi panèka,bahasa enggi enten dari kalimat yang pramuka itu pada kutipan obrolan di atas adalah
dhina la nangtennang bâ'en ma',biar tenang saja kamu paman
atolè ka buḍi,menoleh ke belakang
egiba mole ka bengkona,dibawa pulang ke rumahnya
orèng mosrèk,orang musyrik
polisina ghun neng kalema orèng,polisinya hanya ada lima orang
sapa sè ta' perna ollè pèssè bâkto amaèn ka romana bèncong jiyâ,siapa yang tidak pernah dapat uang waktu bermain ke rumahnya banci itu
sealam nabè,sejagat alam
saporana manabi kaulâ ampon ngarèpodhi sampèyan,mohon maaf bilamana saya merepotkan anda
kata' ganeko terros ajalan nojju ka adha',kodok itu terus berjalan menuju ke depan
mata tengnga,meluruskan punggung  
tello’ parkara sè mostè èjâgâ èngghi panèka jhilâ adhât sareng tatèngkan,tiga perkara yang mesti dijaga yaitu lidah adat dan tingkah laku
jhuru kamoḍḍi,juru kemudi
jârèya bhâruwâng kèbân ghâlâk,itu beruang hewan galak
bola'na lajângan nyanglar ḍâ' ka'-bhungkaan accem,benang layang-layang mengelantung ke pohon asam
radèn segara tambângamok,raden segara tambah mengamuk
aba'na apangrasa ta' parlo nyeksa kalaban ngentep labang korong mano' se masossa'an keban se bisa ngabber ganeko,dia merasa tidak perlu menyiksa dengan mengunci pintu sangkar burung yang menyusahkan hewan yang bisa terbang itu
obbbâr musolla jiyá,bakar musala itu
kèjhung è madhurâ bâḍâ ḍuwâ’ macem iyâ arèya kèjhung èn-maènan sè biyasa èkèjhungngaghi na’-kana’,kidung di madura ada dua macam yaitu kidung permain yang biasa dinyanyikan anak-anak
makobassa onggu,sangat berwibawa
surosoterrona odi'nyaman sakèrana alako ta' rèngsa ka bhâdhânna dhibi',suroso inginnya hidup nyaman sekiranya bekerja tidak menyusahkan badannya sendiri
bâḍâ bherta otabâ kadhâddhiyân sè aorot tor tartèb,ada informasi atau kejadian yang berurutan dan tertib
narasi panèka nyamana,narasi itu namanya
cè' kastana,sangat menyesal
nyoro mole aba' kalaban settong parsemmon abaliya bila ra'-para' mangrib,menyuruh pulang dengan satu isyarat kembalilah nanti saat hampir maghrib
dika badha dhimma sat,kamu ada di mana sat
kembhâng tanjhung,bunga tanjung
orèng èslam,orang islam
ko-toko anompo' ta' kala jhuko' sè ta' kabuwa' neng è attas pètakghâ kapal,toko-toko menumpuk tidak kalah dengan ikan yang tidak termuat di atas petak kapal
sabidhâk mennèt,enam puluh menit
taḍâ' orosân,tidak ada urusan
ghâjhâ jhâ' nger-ènger,ayo jangan berisik
bhângonna pasangan pa èngghi panèka,bentuknya pasangan pa yaitu
angghidhân narasi èngghi panèka sala sèttong macemma angghidhân sè èssèna nyarèta’aghi sèttong kadhâddhiyân,penyusunan narasi adalah salah satu bentuk penyusunan yang isinya menceritakan suatu kejadian
bila pon dhapa' ka parlona gi kodu abala ka ga-tatangga se arassae aengnga,kalau sudah sampai pada perlunya tetap harus bilang ke tetangga yang merasakan airnya
bâḍâ sèttong kanca sè nyongjhung tanang ngajhâ’ nyapot,ada satu teman yang mengangkat tangan mengajak menjenguk
ngajhâk ngocol lajângan,mengajak menerbangkan layangan
tadâ' ghunana atobhât koca'en,tidak ada gunanya bertobat katanya
otaba mon bine bula aotang berras laju berri' aneko ban cathet malle padha enga',atau kalau istri saya hutang beras lalu berikan itu dan catat biar sama-sama ingat
ya mangkana ta' ebagi entar ka tase' mon mama'na,ya makanya tidak diperbolehkan pergi ke laut kalau bapaknya
dhika pagghun bâḍâ è atè bulâ,dirimu tetap ada dihatiku
sabban mandeng parse jareya pekkeranna ajalan jau ka ana'na se badha e pondhuk,setiap memandang pepaya itu pikirannya berjalan jauh pada anaknya yang ada di pondok
banne bato gabek banne bato karang banne bato etem ban banne bato kombung,bukan batu apung bukan batu karang bukan batu hitam dan bukan batu putih
matana mellong,mata yang terlihat berkilauan
konsonan sè palèng bânnya’ sè paḍâ ḍâlem bhâris sè kapèng tello’ èngghi panèka,konsonan yang paling banyak yang terdapat pada baris ketiga adalah
tappor kelap,sambar 
apa bhȃsa èngghi bhuntenna,apa engghi bhuntennya
parao lajaran,perahu yang sering berlayar ke luar daerah
nengngale are pon para' compedda,melihat hari sudah hampir habis
kelkel ngelkel,menyembelih smp leher akan putus sama sekali
nyeno' biyâr,memasukkan jari ke lubang dubur untuk mengambil cacing kremi
kadhang oca' cara ganeko rangrang pon ekaedhing,terkadang perkataan seperti itu jarang terdengar
mènggu ḍâteng maos carèta ghâpanèka è aḍâ’na kelas,minggu depan membaca cerita itu di depan kelas
engko'ghun nang-tennang bâdâ è roma,saya hanya diam saja ada di rumah
apa papaḍȃnna èlmo,apa persamaan dari ilmu
oca’ kèyas ajâm pangorongan artèna èngghi panèka,kata kiasan ayam dalam kurungan artinya yaitu
tape maskena masegidda la ranta kobung kene' na ta' eparosak ban ta' epaelang,tapi meskipun masjidnya sudah selesai surau kecilnya tidak dirusak dan tidak dihilangkan
gi pojur manabi apangrasa,iya beruntung kalau merasa
ngalècèr terro ngrassana,berliur ingin merasai
tanangnga paggun neggu' perreng solorra panceng,tangannya masih memegang bambu pancing
bhâji'na èpatèḍung,bayinya dibuat tertidur
pote olay,pucat pasi 
maske gi' mella' tape sarini la katondhu,meskipun masih terjaga tapi sarini sudah mengantuk
samalem bhentèng ojhân dherres,semalam suntuk hujan deras
samangkèn panḍhâbâ ampon ḍâpa’ ka alas ngamarto,sekarang pandawa sudah sampai ke hutan ngamarta
apoy sajan mejet,api makin diam
ghun kakè sè bisa ngartè ka engko',hanya kamu yang bisa mengerti padaku
kenḍâ'na bâ'na,terserah apa yang dikehendaki atau dimaui kamu
ana'sè kemma lè',anak yang mana dik
sowarana pereng ngaroncang padhana se ekorae,suara piring bergemerincing seperti yang dikerok
orèng rowa soghi,tapè cè' cerrè'na
ajhelling lakona jarot la bânnè polè,melihat kelakuan jarot sudah bukan main lagi
èssè’è ti’ titi’ rèya kalabân oca’ sè sorop,isilah titik-titik ini dengan kata yang cocok
marè èbhâjâr,sudah dibayar
kabânnya'an orèng ngoca' jhâ' panyakèt rèya dâteng polana bânnya' ngakan nès-manès,kebanyakan orang berkata bahwa penyakit ini datang karena banyak makan yang manis-manis
la ghân jiyâ tang parao rèya èpamajâng,ya hanya itu perahuku ini dilautkan
roma sè acccèt konèng,rumah yang bercat kuning
okara kakantèn rèya biyasana èghuna’aghi bi’ orèng acaca otabâ apidato ḍâlem sèmo,okara kakantèn ini biasanya digunakan oleh orang yang berceramah atau berpidato dalam kiasan
kaletor tor-kaletoran,terhuyung-huyung 
mon ta' bâḍâ sè bellâs,sapa sè ngarabâddhâ
ta' cara lamba'se sabban are,tidak seperti dulu yang setiap hari
bhing ana’ sopajâ bengkona,duhai anak supaya rumahnya
embu’ mellè sapo’,ibu membeli kain
rèng-orèng sè ḍâteng ḍâri manca naghârâ lèbur ongghu nèngghu kerrabhân sapè madhurâ,orang-orang yang datang dari manca negara sangat tertarik menonton kerapan sapi madura
taḍâ’ orèng mandi,tidak ada orang mandi
rasat lakar la ta' tao adhât,rasat memang sudah tidak tahu adat
sapa sè labu,siapa yang jatuh
bila ontong ta' sa'-kasa' ta' ca'caca'an,kalau untung tidak bilang tidak berkata-kata
arapa ma' bânnèna'-kana' kènnè' otabâ orèng sè ta'jhujbur,kenapa kok bukan anak-anak kecil atau orang yang tidak jujur
sakadhang malendemnganyo' nyellem,kadang tenggelam menghanyutkan menyelam
pesse suwap,uang suap
arè ghrâ'â,gerhana matahari
ka bȃrȃ’ ghȃdhep ka tèmor ghȃdhep,ke barat daun pisang ke timur daun pisang
laghu èn-maènan è attas aèssè bhâb,lagu permainan di atas berisi tentang
agabay kabbi lalake' se nangale terro alabbua dhalem langngoyya,membuat semua lelaki yang melihat ingin melabuh dalam renangnya
dàmmâ'a kabbhi rèya ma' ngèbâ oncor,kenapa kalian semua ini kok membawa obor 
ejjin jiya ejjin,jin itu jin
bujuddhâ bhâsa acem-macem è antarana,wujudnya bahasa bermacam-macam di antaranya
kodrat alam,kodrat alam
nyaman make la aghâbâyâ ana'malolo ta' sala jâ',enak meskipun membuat anak melulu tidak salah kan
dâri awwâl napa' ka ahèr,dari mula sampai ke akhir
hal ka’ḍinto sè andhâddhiyaghi bhidhâna sareng carèta mahabarata sè bâḍâ è jhâbâ,hal itu yang menjadikan bedanya dengan cerita mahabarata yang ada di jawa
tellasân ollè duw kalè ta' toman èntar ka romana,lebaran dapat dua kali tidak pernah pergi ke rumahnya
mandi èbâbâna aèng tanca',mandi dibawah air terjun
atèna maya ngoca',hatinya maya berkata
sudahnan alonca' laju nojju ka,sudahnun melompat lalu menuju ke
aberruy e taneyanna karana enga' dha' sarana bila ngala' ola'lortok ka bungkana palembang otaba ka'-bungka'an laenna,berteriak di pekarangannya karena ingat pada susahnya bila mengambil ulat lontok ke pangkalnya nangka atau pohon-pohon lainnya
kembhâng mata arè,bunga matahari
laèn rèng seppo sareng compo’,berbeda orang tua dan asal
saongghuna tarèsna nèka èkèbâ matè,sesungguhnya cinta itu dibawa sampai mati
arè dâteng nyapa dâri tèmor,hari datang menyapa dari timur
ta' sala polè jhâ rèya ebbos neng dinna',tidak salah lagi kalau ini ebbos
jhâghâ bhumè jhâghâ,bangun bumi bangun
akaton mesem,kelihatan tersenyum
engko' mèkkèr lanjhâng,aku berpikir panjang
èyatorè jâwâb pètanya pètanya è bâbâ ka’ḍinto kalabân pèlèyan sè palèng lerres,cobalah jawab pertanyaan-pertanyaan di bawah ini dengan jawaban yang paling benar
ella langsong rapa ngoca' der-bhender apa tojjhu'enna engko'bi' kakè,sudahlah langsung saja berkata benar-benar apa tujuannya aku dengan kamu
na' bâ'na bi' ngastètè,nak kamu kamu berhati-hatilah
la bila la maras ban barambang bato pas esoson epamonto tengnga padhana gunong,nah bila sudah rata dengan bibir batu lalu disusun meninggi di tengah seperti gunung
ajâm saroju' paḍâ akronno',monyèna sanget lantè
napok raè,menampar wajah
maskè èmèntaaghi man-dâmman mon bi' pangèran ta'èberri',meskipun dimintakan ke mana-mana kalau oleh tuhan tidak diberi
èkowa sè nguḍhâ,kana' ta' ghellem sè-bhersè
pola kèngèng majhumambhâr,mungkin bisa menggambarkan
tanges sajan ngagarudhu' bakto tampar e le'erra man sunahwi ebukka,tangis semakin gaduh waktu tali di lehernya paman sunahwi dibuka
oreng tane ampon bannya' pangarteyanna berkat panerrangan dari pamarenta,petani sudah mempunyai pengertian yang banyak berkat penerangan pemerintah
eman keya,sayang juga
korsè males,kursi malas
bhâkal dhâddhi bhâkal burung,bakal menjadi bakal batal
se mate ebalik,yang mati dibalik
lesson so ghentongnga,lesung dengan gentongnya
èntar ka dhukon bânnè pas terro bhârângnga abâliyâpolè,pergi ke dukun bukan lalu ingin barangnya kembali lagi
labâng soroghân,daun pintu yang menggunakan roda
tana sè lamba' bânnya'alas dbâddhi ko-toko kabbhi,tanah yang dulu banyak hutan menjadi toko-toko semua
korang sabbhâr,kurang sabar
para kanca sadhâjâ ḍâri kellas tello’ kantos kellas ennem sè kaulâ hormadhi,para kawan semua dari kelas tiga sampai kelas enam yang saya hormati
mara duli ka dara',ayo cepat ke darat
atatamen mabânnya’ hasèl bhumèna,bercocok tanam memperbanyak hasil buminya
dhâpa'na tanang,telapak tangan
sanajjân sadhâjâna ampon cè’ ghâmpangnga è jhâman samangkèn nangèng sampèyan sadhâjâ jhughân kodhu ngastètè sopajâ ta’ èlanyo’ jhâman,meskipun semuanya sudah sangat gampangnya di zaman sekarang tetapi anda semua juga harus waspada supaya tidak ditipu zaman
tamen san kassanagi,tanam saja biar cepat
tape ke-ban ganeko gunna tepes,tapi hewan itu hanya tipis
alasanna èntar ka kampong jiyâ polana rèng-orèng sè bâdâ neng ma-roma jiyâbhâ'-lambhâ' kabbhi,alasannya pergi ke kampung itu karena orang-orang yang ada di rumah-rumah itu ramah-ramah semua
bâriyâ rè,begini nih
olle pon pa',dapat pak
oca’ sè kèngèng ter-ater ka ḍâlem tokèlan bâca’an è attas èngghi panèka,kata yang mendapat awalan ka dalam cuplikan bacaan di atas yaitu
jingbâjing ghun neng sapolo orèng,preman hanya tinggal sepuluh orang
molae dhari berras,mulai dari beras
nem bhellâs,enam belas
tembhȃng sè bhȃrissa bȃḍȃ 9 paddhȃ èngghi panèka,tembang yang barisnya ada 9 bait yaitu
pagi' bula mole se alamara dika se kerana ta'sossa pole karana kakorangan elmo akadi se ampon bannya' kadaddiyan akabin gi' ngodha tape korang akkal dibasana,kelak aku pulang untuk melamarmu yang karena tidak susah lagi karena kekurangan ilmu seperti yang sudah banyak terjadi menikah masih muda tapi kurang akal dewasanya
dȃlem parjhȃlȃnan na’ kana’ paḍȃ bhunga,dalam perjalanan anak-anak senang
cocco'na sajan tacengnga' bila narema bajaran,paruhnya semakin terkejut ketika menerima bayaran
jhârân pejhânten,kuda pejantan
mon bânnya' ngakan ghâḍḍhung bisa èkamendhem,kalau terlalu banyak makan gadung bisa mengakibatkan mabuk
anapa ko ma' pas samangken ajunan ta' daddi noles,kenapa sih kok sekarang anda tidak jadi menulis
terro pajuwa keya sampeyan nye,kamu ingin laku juga nyi
sambi mokka' kalambi bi' sarongnga,sambil membuka baju dan sarungnya
pera' sacengkang lema nyare,hanya sejengkal lima jari
èserrat kalabân aksara pèghu èngghi panèka aksara arab-malaju,ditulis dengan aksara pegon yaitu aksara arab-melayu
apa sè èmaksod buku harian,apa yang dimaksud buku harian
potè tolang bân potè mata ango’an potè tolang artèna katèmbhang toḍus bhângo’an matèya,putih tulang dan putih mata lebih baik putih tulang artinya daripada malu lebih baik mati
ta' taona èkala' budi,tidak tahunya diambil dari belakang
siyah buruwanna dika akaton ta' endha' ka ka'-angka'an,tumben kamu seperti tidak mau ke tambahan
kappra èpaḍâpa’ ḍâ’ orèng otabâ ḍâ’ kabâḍâ’ân,biasa disampaikan kepada orang atau kepada keadaan
lalake'ganeko mare mowang calatthong,laki-laki itu selesai membuang kotoran
matèna rèya ètandhâi kè'kè'an neng lè'èrra,matinya ini ditandai gigitan di lehernya
mosèm dhurin,musim buah durian
kabâḍâ’ân bhumè bulân sareng mata’arè sè sapanèka bisa èyolatè neng gedung bosscha è bandung,keadaan bumi bulan dan matahari yang begitu bisa diamati di gedung bosscha di bandung
pendha abesgalibes,seperti akan bergerak-gerak
ngoca’ pajhât ghâmpang,berkata memang gampang
dhalem atena sarini pekkeranna ajalan,dalam hatinya sarini pikirannya berjalan
sakè' bhânget,sangat sakit
ta' bingkeng,tak ikut mengiringkan  
sorat buta,surat kaleng 
èghârâssa ampon cokop,terasa sudah cukup
kalambhina ta' alamèn,bajunya tidak berfuring
padâ bi' rèng kristen mon abhâjâng neng gereja,sama seperti orang kristen kalau beribadah di gereja
biyasa nyamana bai gi' nyar-anyaran,biasa namanya saja masih pemula
argana bukuna pajat pendha larang,harganya bukunya memang agak mahal
bhâruwâng anḍi’ indra penciuman bân pendengaran sè tajhem dhâddhi bhâruwâng bisa ngonges bâu bân ngèḍing monyè apa’a bhâi ḍâri kennengngan sè jhâu,beruang punya indra penciuman dan pendengaran yang tajam jadi beruang bisa mencium bau dan mendengar bunyi apa pun dari tempat yang jauh
coba' congngo' dhibi' apa sè bâdâneng lowar,coba tunggu sendiri apa yang ada di luar
mangkatdhâ kaloppaè ta'mellè,berangkatnya kelupaan tidak membeli
sajan ramme oreng se ngolok hikam,semakin ramai orang yang memanggil hikam
kana' kènè' sè amèro'an rowa jhâ'-sakejjhâ' nangès malolo,anak kecil yang ingusan itu sebentar-sebentar nangis melulu
akantha bhelling kaojhânan tamaso’ ḍâ’,seperti beling kehujanan termasuk ke
gi' badha suwargana,masih ada umurnya masih hidup
parabân rowa cè' raddhinna,anak gadis itu sangat cantik sekali
ngara ghi' ta ngakan,barangkali belum makan
dhâddhi markoya diyyem,jadi markoya diam
ghenna’ macemma dhusa,lengkap berbagai macam dosa
bapa’ èbhu haḍirin sè paḍâ moljâ,bapak ibu hadirin yang sama-sama mulia
mondhul polana jhelling pokang anganga,membesar karena melihat paha menganga
jhȃjhȃl ghȃbȃy èssèna pidato sè tèmana perpisahan kellas 6,coba buat isi pidato yang temanya perpisahan kelas 6
artèna oca’ senneng èngghi panèka,arti kata senang adalah
perreng ekaedhing karethe'na,bambu terdengar bergesek
ca'na kancana omba'ta' kera badha aeng ta' kera nyobbul abunggalumbungkalamon tadha' se nyosop otaba tadha'se abu'ul,kata temannya ombak tidak akan ada air tidak akan menggelegak bergelombang kalau tidak ada yang menyusup atau tidak ada yang berkumpul
sassa’anna èsassa’a èsebbhidhâ tapè burung,cuciannya dicuci mau disobek tapi gagal
engko' ta'ngangghep jiyâ masala,aku tidak menganggap itu masalah
mator sakalangkong dârâna,terima kasih darahnya
sapa ta' terrowa ngobuwa lebbi dhari biyasana,siapa yang tidak ingin memelihara lebih dari biasanya
ban kamarong ganeka tadha' laen etandhai kalaban sowara se maso' ka kopeng dhari jau poncana#,dan bilik itu tidak lain ditandai dengan suara yang masuk ke telinga dari jauh ujungnya
dhâddhi ghuru ngajhi neng mosolla,menjadi guru ngaji di musalanya
e bakto ganeko lalake' ganeko gi' ta' aroko' cap balanan maske bannya'oreng se laen pon aroko' cap balanan,di waktu itu laki-laki itu masih tidak merokok cap 'balanan' meskipun banyak orang yang lain sudah merokok cap 'balanan'
apa mèlè matè kèn tada' rèng noro' kakè,apa memilih mati tapi tidak ada orang ikut kamu
mengenal dan memahami teks tembang dolanan laghu ѐn-maѐnan,mengenal dan memahami teks tembang dolanan lagu permainan
è roma,di rumah
sènga' jhâ' rok-ngèrok kalakonna orèng è ḍinna',awas jangan mengusik-usik pekerjaan orang di sini
mataarè nyonarè bhumè,matahari menyinari bumi
binena nyander,istrinya bersandar
robâna ngar-sangar songot la bel-tebbel kabbhi,rupanya sangar-sangar kumis sudah tebal-tebal semua
pas agâlâjâr ka lè'èrra,lalu meraba ke lehernya
